"Xiao 1998,Specimen nr.HC4-8L16-T6-0.2P"	
9.9146995	281.24704
10.5484295	287.5632
9.933686	254.69248
9.1732735	221.77728
8.4000975	191.264
7.481189	156.54736
6.533769	124.45504
5.592699	94.72016
4.556506	63.91776
3.536188	34.73888
2.335276	3.95872
1.368806	-26.55456
0.456311	-59.73664
-0.548132	-96.2992
-1.682623	-134.95232
-2.836037	-168.1344
-4.261866	-201.80576
-5.732145	-230.22848
-7.516114	-259.67424
-9.528175	-285.20576
-10.878058	-294.94688
-10.247503	-262.56544
-9.439529	-232.8528
-8.679053	-206.78752
-7.817104	-179.43232
-6.96468	-153.65616
-5.957062	-127.88
-4.927219	-102.61536
-3.849878	-77.08384
-2.563495	-51.06304
-1.324483	-20.77216
-0.551307	2.35744
0.180594	32.60384
0.903097	61.29344
1.6603345	90.24992
2.4968835	119.96256
3.352419	148.1184
4.4202985	177.60864
5.70357	207.0544
7.1991855	235.21024
8.7549355	261.00864
10.5643045	286.51792
12.2341005	302.04144
14.062456	309.93664
15.621	301.77456
15.634081	290.4544
15.24	267.83632
14.480794	238.10144
13.720318	208.92256
12.96924	182.5904
12.0218835	152.87776
10.713212	117.07136
9.312656	82.86624
6.8062475	34.73888
4.943094	7.62832
2.5064085	-38.16384
1.153414	-75.52704
0.0855345	-109.9768
-1.048893	-143.64816
-2.110359	-172.84928
-3.51409	-204.69696
-5.044567	-231.78528
-7.183374	-260.47488
-9.978136	-286.0064
-12.614402	-298.10496
-15.269718	-297.30432
-16.096742	-294.41312
-15.396464	-257.04992
-14.58849	-230.22848
-13.447776	-193.88832
-12.281662	-159.95008
-10.706862	-123.92128
-9.046464	-94.9648
-7.034403	-66.31968
-4.46151	-37.89696
-1.989963	-6.04928
-0.484886	24.73088
0.773176	58.66912
2.275078	103.416
3.799205	144.18192
5.2092225	175.74048
7.5255755	212.56992
10.1681915	245.72976
12.864719	273.8856
15.108174	283.62672
15.738602	288.36384
15.966821	284.672
14.765909	233.38656
13.618845	192.06464
12.5288675	156.28048
10.9983905	115.78144
9.5123	81.30944
7.544562	42.61184
5.453253	10.008
3.238373	-27.08832
1.571625	-65.51904
0.1457325	-104.70592
-1.197737	-140.24544
-2.750439	-174.96208
-4.404487	-202.85104
-6.435598	-230.22848
-9.132062	-256.51616
-12.722225	-280.71328
-15.900273	-290.18752
-16.185515	-286.51792
-15.184247	-247.04192
-13.891387	-205.4976
-12.582779	-167.33376
-11.213846	-133.6624
-9.388729	-97.87824
-7.459091	-67.07584
-4.765675	-37.09632
-2.294128	-7.62832
-0.323215	28.6896
0.931545	62.89472
2.404999	102.34848
3.919601	139.71168
5.573649	173.38304
7.4051795	201.53888
10.101707	233.6312
12.570079	258.36208
15.577058	282.58144
16.023844	283.09296
16.058642	279.42336
15.415514	249.15472
14.325473	208.65568
13.00734	164.70944
11.6859685	127.61312
9.9621975	87.09184
8.1877535	51.8192
6.150356	18.6816
3.998849	-15.25664
2.256028	-50.52928
0.820674	-86.82496
-0.427736	-120.22944
-1.974088	-155.2352
-3.672459	-187.06064
-5.751068	-216.26176
-8.23849	-243.10544
-11.581384	-267.30256
-15.279243	-283.87136
-16.14424	-286.0064
-16.454882	-285.20576
-15.507462	-244.15072
-14.62024	-214.9496
-13.390753	-177.60864
-11.882501	-139.4448
-10.317226	-108.39776
-8.343138	-76.30544
-6.00456	-46.30368
-3.279521	-14.98976
-1.093216	14.98976
0.32004	46.30368
1.764919	83.93376
3.079877	117.33824
4.4234735	148.1184
6.0743465	178.89856
8.2574765	208.90032
10.6340275	234.94336
13.808964	264.67824
17.234281	280.98016
18.875629	286.51792
20.643723	283.09296
21.632418	287.83008
20.944713	252.04592
20.149439	223.11168
19.277965	194.1552
18.35277	165.48784
16.863568	126.81248
14.616938	80.77568
12.243689	44.48
8.922893	9.20736
5.8493025	-24.464
3.241548	-63.13936
1.536827	-98.14512
0.0253365	-132.328
-1.910715	-170.75872
-3.84683	-200.20448
-6.606667	-230.20624
-10.098532	-255.47088
-13.777341	-272.84032
-17.481423	-280.71328
-18.910554	-247.57568
-18.967577	-237.32304
-19.35734	-195.75648
-19.835749	-155.2352
-20.830667	-107.0856
-21.334476	-96.83296
-21.350351	-70.5008
-20.187539	-37.09632
-17.367377	-6.84992
-14.224127	20.016
-10.801985	46.0368
-7.306945	71.56832
-4.695952	96.56608
-4.445635	98.92352
-1.200912	123.6544
0	136.1088
