"Pujol 2002, No. 20-3-3S"	
12980	
10.67	124.634
10.98	127.376
11.00	127.376
11.01	127.353
10.97	127.353
10.99	127.353
11.13	123.966
11.13	123.943
11.13	123.899
11.17	123.921
11.13	123.921
11.83	129.560
11.84	129.560
11.78	129.560
11.84	129.493
11.81	129.493
11.83	125.258
11.86	125.303
11.86	125.281
11.86	125.281
11.85	125.281
12.54	129.493
12.56	129.470
12.55	129.493
12.57	129.426
12.52	129.404
13.12	130.117
13.16	130.095
13.18	130.028
13.16	130.050
13.17	130.005
13.22	124.701
13.27	124.701
13.26	124.701
13.32	124.679
13.29	124.701
13.60	128.334
13.62	128.334
13.60	128.312
13.66	128.289
13.65	128.289
14.18	128.646
14.14	128.713
14.14	128.646
14.17	128.668
14.16	128.624
14.48	129.604
14.48	129.582
14.54	129.515
14.53	129.537
14.57	129.470
14.68	125.771
14.67	125.749
14.66	125.815
14.64	125.771
14.64	125.793
14.76	122.316
14.75	122.361
14.79	122.361
14.77	122.339
14.79	122.361
14.82	120.753
14.84	120.775
14.83	120.753
14.76	120.686
14.74	120.753
14.75	120.218
14.74	120.174
14.75	120.196
14.78	120.174
14.81	120.174
15.13	126.525
15.15	126.570
15.13	126.570
15.13	126.570
15.11	126.525
15.23	124.051
15.20	124.029
15.20	124.029
15.17	124.029
15.17	124.051
15.58	127.127
15.53	127.082
15.50	127.060
15.53	127.060
15.55	127.060
16.11	128.598
16.13	128.553
16.14	128.598
16.12	128.487
16.07	128.531
16.40	129.489
16.41	129.467
16.45	129.423
16.38	129.400
16.40	129.356
16.48	124.051
16.55	124.029
16.54	124.029
16.52	124.051
16.49	124.029
17.15	127.818
17.13	127.773
17.12	127.729
17.15	127.706
17.20	127.706
17.67	128.709
17.62	128.687
17.63	128.687
17.63	128.620
17.64	128.620
18.07	128.665
18.09	128.643
18.10	128.643
18.14	128.598
18.10	128.620
18.20	125.701
18.21	125.701
18.17	125.678
18.18	125.634
18.22	125.678
18.16	123.494
18.15	123.539
18.17	123.494
18.22	123.494
18.20	123.494
18.18	121.359
18.19	121.314
18.21	121.336
18.19	121.314
18.21	121.292
18.91	127.376
18.89	127.354
18.89	127.354
18.88	127.354
18.88	127.332
19.75	128.312
19.79	128.268
19.73	128.268
19.76	128.223
19.77	128.201
19.84	123.008
19.83	122.986
19.80	123.030
19.81	123.030
19.86	123.008
19.94	122.584
19.94	122.540
19.96	122.607
19.98	122.562
19.99	122.584
20.51	127.554
20.54	127.465
20.53	127.465
20.57	127.443
20.55	127.398
21.10	127.978
21.11	127.933
21.12	127.889
21.12	127.933
21.15	127.844
21.44	127.153
21.43	127.109
21.41	127.064
21.42	127.109
21.41	127.086
21.41	125.170
21.46	125.170
21.47	125.147
21.48	125.170
21.56	125.125
21.50	124.367
21.56	124.367
21.55	124.390
21.57	124.345
21.56	124.390
21.58	124.078
21.57	124.055
21.56	124.078
21.57	124.011
21.58	124.078
21.55	123.632
21.52	123.632
21.53	123.654
21.49	123.587
21.48	123.677
21.76	118.036
21.72	118.014
21.78	118.014
21.73	118.014
21.73	118.014
21.71	117.568
21.73	117.613
21.74	117.591
21.71	117.568
21.73	117.546
21.70	114.939
21.66	114.872
21.65	114.872
21.62	114.916
21.64	114.894
21.69	111.328
21.73	111.306
21.69	111.350
21.72	111.350
21.67	111.328
21.67	111.506
21.72	111.506
21.70	111.529
21.72	111.506
21.67	111.529
21.44	106.470
21.46	106.514
21.47	106.536
21.52	106.492
21.51	106.514
21.19	102.993
21.19	102.993
21.20	103.015
21.19	103.015
21.22	103.037
21.02	97.510
21.07	97.510
21.04	97.510
21.09	97.510
21.05	97.510
20.85	93.521
20.86	93.499
20.86	93.499
20.83	93.521
20.81	93.521
20.80	95.594
20.80	95.594
20.81	95.571
20.76	95.571
20.77	95.594
20.39	88.819
20.38	88.841
20.42	88.841
20.40	88.841
20.43	88.819
20.46	89.376
20.46	89.354
20.50	89.354
20.44	89.376
20.43	89.376
20.15	84.361
20.19	84.384
20.23	84.384
20.20	84.384
20.24	84.384
19.87	80.595
19.88	80.573
19.91	80.617
19.91	80.573
19.91	80.595
19.59	75.358
19.57	75.402
19.59	75.402
19.61	75.402
19.60	75.402
19.30	71.435
19.30	71.502
19.35	71.480
19.31	71.480
19.36	71.457
19.04	66.510
19.06	66.510
19.08	66.487
19.06	66.532
19.06	66.532
19.03	68.872
19.06	68.850
19.00	68.828
19.05	68.805
19.01	68.828
19.01	68.961
19.00	68.961
19.04	68.961
19.03	68.984
19.02	68.984
18.99	69.675
19.00	69.653
19.02	69.630
19.00	69.653
19.05	69.630
18.86	67.001
18.84	67.023
18.85	66.956
18.86	67.001
18.85	67.001
18.58	62.098
18.59	62.098
18.56	62.075
18.54	62.053
18.55	62.120
18.28	57.774
18.25	57.774
18.27	57.796
18.26	57.819
18.23	57.819
18.01	53.361
18.01	53.428
18.01	53.406
18.03	53.406
17.97	53.450
17.67	48.859
17.69	48.904
17.68	48.882
17.67	48.904
17.67	48.926
17.27	44.357
17.28	44.335
17.29	44.335
17.31	44.380
17.32	44.357
17.28	47.010
17.25	47.032
17.30	47.032
17.27	47.032
17.31	47.054
17.34	47.121
17.34	47.032
17.31	47.076
17.32	47.121
17.27	47.121
17.28	47.099
17.27	47.121
17.30	47.099
17.30	47.143
17.30	47.099
17.26	47.277
17.24	47.232
