"""Matamoros et. al 1999 Specimen c5-20 North"""	
-12.6	-35.6
-13.3	-37
-13.9	-37.9
-14.6	-38.9
-15.4	-39.7
-16	-40.5
-16.7	-41.8
-17.3	-42.7
-18	-43.1
-18.6	-43.7
-19.2	-44.9
-19.8	-45.4
-20.4	-45.8
-21.1	-46.3
-21.7	-47.6
-22.5	-48
-23	-48.9
-23.7	-48.9
-24.3	-48.9
-25	-49.8
-25.7	-49.4
-26.4	-48.9
-26.9	-49.8
-27.7	-49.8
-28.2	-50.7
-29	-50.7
-29.7	-51.2
-30.5	-49.8
-31	-50.3
-31.5	-50.3
-32.3	-49.8
-31.8	-44.9
-30.2	-41
-29	-36.7
-28.4	-34.7
-27.7	-32.8
-27.2	-30.9
-26.4	-29.4
-25.7	-27.1
-25.2	-24
-24.6	-22.5
-24	-21.1
-23.4	-19.6
-22.7	-18.3
-22.1	-16.9
-21.4	-15.7
-20.8	-14.3
-20.2	-12
-19.4	-10.8
-18.8	-9.65
-18.3	-8.41
-17.7	-7.47
-17	-6.54
-16.4	-5.78
-15.8	-4.67
-15.1	-3.53
-14.5	-2.77
-13.9	-2.15
-13.3	-1.58
-12.6	-0.956
-12.1	-0.623
-11.4	0.0698
-10.9	0.77
-9.93	4.1
-9.3	5.12
-8.69	6.23
-8.08	7.07
-7.47	7.65
-6.71	8.41
-6.22	9.03
-5.59	9.79
-5.08	10.5
-4.57	11.7
-3.89	12.5
-3.61	13.2
-3.48	14.1
-3.25	14.5
-2.95	15.2
-2.49	15.9
0.749	17.6
1.41	18.6
2.02	19.5
2.59	20.1
3.15	21.1
3.96	22.2
4.72	23.1
5.59	24.3
6.38	25.4
7.19	26.2
8.03	27.5
8.89	28.3
9.7	29.1
10.5	30
11.3	31.4
12	32.3
12.9	33.3
13.7	34.4
14.6	35.4
15.3	36.2
16.1	36.8
16.9	37.9
18	38.2
18.8	39.1
19.6	39.9
20.4	40.4
21.4	40.7
22.1	41.4
23	41.7
23.9	42.5
24.6	42.7
25.4	43.7
26.4	43.4
27.2	43.7
27.9	43.5
29	44.5
29.7	44.2
30.5	44.9
31	44.9
32.3	43.9
31.5	40
29.7	35.7
28.4	31.7
27.9	29.8
27.2	28
26.4	25.6
25.7	23.5
24.9	20.4
24.1	18.3
23.3	16.7
22.4	14.6
21.6	13
20.9	11.2
20	9.43
19.2	7.7
18.4	6.45
17.7	4.94
17	3.57
16.5	2.47
15.1	0.316
14.3	-0.596
14.1	-1.86
13.5	-3.15
12.8	-3.99
12.1	-4.94
10.1	-7.65
9.27	-8.85
8.48	-9.7
7.62	-11.5
6.78	-12.4
5.94	-13.6
5.08	-14.5
4.24	-15.7
3.45	-16.5
2.62	-17.3
1.76	-18.1
0.993	-19
-0.0302	-20.2
-0.848	-20.9
-1.77	-22.1
-2.57	-23
-3.38	-23.8
-4.19	-24.5
-5.11	-25.5
-5.92	-26.9
-6.76	-27.5
-7.7	-28.5
-8.53	-29.8
-9.37	-30.2
-10.2	-31.8
-11	-33
-11.9	-33.5
-12.8	-34.3
-13.6	-35.4
-14.4	-36.3
-15.3	-37.3
-16.2	-38.2
-16.9	-38.9
-17.9	-40.1
-18.7	-40.7
-19.5	-41.2
-20.4	-42
-21.3	-43.1
-22.1	-43.2
-23	-43.9
-23.9	-44.4
-24.7	-44.9
-25.7	-44.9
-26.4	-45.4
-27.4	-46.3
-28.2	-45.8
-29.2	-46.7
-30	-46.3
-31	-46.7
-31.8	-47.2
-32.3	-46.3
-31.5	-41.4
-30.5	-37.4
-29.5	-34.6
-27.9	-29.1
-26.9	-26.6
-26.2	-24.5
-25.3	-21.8
-24.5	-19.8
-23.7	-18
-22.8	-15.7
-21.9	-13.9
-21.1	-12.3
-20.3	-10.5
-19.4	-9.03
-18.6	-7.74
-17.7	-5.96
-16.9	-4.76
-16.1	-3.65
-15.2	-2.25
-14.4	-1.3
-13.6	-0.352
-12.7	2.11
-11.9	3.39
-11.1	4.06
-10.2	5.34
-9.35	6.45
-8.56	7.52
-7.67	9.07
-6.81	10.1
-6.05	10.9
-5.03	12
-4.34	12.8
-3.61	13.8
-2.45	15
-1.67	16.3
-0.864	17
0.0101	17.9
0.836	19.2
1.63	20
2.62	21.2
3.43	22.2
4.22	23.1
5.13	23.8
5.89	24.8
6.68	25.8
7.65	26.5
8.51	27.4
9.25	28.3
10.2	28.9
11	29.8
11.8	30.8
12.8	31.7
13.6	32.4
14.4	33
15.3	34.3
16.1	34.8
16.9	35.8
17.9	36.2
18.7	36.8
19.5	37.5
20.3	38.2
21.2	38.5
22	39.4
22.9	39.3
23.7	40.3
24.6	40.3
25.4	40.5
26.2	41.5
27.2	41.1
27.9	41.3
28.7	41.5
29.5	41.9
30.5	41.5
31.5	42
32.3	42
33	41.7
34	41.4
34.8	42
35.6	41.4
36.6	41.5
37.3	41.6
38.1	40.7
38.4	38.2
37.6	35.2
36.6	32.4
35.6	29
33.8	24.2
33.3	22.1
32.3	19.8
31.5	17.7
30.5	15.2
29.7	13.1
29	11.3
27.9	9.12
27.2	7.52
26.4	6.23
25.4	4.49
24.6	2.97
23.9	1.83
22.8	0.423
22	-0.81
21.3	-1.79
20.2	-3.26
19.3	-4.49
18.6	-5.6
17.7	-6.89
