"Ohno and Nishioka 1984, Specimen L3"	
9.9698	-44.419
6.7239	-44.419
2.3765	-45.076
-2.6662	-46.224
-5.9703	-46.877
-11.941	-48.025
-15.998	-48.679
-19.534	-49.173
-23.127	-49.991
-27.01	-50.81
-31.3	-51.139
-35.415	-51.797
-39.24	-52.945
-42.951	-53.598
-48.169	-54.252
-52.631	-55.075
-56.921	-55.894
-61.384	-56.712
-64.107	-57.53
-67.064	-58.024
-70.193	-58.678
-73.497	-59.99
-72.687	-53.269
-72.339	-50.649
-70.833	-39.338
-69.731	-30.323
-68.456	-27.373
-66.426	-21.636
-64.224	-15.899
-61.732	-11.801
-57.732	-4.9173
-54.95	-0.49173
-51.704	4.5894
-48.517	9.6704
-46.198	13.604
-44.516	16.227
-41.849	17.047
-36.98	19.505
-29.561	23.111
-27.01	24.914
-24.808	26.225
-21.446	26.553
-18.085	27.373
-14.955	28.028
-11.129	28.848
-7.7092	29.504
-4.1153	29.667
0	30.159
