"Xiao 1998,Specimen Nr.HC4-8L16-T10-0.2P"	
25.333325	230.20624
29.633164	228.38256
34.091499	223.35632
33.071181	186.26
31.968567	158.9048
30.767655	131.01584
29.455745	103.66064
27.941143	77.86224
25.608915	45.2584
22.852253	13.94448
19.00555	-18.41472
14.309598	-48.41648
9.6643825	-72.6136
5.202936	-96.2992
0.814324	-120.49632
-3.289046	-138.6664
-7.836027	-156.81424
-12.421108	-170.49184
-16.965041	-179.96608
-21.543645	-183.90256
-26.873327	-183.3688
-31.822771	-177.05264
-32.900112	-164.95408
-31.318962	-123.14288
-31.962217	-146.27248
-29.554043	-80.48656
-26.401268	-25.50928
-22.960076	16.30192
-17.741265	60.24816
-12.589129	90.49456
-7.528814	115.22544
-2.506472	137.59888
2.3701375	157.61488
8.485632	177.05264
14.429994	189.95184
20.288885	196.268
25.783286	187.86128
32.066738	178.12016
38.327965	171.00336
40.603043	168.11216
44.313475	155.50208
44.310427	151.54336
42.852848	114.71392
40.146732	81.55408
38.511734	51.0408
36.686617	23.41872
34.262568	-5.27088
31.401258	-31.82544
27.636978	-56.55632
23.977092	-72.88048
19.59483	-86.82496
15.225395	-95.25392
10.6213275	-101.83696
6.0711715	-107.35248
1.711071	-107.0856
0	-106.752
