"Ohue et al. 1985, Specimen 4D13RS"	
-12.642	-45.703
-12.916	-46.348
-13.217	-47.247
-13.491	-47.247
-13.656	-47.505
-13.574	-44.8
-13.382	-40.811
-13.437	-39.652
-13.163	-36.047
-13.135	-34.117
-12.916	-31.928
-12.751	-28.709
-12.45	-23.817
-12.148	-19.955
-11.874	-16.35
-11.407	-11.973
-10.941	-8.368
-10.475	-5.2784
-10.146	-2.961
-9.2961	0.64371
-8.967	1.6736
-8.6106	1.8024
-8.4734	2.7036
-7.733	4.1197
-7.2941	4.1197
-6.8006	4.8924
-6.3619	6.1796
-6.0876	6.1796
-5.649	7.0808
-5.4021	6.4371
-4.8537	6.8232
-3.839	7.2093
-3.4003	7.4669
-2.8519	7.4669
-2.276	8.2395
-0.60328	8.2395
-0.13711	9.0121
0.68555	9.3982
2.1663	10.042
3.6198	11.716
4.5245	13.518
5.5392	15.449
5.8136	15.578
6.4991	17.123
6.9652	18.796
7.5959	19.955
7.9248	20.599
8.1168	21.757
8.6652	23.045
9.1316	25.62
9.4056	27.293
9.8445	28.581
10.036	29.61
10.64	31.67
11.078	34.503
11.188	35.146
11.545	36.949
11.791	36.949
12.285	38.88
12.669	41.197
13.135	42.613
13.601	43.643
13.656	42.485
13.601	42.099
13.601	40.682
13.546	39.266
13.409	38.365
13.327	35.532
13.272	33.086
13.108	30.383
12.642	24.718
12.258	21.242
12.12	20.341
11.956	16.35
11.599	13.775
11.298	11.973
11.078	11.072
11.051	11.587
10.749	8.7546
10.53	6.9522
10.173	6.1796
9.8994	4.6348
9.5153	3.6047
9.1864	2.5748
8.8024	2.1886
8.6106	1.2874
8.1168	0.77244
7.4861	0
6.9378	-0.25748
6.1425	-0.90121
5.5667	-1.0299
5.2649	-0.77244
4.744	-1.1587
4.4699	-0.64371
4.1133	-0.64371
3.8115	-1.2874
0.9872	-1.9311
0.21937	-2.961
-0.54844	-2.5748
-1.3437	-2.1886
-2.1663	-4.1197
-2.8793	-4.7634
-3.6472	-6.3082
-3.9761	-6.5657
-4.6891	-7.8534
-5.21	-8.8831
-5.3746	-9.5267
-5.5941	-9.5267
-6.0328	-10.943
-6.636	-12.617
-6.9103	-13.646
-7.2667	-14.29
-7.5136	-16.35
-7.6507	-17.638
-8.254	-16.865
-8.7475	-19.054
-9.0493	-19.698
-9.3508	-21.757
-9.5976	-22.53
-9.8994	-24.718
-10.201	-25.877
-10.503	-26.006
-10.859	-28.709
-11.27	-30.254
-11.709	-31.799
-11.846	-32.443
-12.038	-34.245
-12.532	-36.047
-12.861	-37.335
-13.245	-38.622
-13.464	-39.395
-13.574	-39.266
-13.519	-35.018
-13.409	-32.314
-13.409	-30.64
-13.08	-26.907
-12.943	-24.075
-12.724	-22.787
-12.724	-20.599
-12.422	-15.964
-11.901	-11.844
-11.654	-10.299
-11.27	-6.4371
-10.996	-5.0209
-10.722	-3.7335
-10.256	-1.5449
-9.8994	-0.38622
