"Aboutaha et al 1999, Test ORC3"	
-3.8729075	-59.5956384
-2.7884934	-38.87689888
-2.0440904	-26.96786816
-1.5425786	-19.55634368
-1.2060426	-15.1767984
-1.0374088	-12.70068576
-0.894381	-11.01622816
-0.8043942	-9.76976512
-0.7089204	-8.80961984
-0.636492	-7.91686176
-0.5664413	-6.80512864
-0.3769569	-4.56484896
0.25205449	4.733276928
0.75396867	13.49236749
1.05090682	19.11839805
2.20032358	39.98860976
2.89687994	52.7735184
2.91037796	52.75666048
2.8887226	52.7061312
3.42650347	65.52473344
3.42229677	65.8784384
3.66674262	70.69597824
3.7503645	72.36353344
3.73798217	72.11088704
3.73320848	71.99297056
3.73143435	71.8245248
3.70273734	71.72346624
3.7278678	71.60554976
3.72892862	71.53816256
3.72316727	71.437104
3.71393082	71.33604544
3.74429222	71.30237408
3.73571421	71.2518448
3.71939953	71.21812896
3.18405123	54.94645536
2.66927918	42.85215654
2.14448421	33.75617891
1.78532348	27.03526426
1.51713721	22.40305478
1.34972884	19.00048602
1.26318056	16.55804918
1.1678165	14.53671786
1.01628385	12.33010064
0.33796262	0.808530752
-0.929132	-16.406448
-2.4775634	-38.7589824
-3.9111336	-66.0803776
-4.7288795	-81.2573984
-4.7530223	-81.3081056
-4.7731413	-81.1902336
-4.7795428	-81.0719168
-4.7731413	-80.9206848
-4.7806402	-80.8192704
-4.7537539	-80.7183008
-4.7793599	-80.6004288
-4.7930774	-80.533264
-4.7868588	-80.3984896
-4.6348689	-74.165952
-4.6206027	-74.1828544
-4.6092629	-74.1321472
-4.6178592	-74.1152448
-4.6345031	-74.0983424
-4.6392585	-74.0649824
-4.6125551	-73.2225312
-4.508485	-70.3758112
-4.4858054	-70.409616
-4.4826961	-70.3927136
-4.4848909	-70.3927136
-4.5183616	-70.3927136
-4.4973281	-70.3927136
-4.4929385	-70.3927136
-4.5101311	-70.3758112
-4.5035467	-70.3255488
-4.4925727	-70.291744
-4.4861712	-70.2748416
-4.4858054	-70.2748416
-3.5508206	-49.657472
-2.5545643	-33.70565408
-1.958859	-24.02013408
-1.5374574	-17.888744
-1.247378	-14.36828544
-1.0884379	-12.2122064
-0.9337045	-10.71305248
-0.8371333	-9.28128576
-0.7197115	-7.63049952
-0.3449494	-3.33519936
0.63232188	11.7910831
1.77606874	33.03187104
2.83749231	51.9986768
2.88479025	52.7061312
2.89409986	52.58821472
2.89521555	52.4534848
3.66782173	70.86437952
4.51801409	83.53139392
4.51208813	83.059728
4.50524767	82.7396944
4.92813076	89.73012672
4.9136085	89.30903456
4.91051749	89.0732016
4.92200361	88.80369728
4.91463274	88.63525152
4.93092913	88.53419296
4.90236015	88.38256064
