"Bayrak and Sheikh 1996, ES8-HT"	
2.499780813	44.23823529
2.628160017	45.84033613
2.714765593	47.96785714
2.862149931	50.22457983
2.966302162	53.03256303
3.090160952	55.09978992
3.172096713	57.76134454
3.327121171	59.70798319
3.454246754	61.7407563
3.499248053	64.075
3.641399069	65.89243697
3.723265998	68.74348739
3.850693225	70.85378151
3.989893191	73.05882353
4.054947616	75.46197479
4.236889399	77.52920168
4.237273889	79.03655462
4.374755987	80.82815126
4.450133376	83.11071429
4.48562137	84.36827731
4.614388416	86.17710084
4.748803571	88.61470588
4.884289807	90.19957983
4.91909255	92.61134454
5.0053355	94.50630252
5.119666311	96.65966387
5.224742834	98.29621849
5.227018128	99.84663866
5.421401208	101.6554622
5.491649756	103.3781513
5.665813011	105.5315126
5.714973282	107.6848739
5.765636702	109.6659664
5.935157097	111.8193277
6.092235078	113.7142857
6.107161164	115.9537815
6.306986065	117.8487395
6.396183275	119.7436975
6.508602725	121.3802521
6.638242219	122.8445378
6.781709622	124.6533613
6.895027011	126.7205882
6.986470992	129.0462185
7.265222899	130.5105042
7.301886994	132.4054622
7.470810266	133.9558824
7.534974435	136.1953782
7.721461832	137.7457983
7.880708913	139.8991597
7.968333949	141.8802521
8.138569617	143.6029412
8.374474635	145.9285714
8.463894378	147.3928571
8.687633763	149.2878151
8.732242187	150.6659664
8.979624788	152.6470588
9.187766498	154.4558824
9.293516445	155.9201681
9.59946188	158.5042017
9.754905193	160.2268908
10.10818202	162.1218487
10.07873491	159.9684874
10.02376295	157.7289916
9.883465599	155.8340336
9.751084527	153.5945378
9.686448534	151.4411765
9.552796328	149.0294118
9.46609329	147.0483193
9.33944405	144.7226891
9.275777815	142.9138655
9.186678538	141.6218487
9.044793742	139.3823529
8.923721746	136.9705882
8.880547051	134.8172269
8.704845926	132.4915966
8.510336176	130.7689076
8.421029363	128.8739496
8.330339274	127.237395
8.241489322	124.9978992
8.105610239	122.9306723
7.971533422	120.6911765
7.824861124	118.710084
7.775653531	116.7289916
7.622679307	114.4894958
7.581759803	112.25
7.365040686	110.0966387
7.290286403	107.9432773
7.184070149	106.3928571
7.120295775	104.4978992
7.017368466	102.6029412
6.939544286	100.7941176
6.883788498	98.89915966
6.810249655	97.00420168
6.716482555	95.28151261
6.699068876	93.04201681
6.572181349	91.40546218
6.508145544	89.33823529
6.453362895	87.52941176
6.334207424	85.4105042
6.206573431	83.10210084
6.165935874	81.05210084
6.078914565	79.11407563
6.007097076	77.16743697
5.918192437	75.36722689
5.889030897	73.29138655
5.750648794	71.39642857
5.667882809	69.63928571
5.628442095	67.87352941
5.541392054	66.00441176
5.44229229	63.94579832
5.387151545	61.96470588
5.323344668	59.79411765
5.153543789	57.68382353
5.118222027	55.52184874
5.031588161	53.48907563
4.964853427	51.78361345
4.88694017	49.95756303
4.757702714	48.04537815
4.76445267	45.78004202
4.596659846	44.22962185
4.561980192	42.32605042
4.490580242	40.38802521
4.386573949	38.64810924
4.360983	36.7789916
4.268162693	34.88403361
4.190454132	33.08382353
4.109582557	30.78403361
4.047150519	28.69957983
3.959359289	26.66680672
3.870390313	24.69002101
3.749117911	22.75544118
3.618282982	20.83808824
3.508742574	18.98447479
3.377732965	17.0585084
3.25328685	15.08172269
3.081686859	13.23758403
2.975871184	11.17121849
2.80365644	9.198739496
2.675858029	7.277941176
2.492757809	5.271008403
2.341979195	3.307142857
2.203381584	1.455252101
2.079872518	-0.16407563
1.988467243	-1.929831933
1.825711824	-4.091806723
1.619595214	-5.978151261
1.518939418	-8.209033613
1.339779858	-10.36239496
1.243010963	-12.4210084
1.030296314	-14.19537815
0.912478126	-15.71995798
0.822516323	-17.46848739
0.694072676	-19.19117647
0.5950224	-20.7157563
0.467244545	-22.17142857
0.389042111	-24.31617647
0.198002634	-26.15945378
0.130756958	-27.70987395
-0.0378867	-29.4842437
-0.157249561	-30.91407563
-0.290633605	-32.38697479
-0.352814626	-34.14411765
-0.531035826	-35.96155462
-0.615214662	-37.83928571
-0.735314628	-39.66533613
-0.893288649	-41.34495798
-0.999991202	-43.17962185
-1.188249055	-45.24684874
-1.326143647	-46.9092437
-1.486813676	-48.90756303
-1.599894189	-50.88865546
-1.70114295	-52.69747899
-1.909144588	-54.93697479
-2.044251475	-56.91806723
-2.082819878	-58.46848739
-2.19116516	-59.93277311
-2.378953454	-61.65546218
-2.506228727	-63.55042017
-2.648628227	-65.18697479
-2.711303962	-66.82352941
-2.848633328	-68.71848739
-3.00589316	-70.61344538
-3.064583676	-72.33613445
-3.246416836	-74.05882353
-3.409351458	-75.86764706
-3.520597718	-78.0210084
-3.715464294	-80.00210084
-3.831486508	-81.98319328
-3.971075891	-83.53361345
