"Pujol 2002, No. 10-3-1.5N"	
20547	
11.39839246	106.1228706
11.30251175	106.078294
11.35101264	106.1005823
11.38088694	103.4930486
11.3584311	103.5153369
11.37686744	103.5153369
11.40447023	103.4930486
11.39416611	103.4930486
11.39201207	103.9610685
11.34211942	103.9387803
11.4262353	103.9610685
11.39697772	103.9833568
11.39605328	103.9833568
11.37350806	103.5376251
11.38374834	103.5376251
11.37118676	103.5153369
11.38665189	103.5376251
11.38360661	103.5153369
11.67123726	108.9309819
11.74863567	108.864117
11.62781949	108.9086936
11.73865842	108.864117
11.69279804	108.8418287
12.21355856	110.4687545
12.16747728	110.4018896
12.22382182	110.3796098
12.13516421	110.3796098
12.21713755	110.3573215
12.27287431	106.5686023
12.26745411	106.5686023
12.30403439	106.5240257
12.23803309	106.5240257
12.25595869	106.5686023
12.87269313	109.9338782
12.85697519	109.9338782
12.77544109	109.9115899
12.91961712	109.9561579
12.82267152	109.9115899
13.37977738	110.8476213
13.47119042	110.8030532
13.44865031	110.7807649
13.44858647	110.7807649
13.43563417	110.7807649
13.81978651	111.0704871
13.82822899	111.0482073
13.83272348	111.0482073
13.73045345	111.0482073
13.81644756	111.0036308
13.93010959	105.3874082
13.89529263	105.3874082
13.97859261	105.3651284
13.87051677	105.3874082
13.93069439	105.3651284
13.95554814	103.8719239
14.00158217	103.8496356
13.9323479	103.8496356
13.89675206	103.8719239
14.02556384	103.8496356
14.17802531	107.7720761
14.10864676	107.7497878
14.21950612	107.7497878
14.08188795	107.7497878
14.17146489	107.7274995
14.73178457	109.8670133
14.72601962	109.8224452
14.68206174	109.7778687
14.69938467	109.8001569
14.74527825	109.7555804
14.9978289	110.2236003
14.91236978	110.2904567
14.99579106	110.2458886
14.89482979	110.2236003
14.9040703	110.2013121
15.01584261	107.5492103
15.06314454	107.5492103
14.96284595	107.526922
15.04688267	107.526922
15.00572235	107.526922
15.14831892	109.332137
15.21101576	109.332137
15.24753858	109.3098487
15.20055841	109.2875604
15.29953419	109.3098487
15.72450593	110.5356108
15.78315134	110.4910427
15.66528722	110.4910427
15.79244676	110.4464662
15.73646612	110.4018896
16.09533441	111.4270742
16.21462988	111.3825061
16.14399491	111.3602178
16.16215289	111.3379295
16.20341281	111.2710732
16.23946575	107.2149115
16.26956733	107.1703349
16.25140168	107.1703349
16.18386817	107.1480552
16.28706647	107.1480552
16.27071905	106.9474691
16.27330338	106.9697574
16.29134134	106.9697574
16.20400143	106.9697574
16.3030219	106.9474691
16.29987576	104.7856756
16.2984457	104.8302436
16.3470564	104.8079638
16.29604268	104.7856756
16.28553809	104.7856756
16.33337247	104.6519543
16.32530282	104.6296661
16.30865278	104.6296661
16.34049598	104.6296661
16.28263455	104.6519543
16.48676475	109.2652806
16.5464891	109.2652806
16.50420771	109.2652806
16.46931158	109.2429923
16.55314017	109.2207041
16.6935508	110.7584767
16.78741154	110.7139086
16.66589182	110.669332
16.70197413	110.6916203
16.70328928	110.669332
17.04060573	111.5385071
17.00379306	111.5162188
17.03938634	111.4716507
17.05906888	111.4716507
17.07900296	111.4270742
17.39568179	111.8282378
17.44793405	111.8059495
17.4583799	111.8282378
17.43614878	111.7613729
17.42021633	111.7390847
17.52439525	108.2623844
17.42284025	108.2400961
17.57777879	108.2623844
17.50351759	108.2623844
17.56435661	108.2400961
17.74389993	110.3573215
17.78412304	110.3350333
17.74760022	110.3573215
17.78202008	110.3573215
17.74078188	110.3350333
17.97597002	110.2904567
17.86801037	110.2681769
17.93487099	110.2681769
17.88425054	110.2458886
17.86807421	110.2681769
18.15370022	111.2264966
18.12730404	111.293353
18.19703883	111.2264966
18.0776642	111.2487849
18.16841966	111.2042083
18.50112288	111.6945166
18.51274854	111.6945166
18.50700274	111.6945166
18.41193283	111.6945166
18.51028678	111.64994
18.71479877	112.2293929
18.71710858	112.2293929
18.79013635	112.1402483
18.77586635	112.1402483
18.68635581	112.1625365
18.83378524	108.0840866
18.79062155	108.0395185
18.88200267	108.0617983
18.77016269	108.0840866
18.88575786	108.0395185
18.93406978	106.2788716
18.88274834	106.3011599
18.84837317	106.2565918
18.88517179	106.2565918
18.92554813	106.2788716
19.09265116	109.332137
18.99492796	109.3098487
19.0807497	109.3098487
18.95925168	109.3098487
19.11113091	109.2875604
19.29407063	111.4493625
19.26565576	111.4493625
19.32636327	111.4270742
19.30707272	111.4270742
19.32210117	111.3602178
19.61535631	111.9619505
19.52200119	111.9619505
19.57945786	111.9173824
19.56451752	111.8950941
19.57679437	111.8728059
19.80377752	112.2071046
19.82595501	112.1625365
19.80097484	112.1402483
19.85057637	112.11796
19.8191954	112.11796
20.09543022	112.3854024
20.01263077	112.3408258
20.05484576	112.3408258
19.98033174	112.3631141
20.02681266	112.2962493
20.14634435	106.3903045
20.23360764	106.3680247
20.13958474	106.3457364
20.1148293	106.3903045
20.21472441	106.3903045
20.20804652	105.1871107
20.17654552	105.2093989
20.15418927	105.1648224
20.21221797	105.2093989
20.17950652	105.1871107
20.04736473	99.25887761
20.07731437	99.30345417
20.09200317	99.21430954
