"Saatcioglu and Ozcebe 1989, Spec. U1"	
-32.1	-201.3
-34	-208.3
-36.3	-214.8
-38.5	-220.3
-38.5	-220.3
-42	-229.3
-44.3	-235.6
-45.5	-222.8
-45.2	-208.3
-45.4	-194.8
-43.8	-168.6
-42.9	-155.8
-42	-143.6
-41.1	-130.8
-40.1	-118.1
-39	-105.6
-38	-92.83
-36.8	-80.45
-35.8	-68.55
-34.3	-55.85
-33	-43.58
-31.3	-30.95
-29.4	-18.65
-27.1	-7.377
-25	0.8205
-22.9	5.63
-20.6	9.278
-18.4	12.85
-16.1	17.47
-13.9	22.42
-11.6	28.25
-9.36	34.27
-7.17	41.17
-5.07	48.05
-2.92	54.75
-0.79	61.62
1.26	69
3.36	76.82
3.36	76.82
6.97	90.82
9.25	100
11.4	108.9
13.5	118.2
15.7	127.2
17.8	135.9
20	145.2
22.2	153.9
24.5	162.2
26.7	170.7
28.8	178.4
30.8	185.2
33	192.4
35.3	199.4
37.3	205.7
39.3	211.2
41.5	216.2
43.6	220.9
46	225.7
48.2	229.2
48.7	215.9
48	202.2
47.3	188.9
46.6	176.2
45.8	163.2
45	150.9
44	138.2
43.2	124.9
42.2	112.4
41.2	99.67
40.1	86.7
39	74.6
37.6	62
37.6	62
34.2	33.72
32.3	21.55
30.1	11.35
27.9	3.693
25.6	-0.912
23.4	-4.51
21.2	-8.012
18.9	-12.05
16.7	-16.53
14.5	-21.6
12.4	-27.03
10.3	-32.93
8.21	-39.25
6.04	-46.05
3.86	-53.1
1.72	-60.3
-0.345	-68.53
-2.44	-77.83
-4.63	-87.55
-6.78	-97.25
-9.05	-107.8
-11.3	-117.6
-13.5	-127.3
-15.8	-136.6
-18	-145.3
-20.3	-154.3
-22.5	-162.6
-24.8	-170.3
-27.1	-178.3
-30.5	-184.6
-32.7	-191.6
-34.8	-197.8
-37	-204.1
-37	-204.1
-40.3	-212.8
-42.4	-217.1
-44.9	-222.1
-46.8	-209.1
-46.2	-195.8
-45.5	-182.8
-44.8	-170.3
-43.8	-157.6
-42.9	-144.6
-42.2	-132.1
-41	-119.3
-39.9	-106.6
-38.8	-94.08
-37.6	-81.63
-36.3	-69.03
-35	-56.58
-33.5	-44.38
-31.9	-31.75
-29.8	-19.5
-27.6	-8.952
-25.4	-0.997
-23.3	3.306
-21	6.561
-18.9	9.633
-16.6	12.7
-14.4	16.35
-12.3	20.2
-10.1	24.5
-7.92	29.77
-5.79	34.92
-3.69	40.65
-1.63	46.47
0.425	52.4
0.425	52.4
3.11	60.32
5.18	66.7
7.25	73.75
9.32	80.87
11.4	88.42
13.5	96.52
15.6	104.7
17.6	113.2
19.8	121.7
21.9	130.2
24.1	138.7
26.2	146.7
26.2	133.7
25.4	120.7
24.5	107.9
23.6	95.17
22.6	82.62
21.5	70.45
20.3	58.2
18.9	45.97
17.2	33.6
15.2	21.57
13.1	12.5
10.9	6.523
8.86	3.013
6.74	0.263
4.58	-2.347
2.49	-5.112
0.42	-8.309
-1.7	-12.2
-3.81	-17.2
-5.94	-23.43
-8.07	-30.8
-8.07	-30.8
-10.8	-41.03
-12.9	-48.98
-12.9	-36.43
-11.7	-24.33
-9.95	-12.63
-7.74	-5.702
-5.57	-1.982
-3.44	0.6105
-1.37	2.935
0.735	5.795
2.77	9.178
4.86	13.72
5.47	14
7.66	22.4
9.81	30.95
12	42
14.2	54.12
16.4	66.35
18.3	78.75
20	90.95
21.8	103.5
23.4	115.9
25.2	128.9
26.9	141.4
29.1	153.4
31.2	161.7
33.5	169.4
35.7	176.7
37.8	183.2
40	188.7
42.3	194.4
44.4	199.2
46.5	203.2
46.5	203.2
52.3	211.2
54.7	213.7
57	215.7
59.3	216.9
61.5	217.2
64	216.9
66.3	215.2
68.5	214.4
69.2	208.7
69.2	196.7
68.8	183.9
67.9	171.2
67.2	158.4
66.3	145.4
65.6	133.4
64.7	120.9
63.7	108.4
62.5	96.17
61.5	84.17
60.2	72.07
58.8	59.87
57.2	47.6
55.5	35.1
53.2	23.5
50.9	14.67
48.7	8.723
46.5	4.241
44.3	1.163
42.2	-1.297
40	-3.262
38	-5.402
35.8	-7.595
33.7	-10.05
33.7	-10.05
28.1	-17.5
25.9	-21
23.6	-24.78
21.4	-28.85
19.3	-32.35
17.1	-37.05
14.9	-41.63
12.8	-46.4
10.9	-50.53
8.77	-55.5
6.61	-60.7
4.51	-66.08
2.33	-72.45
0.15	-78.93
-1.91	-84.95
-4.03	-91.83
-6.24	-98.8
-8.53	-105.8
-10.8	-112.1
-13.2	-118.3
-15.4	-123.1
-17.6	-128.3
-19.9	-133.3
-22.1	-138.6
-24.3	-143.6
-26.5	-148.1
-28.8	-152.1
-30.9	-155.1
-33.2	-158.6
-35.3	-162.6
-37.5	-165.3
-39.7	-167.8
-42.1	-170.3
-42.1	-170.3
-47.7	-173.8
-50.2	-173.6
-52.5	-175.1
-53.4	-167.6
-53.3	-163.1
-53.6	-149.6
-52.7	-131.6
-51.7	-117.3
-50.8	-103.6
-49.5	-90.08
-48.3	-77.35
-46.8	-65.05
-45.2	-52.05
-43.4	-39.8
-41.3	-27.28
-39.1	-17.03
-37	-9.652
-34.9	-4.885
-32.7	-1.057
-30.5	1.355
-28.4	3.386
-26.1	5.138
-23.8	6.815
-21.5	8.468
-19.4	10.07
-17.2	11.92
-14.9	13.87
-12.7	16.05
-10.4	18.4
-8.2	20.72
-5.97	23.25
-3.71	25.82
-1.6	28.6
-1.6	28.6
3.94	36.47
6.09	39.45
8.26	42.52
10.4	45.6
12.7	48.92
14.8	52.6
17	55.92
19.1	59.35
21.3	62.65
23.5	66.65
25.8	71.05
28	75.12
30.3	79.67
32.5	84.07
34.5	88.32
36.7	92.52
38.7	96.65
40.8	100.4
43.1	104.4
45.3	108.4
47.5	112.2
49.5	115.7
51.7	119.7
54	122.9
56.2	125.7
58.3	126.9
60.5	129.4
62.7	131.7
63.3	118.7
62.2	103.2
60.8	86.32
58.6	64.65
56.5	47.32
56.5	47.32
45.2	11.65
42.5	8.723
40	6.045
37.5	3.793
35.1	2.001
32.7	0.4555
30.1	-1.152
27.8	-2.502
25.4	-4.117
22.9	-5.87
20.4	-7.662
17.8	-9.547
15.2	-11.68
12.7	-13.9
10.3	-16.28
7.69	-19
5.17	-21.7
2.68	-24.73
0.27	-27.95
-2.16	-31.5
-4.63	-35.38
-7.03	-39.23
-9.43	-43.5
-11.9	-47.7
-14.3	-51.83
-16.8	-56.73
-19.4	-60.75
-21.8	-64.88
-24.4	-68.23
-26.9	-71.9
-29.5	-76.23
-31.9	-80.55
-34.3	-85.9
31.7	41.45
34.1	52.25
36.5	55.22
39	58.45
41.5	61.6
44	64.45
46.5	67.05
49	70.1
51.5	73.27
54.2	76.7
56.6	80.35
59.2	82.72
61.5	85.45
60	63.2
57.8	46.52
55.3	34.77
52.9	27.5
50.3	22.65
47.8	18.8
45.3	15.32
42.7	12.42
40.3	9.773
37.8	7.78
35.3	5.978
32.8	4.278
30.6	3.076
28.4	1.691
26	0.393
23.8	-0.882
21.5	-2.105
19.3	-3.327
19.3	-3.327
14.1	-6.612
11.9	-8.094
9.73	-9.642
7.59	-11.28
5.43	-12.98
3.24	-15.05
1.13	-16.98
-0.99	-19
-3.36	-21.58
-5.86	-24.58
-8.27	-27.58
-10.7	-30.7
-13.2	-33.93
-15.6	-36.5
-18.2	-38.95
-20.6	-41.53
-23.3	-44.9
-25.9	-47
-28.5	-49.58
-31.2	-53.08
-33.7	-57
-36.2	-60.53
-38.7	-64.48
-41.1	-67.7
-43.8	-70.93
-46.3	-75.08
-48.9	-78.48
-51.3	-82.48
-50.3	-59.55
-48.1	-43.08
-48.1	-43.08
-37.3	-12.8
-34.7	-9.377
-32.1	-6.452
-29.5	-4.12
-26.9	-2.25
-24.3	-0.737
-21.5	0.5405
-19	1.85
-16.5	3.118
-13.9	4.34
-11.4	5.603
-8.89	6.9
-6.43	8.151
-3.95	9.656
-1.4	10.9
1.06	12.45
3.52	13.95
6	15.62
8.56	17.3
11.1	19.2
13.6	20.95
16.2	22.75
18.7	24.57
21.2	26.57
23.7	28.5
26.2	30.82
28.6	32.95
31.1	35.3
33.5	37.75
36	40.25
36	40.25
36.3	24
33.8	20.25
31.3	16.97
29	14.17
26.4	11.87
24	9.348
21.5	7.508
19	5.871
16.4	4.453
13.9	3.013
11.4	1.783
8.89	0.628
6.34	-0.622
3.82	-1.937
1.36	-3.437
-1.11	-4.935
-3.63	-6.672
-6.06	-8.564
-8.56	-10.41
-11.1	-12.73
-13.6	-14.63
-16.1	-17.55
-18.6	-19.6
-21.3	-21.98
-23.7	-24.95
-26.4	-27.55
-29	-30.85
-31.5	-34.05
-30	-22.18
-27.4	-16.68
