"Pujol 2002, No. 10-3-3N"	
-16.04	-110.011
-16.05	-110.011
-16.06	-109.988
-16.07	-109.988
-16.05	-109.966
-16.10	-108.607
-16.08	-108.607
-16.10	-108.607
-16.09	-108.584
-16.10	-108.607
-16.62	-111.326
-16.64	-111.348
-16.64	-111.259
-16.63	-111.303
-16.63	-111.259
-16.73	-106.957
-16.71	-106.957
-16.73	-106.913
-16.72	-106.957
-16.74	-106.913
-16.72	-106.601
-16.75	-106.623
-16.73	-106.623
-16.78	-106.623
-16.75	-106.623
-17.20	-110.568
-17.22	-110.568
-17.19	-110.523
-17.18	-110.501
-17.18	-110.546
-17.72	-111.303
-17.71	-111.326
-17.68	-111.326
-17.71	-111.281
-17.68	-111.303
-17.84	-107.381
-17.82	-107.314
-17.83	-107.381
-17.83	-107.359
-17.84	-107.359
-18.20	-110.880
-18.19	-110.880
-18.19	-110.880
-18.19	-110.902
-18.18	-110.880
-18.57	-112.418
-18.64	-112.329
-18.61	-112.306
-18.66	-112.262
-18.63	-112.239
-18.89	-112.930
-18.90	-113.064
-18.93	-113.175
-18.88	-113.287
-18.95	-113.532
-19.09	-108.451
-19.17	-108.428
-19.08	-108.406
-19.15	-108.406
-19.08	-108.339
-19.39	-110.167
-19.41	-110.144
-19.38	-110.122
-19.40	-110.100
-19.38	-110.078
-19.40	-107.938
-19.45	-107.894
-19.40	-107.916
-19.43	-107.894
-19.42	-107.916
-19.42	-107.136
-19.41	-107.113
-19.42	-107.158
-19.42	-107.136
-19.44	-107.113
-19.40	-106.735
-19.40	-106.735
-19.39	-106.757
-19.44	-106.712
-19.43	-106.712
-19.44	-106.601
-19.45	-106.601
-19.42	-106.601
-19.44	-106.645
-19.43	-106.601
-19.45	-106.467
-19.43	-106.467
-19.44	-106.400
-19.43	-106.467
-19.47	-106.445
-19.93	-108.966
-19.90	-108.943
-19.94	-108.943
-19.92	-108.966
-19.94	-108.943
-20.32	-111.372
-20.33	-111.395
-20.35	-111.350
-20.33	-111.372
-20.37	-111.395
-20.89	-112.509
-20.88	-112.509
-20.88	-112.487
-20.87	-112.465
-20.86	-112.465
-20.92	-109.233
-20.95	-109.278
-20.91	-109.211
-20.91	-109.211
-20.91	-109.255
-20.95	-108.631
-20.93	-108.587
-20.94	-108.609
-20.92	-108.631
-20.94	-108.609
-21.08	-103.950
-21.04	-103.972
-21.04	-103.994
-21.03	-103.972
-21.06	-104.016
-20.99	-99.470
-20.97	-99.470
-21.00	-99.470
-20.98	-99.470
-21.01	-99.470
-20.65	-92.873
-20.63	-92.873
-20.67	-92.873
-20.65	-92.873
-20.69	-92.895
-20.36	-88.906
-20.36	-88.973
-20.38	-88.951
-20.39	-88.928
-20.42	-88.951
-20.38	-90.310
-20.37	-90.333
-20.37	-90.333
-20.36	-90.333
-20.40	-90.333
-20.39	-90.489
-20.37	-90.466
-20.34	-90.489
-20.35	-90.466
-20.33	-90.466
-19.93	-82.220
-19.98	-82.198
-19.96	-82.198
-19.94	-82.176
-19.91	-82.220
-19.69	-78.989
-19.68	-79.145
-19.70	-79.212
-19.71	-79.323
-19.70	-79.412
-19.28	-71.656
-19.25	-71.701
-19.28	-71.656
-19.26	-71.701
-19.25	-71.679
-18.99	-69.183
-19.00	-69.205
-19.01	-69.227
-19.00	-69.227
-19.02	-69.272
-19.02	-70.899
-18.97	-70.921
-18.99	-70.965
-18.99	-70.921
-19.02	-70.965
-18.99	-71.166
-19.02	-71.211
-19.01	-71.211
-19.00	-71.211
-19.01	-71.211
-18.55	-63.589
-18.61	-63.522
-18.59	-63.433
-18.59	-63.343
-18.54	-63.277
-17.91	-55.833
-17.87	-55.855
-17.93	-55.833
-17.90	-55.833
-17.97	-55.855
-17.94	-56.858
-17.89	-56.858
-17.90	-56.858
-17.86	-56.836
-17.88	-56.858
-17.35	-49.414
-17.36	-49.414
-17.36	-49.437
-17.37	-49.459
-17.38	-49.504
-16.93	-44.801
-16.95	-44.846
-16.95	-44.801
-16.95	-44.846
-16.93	-44.868
-16.90	-46.205
-16.93	-46.161
-16.90	-46.250
-16.96	-46.205
-16.93	-46.183
-16.91	-47.565
-16.92	-47.565
-16.93	-47.565
-16.90	-47.520
-16.93	-47.609
-16.26	-37.959
-16.22	-37.959
-16.25	-37.914
-16.23	-38.004
-16.21	-37.959
-15.80	-33.413
-15.82	-33.346
-15.78	-33.368
-15.77	-33.413
-15.77	-33.368
-15.08	-26.972
-15.09	-26.994
-15.08	-27.016
-15.09	-26.972
-15.06	-27.016
-15.12	-28.309
-15.07	-28.287
-15.12	-28.309
-15.09	-28.287
-15.06	-28.309
-14.53	-21.779
-14.48	-21.824
-14.51	-21.779
-14.48	-21.824
-14.47	-21.801
-14.48	-22.670
-14.46	-22.648
-14.48	-22.670
-14.46	-22.648
-14.44	-22.715
-13.93	-17.099
-13.88	-17.054
-13.93	-17.054
-13.90	-17.099
-13.94	-17.077
-13.45	-13.176
-13.42	-13.154
-13.47	-13.221
-13.42	-13.176
-13.41	-13.199
-13.37	-14.625
-13.37	-14.603
-13.36	-14.625
-13.38	-14.647
-13.40	-14.670
-12.80	-9.499
-12.80	-9.499
-12.81	-9.499
-12.83	-9.521
-12.83	-9.566
-12.77	-10.524
-12.80	-10.480
-12.79	-10.480
-12.80	-10.502
-12.81	-10.547
-12.47	-7.204
-12.44	-7.226
-12.45	-7.226
-12.42	-7.226
-12.45	-7.270
-11.05	0.441
-11.05	0.418
-11.06	0.396
-11.05	0.441
-11.06	0.396
-11.25	-0.674
-11.26	-0.696
-11.25	-0.674
-11.26	-0.696
-11.25	-0.651
-10.57	3.093
-10.54	3.093
-10.57	3.115
-10.51	3.137
-10.51	3.137
-10.54	2.424
-10.56	2.402
-10.53	2.424
-10.53	2.380
-10.49	2.424
-10.49	2.090
-10.53	2.090
-10.51	2.090
-10.52	2.090
-10.46	2.135
-10.42	2.559
-10.42	2.581
-10.43	2.559
-10.44	2.603
-10.45	2.536
-10.49	2.157
-10.46	2.157
-10.48	2.180
-10.46	2.113
-10.46	2.157
-10.30	3.339
-10.27	3.383
-10.26	3.383
-10.25	3.383
-10.31	3.405
-10.28	3.651
-10.20	3.606
-10.22	3.606
-10.18	3.673
-10.20	3.651
-10.13	3.873
-10.10	3.873
-10.15	3.851
-10.12	3.873
-10.12	3.807
-10.12	3.829
-10.10	3.807
-10.16	3.829
-10.09	3.829
-10.14	3.829
-10.06	3.873
-10.02	3.873
-10.05	3.873
-10.01	3.851
-10.01	3.896
-9.98	3.807
-9.95	3.829
-9.97	3.807
-9.96	3.851
-9.98	3.829
-9.97	3.807
-9.94	3.807
-9.98	3.829
-9.93	3.807
-10.01	3.807
-9.66	3.627
-9.62	3.582
-9.61	3.605
-9.63	3.649
-9.67	3.582
-9.60	3.605
-9.61	3.627
-9.62	3.627
-9.60	3.605
-9.63	3.649
-9.55	2.000
-9.54	2.022
-9.58	1.978
-9.56	2.022
-9.60	2.045
-9.08	5.521
-9.07	5.544
-9.06	5.499
-9.11	5.477
-9.06	5.521
-9.09	4.942
-9.07	5.031
-9.08	4.986
-9.10	4.986
-9.08	4.986
-7.86	8.775
-7.82	8.753
-7.79	8.753
-7.79	8.753
-7.80	8.775
-6.25	13.366
-6.27	13.366
-6.27	13.299
-6.28	13.299
-6.24	13.299
-4.96	17.578
-4.93	17.601
-4.93	17.556
-4.97	17.578
-4.97	17.578
-3.72	22.058
-3.69	22.058
-3.70	22.058
-3.74	22.058
-3.69	22.102
-3.68	21.077
-3.71	21.033
-3.69	21.010
-3.67	21.033
-3.68	21.055
-3.67	19.852
-3.65	19.896
-3.67	19.852
-3.68	19.829
-3.70	19.829
-2.44	26.983
-2.49	26.961
-2.48	26.939
-2.49	26.916
-2.56	26.894
-1.43	30.081
-1.38	30.103
-1.37	30.103
-1.41	30.059
-1.44	30.059
-0.16	36.054
-0.19	35.987
-0.19	35.965
-0.17	35.987
-0.14	35.965
0.92	39.375
0.92	39.375
0.83	39.352
0.89	39.330
0.87	39.330
0.97	37.703
0.96	37.681
0.88	37.703
0.90	37.703
0.88	37.703
0.96	36.745
0.93	36.700
0.94	36.767
0.91	36.678
0.94	36.767
2.13	44.456
2.12	44.389
2.12	44.411
2.04	44.411
2.07	44.411
2.12	41.737
2.15	41.715
2.21	41.692
2.24	41.648
2.18	41.670
2.11	40.331
2.20	40.331
2.16	40.331
2.18	40.331
2.19	40.354
3.26	49.246
3.25	49.246
3.21	49.246
3.22	49.224
3.19	49.246
4.21	52.611
4.18	52.678
4.19	52.656
4.17	52.634
4.20	52.656
4.20	51.185
4.17	51.185
4.21	51.185
4.23	51.118
4.18	51.140
4.16	50.539
4.21	50.561
4.22	50.539
4.21	50.516
4.24	50.516
4.24	50.450
4.17	50.472
4.20	50.472
4.18	50.472
4.26	50.450
5.20	57.804
5.26	57.737
5.24	57.760
5.23	57.715
5.22	57.693
5.23	56.110
5.23	56.088
5.20	56.088
5.27	56.110
5.26	56.088
6.11	61.303
6.08	61.236
6.10	61.259
6.06	61.236
6.13	61.214
7.19	66.095
7.23	66.095
7.22	66.072
7.28	66.095
7.27	66.072
7.29	64.646
7.33	64.624
7.33	64.646
7.24	64.624
7.26	64.624
7.33	63.086
7.34	63.064
7.38	63.108
7.32	63.064
7.25	63.064
8.14	70.976
8.17	70.976
8.14	70.931
8.14	70.909
8.06	70.931
8.17	69.349
8.15	69.371
8.14	69.349
8.10	69.349
8.16	69.371
8.93	75.165
8.96	75.165
8.91	75.188
9.03	75.121
9.03	75.121
9.82	79.132
9.84	79.110
9.82	79.110
9.88	79.155
9.90	79.088
10.89	83.969
10.93	83.902
10.92	83.902
10.88	83.902
10.88	83.835
10.97	80.915
11.02	80.915
11.02	80.938
10.97	80.871
10.96	80.938
11.98	87.913
11.93	87.869
11.98	87.846
11.99	87.891
12.03	87.846
11.97	84.503
12.05	84.503
12.07	84.503
12.11	84.481
12.11	84.481
12.66	90.365
12.65	90.320
12.61	90.343
12.51	90.320
12.57	90.276
12.67	88.047
12.68	88.047
12.63	88.002
12.61	88.047
12.54	87.980
13.30	92.014
13.30	91.969
13.21	91.969
13.21	91.969
13.18	91.947
13.78	94.688
13.84	94.666
13.84	94.666
13.93	94.644
13.92	94.644
13.85	91.682
13.84	91.682
13.84	91.659
13.92	91.659
13.94	91.637
13.84	90.924
13.90	90.857
13.91	90.857
13.96	90.902
13.94	90.902
14.43	96.741
14.37	96.718
14.42	96.718
14.42	96.674
14.43	96.674
15.04	99.215
15.15	99.170
15.14	99.192
15.18	99.148
15.14	99.103
15.19	95.248
15.22	95.270
15.25	95.225
15.21	95.203
15.16	95.203
15.67	98.613
15.61	98.591
15.65	98.591
15.61	98.591
15.64	98.591
16.20	100.730
16.26	100.685
16.25	100.708
16.22	100.685
16.23	100.708
16.30	99.059
16.29	99.014
16.24	99.059
16.20	99.036
16.26	99.059
16.33	97.632
16.27	97.565
16.32	97.588
16.30	97.610
16.35	97.588
16.80	102.624
16.83	102.602
16.85	102.580
16.83	102.535
16.81	102.535
17.37	103.806
17.41	103.783
17.42	103.783
17.32	103.783
17.33	103.783
17.41	100.842
17.41	100.797
17.39	100.842
17.46	100.797
17.46	100.819
17.96	104.251
17.96	104.207
17.93	104.229
17.89	104.251
17.84	104.229
18.59	106.012
18.63	106.034
18.62	106.012
18.66	105.967
18.68	105.967
18.73	102.647
18.74	102.647
18.72	102.647
18.69	102.691
18.65	102.624
18.68	101.911
18.74	101.889
18.73	101.911
18.74	101.889
18.72	101.867
18.82	101.778
18.78	101.711
18.67	101.733
18.71	101.733
18.69	101.778
19.28	106.948
19.35	106.926
19.33	106.926
19.32	106.881
19.33	106.903
20.11	108.330
20.13	108.285
20.14	108.285
20.04	108.285
20.06	108.285
20.20	104.697
20.16	104.719
20.09	104.630
20.10	104.697
20.10	104.697
20.44	107.661
20.41	107.661
20.47	107.594
20.45	107.617
20.41	107.639
20.52	105.076
20.48	105.076
20.45	105.076
20.48	105.076
20.47	105.054
20.54	99.767
20.58	99.723
20.62	99.767
20.60	99.790
20.57	99.790
20.58	99.611
20.67	99.589
20.61	99.589
20.51	99.589
20.55	99.611
20.41	93.326
20.37	93.326
20.34	93.326
20.38	93.349
20.35	93.326
20.01	87.153
20.03	87.153
20.00	87.175
20.11	87.175
20.04	87.131
19.98	87.554
19.99	87.487
20.00	87.577
20.06	87.510
20.05	87.554
19.80	83.387
19.80	83.342
19.76	83.364
19.72	83.409
19.67	83.364
19.37	77.347
19.46	77.347
19.41	77.369
19.35	77.347
19.37	77.325
19.39	78.573
19.33	78.550
19.41	78.573
19.43	78.550
19.41	78.550
18.96	70.995
18.89	70.973
18.89	71.018
18.91	70.995
19.00	71.018
18.63	67.541
18.68	67.541
18.70	67.563
18.67	67.563
18.59	67.541
18.70	68.254
18.70	68.276
18.66	68.276
18.59	68.299
18.67	68.254
18.12	60.677
18.02	60.632
18.11	60.654
18.13	60.677
18.10	60.677
18.05	61.992
17.99	61.992
18.11	62.036
18.13	61.947
18.06	62.036
17.62	55.729
17.61	55.729
17.61	55.707
17.71	55.729
17.70	55.684
17.22	50.113
17.22	50.113
17.23	50.135
17.25	50.113
17.20	50.113
16.86	45.834
16.77	45.856
16.83	45.834
16.86	45.856
16.90	45.834
16.85	46.502
16.79	46.480
16.74	46.525
16.88	46.525
16.90	46.525
16.85	47.419
16.77	47.375
16.81	47.419
16.84	47.397
16.81	47.397
16.27	39.931
16.23	39.909
16.18	39.909
16.19	39.864
16.24	39.820
15.75	34.337
15.74	34.337
15.75	34.315
15.72	34.315
15.73	34.315
15.72	36.321
15.65	36.343
15.71	36.321
15.70	36.321
15.74	36.343
14.82	25.980
14.77	25.980
14.81	26.002
14.89	25.935
14.88	25.980
14.84	27.183
14.80	27.161
14.77	27.161
14.78	27.183
14.86	27.139
14.58	23.283
14.59	23.283
14.51	23.283
14.51	23.350
14.54	23.328
14.52	24.464
14.53	24.464
14.49	24.442
14.54	24.442
14.51	24.487
14.45	24.754
14.47	24.799
14.50	24.754
14.49	24.776
14.49	24.776
13.53	15.438
13.43	15.460
13.50	15.438
13.55	15.483
13.55	15.438
12.93	11.716
12.92	11.694
13.01	11.694
13.01	11.672
12.91	11.672
12.93	12.452
12.90	12.452
12.90	12.452
12.97	12.474
12.98	12.452
12.46	7.727
12.43	7.749
12.38	7.727
12.38	7.705
12.40	7.727
11.66	3.158
11.60	3.181
11.63	3.158
11.65	3.181
11.70	3.203
11.63	5.144
11.63	5.189
11.65	5.122
11.61	5.144
11.62	5.166
11.60	6.348
11.69	6.348
11.75	6.348
11.66	6.348
11.66	6.370
11.73	6.392
11.69	6.414
11.68	6.437
11.65	6.437
11.70	6.437
11.68	6.481
11.69	6.481
11.67	6.481
11.70	6.459
11.67	6.526
11.72	6.570
11.68	6.526
11.72	6.548
11.65	6.548
11.64	6.526
11.72	6.593
11.68	6.570
11.71	6.593
11.71	6.570
11.64	6.548
11.63	6.637
11.72	6.570
11.71	6.593
11.60	6.570
11.67	6.660
11.64	6.726
11.65	6.726
11.68	6.704
11.66	6.704
11.64	6.726
11.56	6.526
11.68	6.481
11.67	6.548
11.60	6.504
11.62	6.459
11.64	6.481
11.60	6.504
11.66	6.414
11.67	6.481
11.66	6.459
11.60	6.504
11.62	6.504
11.62	6.481
11.65	6.526
11.66	6.481
11.61	6.660
11.65	6.660
11.66	6.615
11.59	6.682
11.58	6.615
11.61	6.682
11.59	6.682
11.55	6.726
11.67	6.660
11.61	6.660
11.11	2.648
11.20	2.715
11.17	2.670
11.05	2.670
11.17	2.693
11.30	4.810
11.25	4.810
11.17	4.787
11.26	4.765
11.24	4.810
11.13	2.470
11.13	2.492
11.09	2.492
11.13	2.470
11.15	2.492
11.10	3.450
11.08	3.428
11.10	3.428
11.14	3.450
11.09	3.383
11.14	3.603
11.12	3.647
11.13	3.558
11.12	3.625
11.12	3.603
10.97	3.678
10.98	3.678
10.92	3.678
10.94	3.678
10.92	3.678
11.02	3.700
10.96	3.722
10.95	3.745
10.90	3.722
10.95	3.700
11.06	2.920
11.05	2.898
11.04	2.920
11.04	2.942
10.96	2.965
10.99	2.452
10.95	2.497
11.04	2.497
11.05	2.474
11.06	2.497
10.19	-0.935
10.20	-0.913
10.19	-0.935
10.19	-0.935
10.18	-0.958
8.72	-6.730
8.70	-6.685
8.76	-6.730
8.76	-6.730
8.77	-6.730
6.83	-10.318
6.86	-10.251
6.82	-10.296
6.85	-10.251
6.84	-10.296
6.81	-9.293
6.82	-9.248
6.84	-9.271
6.75	-9.248
6.79	-9.248
6.79	-9.003
6.82	-9.003
6.79	-9.003
6.78	-9.026
6.77	-8.981
6.79	-8.981
6.80	-8.936
6.81	-9.003
6.82	-8.959
6.82	-9.026
5.27	-13.951
5.31	-13.973
5.30	-13.973
5.29	-13.973
5.24	-13.929
4.19	-17.494
4.17	-17.517
4.22	-17.472
4.24	-17.450
4.25	-17.450
2.94	-21.996
2.94	-21.996
3.00	-22.019
2.98	-21.996
2.98	-21.974
2.95	-20.726
2.95	-20.726
2.96	-20.748
2.99	-20.771
2.98	-20.704
2.01	-26.454
1.96	-26.454
1.99	-26.409
1.90	-26.454
1.97	-26.364
1.94	-25.607
1.96	-25.629
1.96	-25.629
1.93	-25.629
1.97	-25.584
0.86	-30.933
0.84	-30.889
0.84	-30.933
0.78	-30.889
0.82	-30.866
0.85	-30.086
0.86	-30.064
0.83	-30.086
0.85	-30.064
0.77	-30.042
-0.02	-34.767
-0.02	-34.744
0.00	-34.722
-0.02	-34.722
-0.03	-34.722
-1.08	-39.781
-1.01	-39.803
-1.02	-39.781
-1.00	-39.736
-1.01	-39.736
-2.15	-44.350
-2.15	-44.327
-2.09	-44.372
-2.10	-44.305
-2.12	-44.350
-2.14	-42.233
-2.15	-42.188
-2.19	-42.233
-2.18	-42.188
-2.18	-42.210
-3.18	-48.896
-3.23	-48.896
-3.20	-48.852
-3.18	-48.852
-3.19	-48.852
-4.04	-52.796
-3.96	-52.796
-4.01	-52.774
-4.02	-52.729
-4.02	-52.729
-4.06	-51.749
-4.08	-51.793
-4.02	-51.749
-4.07	-51.749
-4.04	-51.771
-5.03	-57.231
-4.98	-57.231
-5.01	-57.231
-4.96	-57.254
-4.94	-57.209
-5.00	-55.382
-5.00	-55.426
-5.01	-55.404
-5.04	-55.426
-5.07	-55.404
-6.00	-62.313
-5.97	-62.246
-6.02	-62.224
-6.05	-62.201
-6.11	-62.201
-6.98	-66.725
-6.98	-66.659
-7.01	-66.659
-6.99	-66.614
-6.99	-66.614
-7.01	-65.210
-7.00	-65.255
-6.99	-65.255
-7.03	-65.255
-7.01	-65.255
-7.04	-64.519
-7.02	-64.497
-7.03	-64.497
-7.04	-64.452
-7.03	-64.519
-7.14	-62.718
-7.09	-62.696
-7.08	-62.718
-7.09	-62.696
-7.06	-62.696
-7.94	-71.076
-7.94	-71.076
-7.97	-71.076
-7.95	-71.031
-7.96	-70.987
-8.86	-75.177
-8.85	-75.132
-8.87	-75.110
-8.89	-75.087
-8.84	-75.087
-8.85	-73.059
-8.95	-73.037
-8.90	-73.037
-8.90	-73.059
-8.88	-73.037
-9.79	-79.366
-9.78	-79.389
-9.80	-79.322
-9.76	-79.322
-9.79	-79.277
-10.77	-83.601
-10.75	-83.579
-10.78	-83.534
-10.71	-83.512
-10.73	-83.512
-10.77	-81.283
-10.85	-81.328
-10.83	-81.305
-10.81	-81.283
-10.79	-81.283
-10.80	-81.172
-10.79	-81.127
-10.82	-81.149
-10.77	-81.194
-10.80	-81.149
-12.11	-89.217
-12.13	-89.195
-12.13	-89.217
-12.10	-89.150
-12.17	-89.128
-12.14	-86.520
-12.17	-86.476
-12.18	-86.498
-12.15	-86.476
-12.15	-86.498
-12.23	-85.295
-12.16	-85.228
-12.16	-85.272
-12.17	-85.228
-12.19	-85.272
-12.17	-84.960
-12.26	-84.960
-12.23	-84.960
-12.18	-84.983
-12.20	-84.983
-12.18	-84.804
-12.20	-84.804
-12.23	-84.827
-12.19	-84.782
-12.20	-84.804
-12.68	-90.019
-12.63	-89.997
-12.64	-89.975
-12.69	-89.997
-12.67	-89.953
-13.18	-92.783
-13.24	-92.738
-13.30	-92.694
-13.21	-92.738
-13.22	-92.716
-13.27	-91.401
-13.27	-91.379
-13.29	-91.401
-13.23	-91.401
-13.22	-91.379
-13.28	-90.086
-13.28	-90.109
-13.28	-90.086
-13.24	-90.109
-13.26	-90.086
-13.69	-93.920
-13.73	-93.875
-13.75	-93.875
-13.68	-93.853
-13.70	-93.808
-14.10	-95.702
-14.09	-95.658
-14.10	-95.658
-14.11	-95.636
-14.15	-95.636
-14.14	-94.232
-14.11	-94.254
-14.12	-94.209
-14.17	-94.209
-14.12	-94.232
-14.55	-97.552
-14.60	-97.508
-14.58	-97.508
-14.60	-97.441
-14.58	-97.463
-15.09	-99.670
-15.09	-99.647
-15.13	-99.647
-15.08	-99.603
-15.10	-99.558
-15.15	-97.040
-15.19	-97.017
-15.16	-96.973
-15.13	-96.995
-15.17	-96.995
-15.17	-96.081
-15.22	-96.104
-15.19	-96.081
-15.18	-96.059
-15.17	-96.059
-15.60	-99.937
-15.59	-99.915
-15.58	-99.870
-15.58	-99.870
-15.55	-99.848
-15.67	-96.928
-15.62	-97.017
-15.63	-96.973
-15.60	-96.973
-15.61	-96.995
-15.68	-96.839
-15.65	-96.884
-15.62	-96.817
-15.63	-96.861
-15.68	-96.817
-15.67	-96.549
-15.69	-96.549
-15.64	-96.505
-15.60	-96.549
-15.63	-96.505
-15.92	-100.071
-15.93	-100.115
-15.90	-100.071
-15.90	-100.093
-15.99	-100.071
-16.56	-102.478
-16.58	-102.478
-16.64	-102.455
-16.63	-102.411
-16.58	-102.433
-16.61	-100.249
-16.68	-100.227
-16.63	-100.294
-16.58	-100.249
-16.64	-100.271
-16.58	-99.670
-16.61	-99.714
-16.67	-99.692
-16.63	-99.692
-16.58	-99.692
-16.99	-103.748
-17.04	-103.703
-17.08	-103.703
-17.04	-103.637
-16.99	-103.681
-17.74	-104.639
-17.73	-104.595
-17.72	-104.595
-17.72	-104.573
-17.76	-104.550
-17.76	-102.299
-17.74	-102.322
-17.74	-102.277
-17.77	-102.299
-17.82	-102.255
-17.74	-101.586
-17.76	-101.608
-17.76	-101.586
-17.77	-101.564
-17.79	-101.586
-17.75	-100.962
-17.77	-100.962
-17.77	-100.984
-17.83	-100.962
-17.77	-100.962
-18.18	-104.862
-18.13	-104.818
-18.13	-104.818
-18.18	-104.840
-18.15	-104.818
-18.46	-105.754
-18.48	-105.731
-18.47	-105.754
-18.42	-105.731
-18.47	-105.731
-18.49	-103.904
-18.54	-103.904
-18.49	-103.926
-18.45	-103.904
-18.51	-103.926
-19.10	-106.623
-19.10	-106.667
-19.09	-106.623
-19.14	-106.623
-19.09	-106.578
-19.74	-109.498
-19.71	-109.453
-19.66	-109.431
-19.73	-109.342
-19.70	-109.320
-19.80	-105.620
-19.73	-105.598
-19.74	-105.620
-19.81	-105.620
-19.80	-105.553
-20.44	-109.230
-20.40	-109.230
-20.40	-109.208
-20.46	-109.164
-20.43	-109.119
-20.77	-109.498
-20.70	-109.431
-20.65	-109.453
-20.73	-109.431
-20.72	-109.431
-20.77	-107.091
-20.72	-107.091
-20.78	-107.091
-20.74	-107.091
-20.74	-107.046
-20.77	-106.445
-20.76	-106.467
-20.75	-106.489
-20.78	-106.467
-20.78	-106.445
-20.86	-102.098
-20.89	-102.076
-20.91	-102.076
-20.88	-102.120
-20.84	-102.120
-20.67	-95.145
-20.62	-95.167
-20.62	-95.189
-20.63	-95.167
-20.67	-95.189
-20.36	-89.150
-20.31	-89.105
-20.27	-89.150
-20.36	-89.172
-20.28	-89.127
-20.31	-89.462
-20.33	-89.462
-20.31	-89.462
-20.34	-89.462
-20.31	-89.439
-20.26	-90.531
-20.28	-90.531
-20.30	-90.487
-20.26	-90.509
-20.30	-90.487
-19.94	-84.447
-19.94	-84.469
-20.00	-84.447
-19.94	-84.447
-20.00	-84.492
-19.64	-79.990
-19.73	-80.012
-19.67	-79.968
-19.68	-80.012
-19.70	-79.968
-19.38	-76.201
-19.42	-76.223
-19.40	-76.223
-19.40	-76.223
-19.42	-76.223
-19.39	-77.137
-19.41	-77.159
-19.38	-77.137
-19.36	-77.182
-19.43	-77.137
-19.03	-70.652
-18.96	-70.630
-18.94	-70.630
-18.97	-70.652
-18.91	-70.652
-18.49	-65.927
-18.52	-65.860
-18.49	-65.905
-18.53	-65.927
-18.50	-65.882
-18.49	-66.975
-18.48	-67.041
-18.52	-66.997
-18.48	-67.019
-18.51	-67.019
-18.51	-67.665
-18.46	-67.688
-18.49	-67.621
-18.52	-67.643
-18.46	-67.688
-17.94	-59.731
-18.02	-59.731
-18.03	-59.731
-17.97	-59.798
-18.06	-59.709
-17.55	-55.207
-17.63	-55.185
-17.59	-55.252
-17.57	-55.229
-17.65	-55.274
-17.60	-56.723
-17.55	-56.678
-17.57	-56.700
-17.59	-56.678
-17.56	-56.678
-17.02	-49.279
-17.02	-49.279
-17.05	-49.279
-17.05	-49.279
-17.01	-49.301
-16.53	-44.131
-16.55	-44.175
-16.55	-44.175
-16.55	-44.175
-16.51	-44.198
-16.50	-45.490
-16.51	-45.446
-16.54	-45.490
-16.48	-45.446
-16.52	-45.490
-16.53	-45.579
-16.53	-45.579
-16.50	-45.535
-16.53	-45.579
-16.51	-45.535
-16.51	-46.718
-16.50	-46.762
-16.54	-46.695
-16.52	-46.740
-16.53	-46.740
-16.53	-46.695
-16.50	-46.695
-16.47	-46.695
-16.51	-46.695
-16.54	-46.740
-15.99	-39.185
-15.92	-39.207
-16.01	-39.229
-15.98	-39.185
-15.95	-39.229
-15.96	-39.497
-15.97	-39.541
-15.99	-39.497
-15.98	-39.497
-15.97	-39.497
-15.31	-32.454
-15.26	-32.477
-15.32	-32.499
-15.31	-32.477
-15.31	-32.499
-14.72	-26.682
-14.67	-26.682
-14.65	-26.682
-14.69	-26.660
-14.64	-26.704
-14.68	-27.752
-14.62	-27.752
-14.61	-27.752
-14.63	-27.752
-14.60	-27.752
-14.63	-27.819
-14.66	-27.886
-14.64	-27.841
-14.59	-27.886
-14.67	-27.841
-14.60	-28.643
-14.57	-28.643
-14.63	-28.643
-14.63	-28.643
-14.57	-28.666
-14.36	-25.501
-14.41	-25.434
-14.32	-25.389
-14.38	-25.256
-14.37	-25.189
-14.06	-23.250
-14.05	-23.272
-14.06	-23.250
-14.10	-23.272
-14.08	-23.228
-14.08	-23.696
-14.05	-23.696
-14.11	-23.696
-14.04	-23.718
-14.09	-23.673
-14.03	-23.696
-14.09	-23.807
-14.05	-23.740
-14.07	-23.763
-14.04	-23.740
-14.11	-23.740
-14.07	-23.763
-14.08	-23.763
-14.03	-23.763
-14.07	-23.740
-13.84	-20.910
-13.82	-20.665
-13.82	-20.464
-13.82	-20.241
-13.77	-20.130
-13.24	-17.211
-13.21	-17.188
-13.23	-17.188
-13.23	-17.166
-13.20	-17.211
-13.20	-17.255
-13.27	-17.277
-13.19	-17.255
-13.23	-17.277
-13.27	-17.255
-13.24	-17.277
-13.18	-17.344
-13.25	-17.300
-13.20	-17.300
-13.21	-17.300
-12.23	-10.257
-12.28	-10.257
-12.26	-10.302
-12.20	-10.279
-12.30	-10.235
-12.21	-11.327
-12.25	-11.305
-12.18	-11.305
-12.21	-11.327
-12.25	-11.327
-11.57	-7.003
-11.61	-6.959
-11.57	-7.026
-11.60	-6.936
-11.61	-7.003
-11.55	-8.095
-11.57	-8.073
-11.60	-8.073
-11.55	-8.095
-11.58	-8.073
-11.52	-8.073
-11.59	-8.095
-11.61	-8.095
-11.54	-8.095
-11.58	-8.073
-11.53	-9.121
-11.58	-9.143
-11.54	-9.165
-11.55	-9.143
-11.55	-9.143
-11.54	-9.299
-11.53	-9.299
