Galeota 1996 SpecimenBA4	
-31.58	-27.31104
-31.99	-27.75053
-32.91	-27.0599
-33.72	-27.24826
-34.33	-26.49485
-35.14	-26.55763
-35.7	-25.67866
-36.51	-25.99258
-37.43	-25.17638
-38.36	-24.48576
-38.84	-24.7369
-39.36	-23.9207
-40.1	-23.41843
-40.63	-23.35565
-41.68	-22.91616
-42.61	-22.09997
-43.08	-21.9744
-43.45	-22.09997
-44.4	-21.34656
-44.94	-21.53491
-45.46	-20.71872
-46.39	-19.96531
-46.9	-19.58861
-46.65	-18.01901
-46.37	-17.01446
-45.68	-15.06816
-45.34	-14.18918
-44.52	-12.30566
-44.15	-11.80339
-43.39	-10.04544
-42.9	-9.292032
-42.62	-8.726976
-41.88	-7.157376
-41.43	-6.529536
-41.08	-5.776128
-40.32	-4.332096
-39.94	-3.578688
-39.56	-2.762496
-38.84	-1.381248
-38.45	-0.565056
-38.03	-0.188352
-37.49	0.753408
-36.84	1.820736
-36.81	1.946304
-36.08	3.201984
-35.32	4.520448
-34.93	5.02272
-34.16	6.403968
-33.32	7.596864
-32.94	8.287488
-32.18	9.354816
-31.34	10.73606
-31.02	11.04998
-30.32	11.74061
-29.65	12.9335
-29.49	13.49856
-28.92	14.1264
-28.36	15.06816
-27.55	16.19827
-27.19	16.70054
-26.4	18.01901
-25.95	18.8352
-25.43	19.2119
-24.72	20.0281
-23.95	21.15821
-23.57	21.5977
-23.25	22.03718
-22.4	23.04173
-21.62	23.98349
-21.2	24.23462
-20.85	24.7369
-20.3	23.60678
-19.29	23.9207
-18.46	24.79968
-17.58	24.79968
-17.03	24.61133
-16.07	24.79968
-15.44	26.11814
-14.94	25.92979
-14	25.92979
-13.6	26.74598
-13.04	26.49485
-12.24	26.49485
-11.39	26.49485
-10.89	27.31104
-10.07	27.18547
-9.57	27.12269
-9	27.49939
-8.3	27.75053
-7.27	27.93888
-6.48	28.19002
-5.49	28.12723
-4.6	28.37837
-3.79	28.37837
-3.21	27.93888
-2.39	28.88064
-1.87	28.37837
-1.07	28.50394
-0.56	28.94342
-0.02	28.56672
0.85	29.32013
1.19	28.75507
1.76	29.32013
2.57	29.50848
3.09	28.69229
4.02	28.56672
4.89	29.57126
5.85	29.38291
6.7	29.13178
7.66	28.75507
8.53	28.37837
9.51	29.38291
10.45	28.94342
11.25	28.94342
11.8	29.25734
12.71	28.94342
13.22	28.06445
14.07	28.88064
14.95	28.69229
15.47	27.8761
16.26	28.56672
16.8	27.49939
17.8	27.37382
18.63	27.8761
19.14	27.18547
20.15	26.93434
20.71	27.37382
21.37	26.18093
21.8	26.49485
22.38	25.55309
23.21	26.11814
24.17	25.55309
24.7	24.54854
25.55	25.1136
26.26	24.17184
27.23	23.544
27.64	24.10906
28.23	22.97894
28.79	23.23008
29.73	22.79059
30.74	21.84883
31.75	21.22099
32.56	21.78605
33.09	20.46758
33.48	20.96986
34.11	19.83974
35.04	20.21645
35.88	19.77696
36.51	18.58406
37.47	18.08179
38.5	17.2656
38.93	17.2656
39.48	16.26106
40	16.70054
40.86	16.0727
41.87	15.3193
43.01	14.62867
43.45	14.25197
44.5	13.05907
45.56	12.30566
46.11	12.24288
46.76	11.48947
47.23	11.67782
47.86	11.04998
48.38	11.11277
48.94	10.04544
49.45	9.73152
50.11	8.978112
50.55	8.78976
52.26	6.215616
53.49	4.897152
54.4	3.76704
60.36	-2.19744
60.82	-2.134656
61.91	-4.08096
62.59	-4.583232
63	-4.959936
