"Atalay and Penzien, 1975, Spec. 5"	
-8.7396	-32.565
-10.627	-36.801
-12.96	-42.626
-15.245	-48.319
-17.678	-53.483
-18.87	-55.2
-19.614	-56.525
-21.402	-59.701
-22.246	-61.027
-23.488	-63.54
-24.381	-65.394
-25.822	-67.512
-27.064	-68.308
-27.907	-68.57
-29.248	-70.029
-29.794	-70.425
-30.836	-70.688
-31.283	-70.158
-30.886	-66.72
-30.19	-63.673
-29.347	-60.101
-27.907	-55.729
-26.218	-49.773
-24.183	-43.949
-19.565	-32.035
-18.075	-28.461
-15.443	-21.975
-12.911	-16.282
-11.371	-13.238
-9.385	-9.0019
-8.1437	-5.8247
-7.0015	-3.5742
-4.9159	1.7209
-2.2345	7.2809
-0.84417	10.458
1.887	15.488
4.5187	22.504
5.8595	26.079
7.6967	30.844
9.1864	34.418
11.52	39.448
13.606	43.817
15.692	48.052
17.33	50.703
19.714	54.804
21.501	57.851
23.885	61.027
25.771	63.144
27.262	64.732
29.497	65.528
31.135	66.057
32.873	66.453
34.76	66.849
36.101	67.249
38.186	67.645
39.675	68.174
40.767	68.441
39.627	65.394
38.384	62.219
37.292	58.38
35.405	52.553
34.364	48.714
33.17	43.949
31.582	38.257
30.391	34.021
28.801	29.255
27.559	26.475
25.672	22.637
23.835	19.327
22.892	17.739
20.806	14.561
20.061	13.106
17.181	9.5312
14.549	6.354
12.712	3.5742
11.073	1.7209
9.2857	-0.26475
6.4056	-3.9714
4.8166	-6.6191
2.6815	-10.193
1.3904	-12.047
-0.64554	-15.753
-2.3339	-19.062
-4.6678	-24.225
-5.9588	-27.8
-8.094	-31.771
-10.676	-36.934
-12.514	-41.964
-13.953	-45.672
-14.748	-47.393
-16.834	-51.89
-18.671	-55.467
-20.359	-58.509
-22.991	-62.481
-24.53	-64.598
-26.071	-66.587
-28.651	-69.233
-29.695	-69.762
-32.327	-71.35
-35.405	-73.072
-37.043	-73.339
-38.882	-73.468
-39.726	-73.468
-41.166	-73.339
-41.961	-73.072
-42.009	-73.072
-41.661	-69.1
-40.917	-63.673
-39.18	-56.263
-38.087	-52.687
-37.193	-49.907
-36.2	-46.993
-34.808	-43.552
-33.866	-40.64
-32.624	-37.331
-31.432	-34.021
-30.043	-30.579
-28.75	-27.534
-27.064	-23.828
-25.672	-21.842
-24.034	-19.062
-22.494	-16.018
-20.657	-12.444
-18.87	-9.6637
-17.181	-7.0158
-15.443	-4.633
-13.06	-1.8533
-10.676	1.1914
-8.7396	3.3094
-6.8527	5.6921
-5.0152	8.2074
-3.7241	9.9284
-2.8801	11.12
-1.3407	13.502
-0.14897	15.356
1.4401	18.136
2.3339	19.46
7.2995	28.858
9.2857	32.565
11.421	35.874
12.812	38.125
14.5	41.169
16.337	44.613
17.777	46.993
19.217	49.244
21.104	52.157
22.544	54.408
24.282	56.525
25.126	57.321
26.419	58.776
27.856	60.23
29.596	61.689
30.589	62.481
32.426	63.807
33.716	64.865
34.91	65.661
35.903	66.453
37.391	67.249
38.435	68.041
39.527	68.837
39.975	69.367
40.322	69.896
40.173	68.041
39.726	65.132
39.129	61.16
38.534	57.45
37.838	54.274
37.193	51.628
36.497	48.714
35.951	46.993
33.47	40.11
32.873	38.787
31.184	34.683
29.893	31.771
28.702	29.255
26.863	26.079
25.822	24.358
24.381	21.842
23.239	19.989
21.65	17.474
19.863	14.561
18.323	12.179
16.883	10.326
15.245	8.4721
14.152	7.413
12.762	5.56
11.173	3.4418
