"Atalay and Penzien, 1975, Spec. 10"	
6.3919	31.732
10.237	38.855
11.438	41.446
13.457	45.721
14.514	47.794
15.764	49.996
17.254	52.713
18.599	55.302
21.243	59.968
22.396	61.778
23.982	64.109
25.857	65.666
28.357	65.795
30.95	66.053
32.921	65.924
34.508	65.408
35.662	65.016
36.815	64.5
37.823	63.98
38.88	63.464
40.035	63.073
40.035	59.968
38.641	51.935
36.96	45.721
35.085	39.632
33.642	35.487
32.009	31.084
29.03	24.349
26.866	19.428
24.847	15.542
22.06	11.268
19.368	7.7711
13.313	-0.38855
11.102	-4.1446
9.2756	-7.2529
8.0261	-9.4547
5.575	-13.988
3.8448	-17.226
1.3937	-22.147
0.048059	-24.608
-2.355	-29.53
-3.9891	-32.509
-5.6231	-35.358
-8.3144	-38.855
-12.063	-44.685
-16.917	-50.769
-19.08	-52.455
-22.396	-56.338
-24.511	-57.246
-27.203	-58.282
-29.942	-59.839
-32.393	-60.226
-35.852	-61.004
-38.303	-61.133
-36.863	-49.475
-36.286	-46.757
-34.602	-40.021
-33.884	-37.171
-32.393	-32.12
-31.336	-28.364
-29.748	-23.572
-27.922	-18.65
-26.434	-15.412
-24.655	-11.009
-23.117	-8.1594
-21.195	-5.31
-17.206	0.38855
-15.62	2.7199
-13.793	5.0511
-11.823	7.3823
-10.141	9.5841
-8.5547	11.786
-6.5842	14.118
-5.0462	15.931
-3.3642	18.003
-1.2496	20.463
1.1054	23.702
3.5085	27.717
5.4788	30.825
6.6805	32.768
10.285	39.244
13.361	43.777
14.947	45.592
16.677	47.402
18.215	48.959
21.291	52.326
24.366	54.266
28.499	56.73
29.845	57.117
31.671	57.375
33.114	57.504
34.651	57.766
35.949	57.766
36.766	57.895
37.823	57.895
38.928	57.895
39.073	54.266
38.832	50.898
38.496	46.757
38.113	43.388
36.67	34.063
35.949	31.343
34.844	27.587
33.932	24.867
32.2	19.816
29.99	14.506
28.885	12.563
26.434	8.4187
24.943	6.3464
22.877	3.6265
21.147	1.6837
19.561	-0.51806
17.398	-3.8855
15.571	-6.8646
13.649	-9.8434
11.294	-13.47
8.2184	-17.873
6.5842	-19.946
4.5176	-22.666
3.5085	-24.09
1.2976	-27.328
-0.096121	-29.4
-1.8743	-31.861
-4.2774	-34.84
-5.1425	-35.876
-11.967	-43.259
-14.995	-46.624
-17.542	-48.052
-19.945	-49.088
-21.483	-50.254
-23.117	-51.548
-24.751	-52.584
-26.192	-53.363
-28.499	-54.266
-30.566	-55.044
-31.526	-55.173
-34.699	-56.209
-36.766	-56.601
-37.823	-56.601
-37.584	-51.161
-37.102	-48.052
-36.429	-45.072
-35.517	-41.575
-33.498	-36.006
-31.961	-32.12
-30.373	-27.717
-28.837	-24.738
-26.241	-20.463
-23.502	-16.319
-20.81	-13.081
-17.254	-7.6417
-15.283	-4.274
-13.745	-1.8132
-10.621	3.756
-7.4493	8.2893
-6.1036	10.361
-4.0371	13.988
-1.5379	18.521
0.096121	21.629
1.3937	23.572
2.1147	24.738
4.7099	28.235
8.3144	32.638
9.6121	34.452
11.871	37.171
14.178	40.28
15.956	42.482
18.311	44.943
21.291	47.402
24.078	49.475
25.616	50.511
28.019	51.935
29.99	52.584
32.634	53.621
34.651	54.399
37.102	54.657
38.448	54.657
38.786	54.399
38.161	46.366
37.584	42.223
