Galeota 1996 Specimen BB4	
-44.11	-149.304
-43.92	-147.75
-43.69	-146.391
-43.49	-144.643
-43.23	-142.894
-42.72	-139.269
-42.51	-137.521
-42.28	-136.031
-42.08	-134.672
-41.86	-132.924
-41.65	-131.564
-41.43	-130.075
-41.21	-128.65
-40.99	-126.902
-40.71	-125.219
-40.53	-123.859
-40.34	-122.435
-40.08	-120.881
-39.81	-119.003
-39.62	-117.838
-39.36	-115.636
-39.1	-114.277
-38.91	-112.723
-38.67	-111.234
-38.39	-109.421
-38.05	-107.025
-37.78	-105.601
-37.58	-104.306
-37.33	-102.558
-37.06	-100.939
-36.78	-99.191
-36.51	-97.443
-36.25	-95.889
-35.98	-94.076
-35.8	-92.846
-35.54	-91.033
-35.27	-89.738
-35	-87.86
-34.75	-86.112
-34.48	-84.429
-34.21	-82.422
-33.94	-81.256
-33.75	-80.026
-33.48	-78.213
-33.22	-76.853
-32.95	-75.041
-32.59	-73.098
-32.32	-71.739
-32.04	-70.185
-31.67	-68.178
-31.3	-66.235
-31.02	-64.94
-30.74	-63.386
-30.38	-61.638
-30.01	-59.955
-29.72	-58.53
-29.45	-57.3
-29.17	-55.876
-28.89	-54.646
-28.63	-52.638
-28.35	-51.214
-28.07	-49.79
-27.79	-48.301
-27.52	-46.941
-27.25	-45.387
-26.98	-43.768
-26.71	-42.344
-26.42	-40.531
-26.15	-38.912
-25.87	-37.423
-25.59	-36.064
-25.32	-34.251
-25.04	-33.15
-24.72	-31.467
-24.36	-29.654
-24.09	-28.1
-23.8	-26.805
-23.52	-25.251
-23.24	-23.697
-22.96	-22.208
-22.67	-20.783
-22.4	-19.294
-22.11	-17.87
-21.83	-16.445
-21.47	-15.086
-21.18	-13.273
-20.82	-11.331
-20.54	-10.23
-20.27	-8.676
-19.91	-6.669
-19.54	-5.374
-19.18	-3.561
-18.76	-2.201
-18.47	-0.583
-17.98	-0.842
-17.75	0.906
-17.51	2.655
-17.15	4.597
-16.8	5.568
-16.49	6.928
-16.16	8.87
-15.79	10.618
-15.31	11.913
-14.83	13.079
-14.52	14.438
-14.26	15.928
-14	17.287
-13.67	18.776
-13.41	20.201
-13.06	21.69
-12.69	23.309
-12.33	25.057
-11.97	26.416
-11.6	27.776
-11.25	29.459
-10.88	30.819
-10.52	32.438
-10.14	33.992
-9.66	35.74
-9.26	37.294
-8.77	38.848
-8.38	40.596
-8.07	41.826
-7.66	43.186
-7.24	44.804
-6.83	46.293
-6.42	47.653
-6.11	49.013
-5.69	50.308
-5.27	51.862
-4.86	53.804
-4.44	55.228
-4.01	56.717
-3.7	57.818
-3.28	59.243
-2.97	60.538
-2.54	62.091
-2.23	63.192
-1.91	64.876
-1.49	66.753
-1.19	67.983
-0.64	69.537
-0.31	70.832
0.1	72.386
0.42	74.264
0.73	75.559
1.16	77.112
1.58	78.731
1.9	80.026
2.31	81.127
2.63	82.81
3.01	84.17
3.42	85.335
3.73	86.889
4.06	88.119
4.49	89.673
4.92	91.486
5.36	92.781
5.79	94.335
6.12	96.018
6.55	97.313
6.99	99.191
7.42	100.615
7.87	101.975
8.2	103.27
8.63	104.565
9.07	106.119
9.4	107.478
9.83	108.644
10.29	110.327
10.71	111.946
11.16	113.176
11.61	114.795
12.16	115.831
12.61	117.061
12.94	118.485
13.39	119.91
13.94	121.205
14.39	122.564
14.96	123.859
15.52	125.478
16.09	126.773
16.55	128.327
17.11	129.233
17.57	130.657
18.14	131.434
18.72	132.924
19.29	133.765
19.88	135.319
20.44	136.226
21.03	137.521
21.6	138.297
22.18	139.139
22.77	140.434
23.35	141.146
23.93	142.312
24.52	142.959
25.11	143.866
25.7	144.513
26.28	145.29
26.87	146.002
27.47	146.52
28.07	147.491
28.66	147.621
29.25	148.074
29.86	148.398
30.46	149.045
31.09	149.369
31.69	149.369
32.3	150.017
32.94	150.146
33.56	149.952
34.18	150.405
34.78	151.247
35.41	150.664
36.04	151.117
36.66	151.052
37.3	150.729
37.93	150.923
38.59	150.211
39.23	150.405
39.72	148.916
39.79	147.75
39.92	146.067
