"Kanda et al. 1988, Spec. PDC3"	
0.6275	-4.401
1.082	-0.87123
1.501	2.6496
1.796	4.9803
1.9825	6.2961
2.164	7.6658
2.393	9.305
2.716	11.348
3.104	13.652
3.5175	15.704
3.91	17.438
4.235	18.875
4.4535	19.98
4.554	20.46
4.5995	20.586
4.6115	20.527
4.674	20.941
4.828	21.655
5.0185	22.93
5.192	23.819
5.291	24.309
5.3025	24.143
5.278	23.24
5.1035	21.574
4.754	19.122
4.204	16.427
3.429	12.435
2.421	5.9458
1.204	-3.0043
-0.1655	-12.556
-1.6335	-20.375
-3.1485	-27.542
-4.655	-34.682
-6.094	-41.931
-7.411	-48.788
-8.57	-54.231
-9.5855	-58.093
-10.483	-61.277
-11.267	-63.608
-11.722	-65.022
-11.751	-64.537
-11.622	-61.335
-10.833	-53.521
-9.337	-41.006
-7.2875	-27.699
-4.804	-17.514
-1.9395	-1.6885
1.197	11.546
4.4445	24.488
7.628	39.196
10.561	50.18
13.094	57.051
15.182	62.135
16.799	65.593
17.931	67.753
18.569	68.979
18.732	68.081
18.422	62.534
17.705	55.421
16.57	45.33
14.998	33.2
13.068	21.771
10.891	13.113
8.5	2.2095
6.0665	-6.3096
3.6975	-12.242
1.3995	-17.402
-0.804	-22.207
-2.8495	-28.44
-4.636	-35.45
-6.0575	-41.827
-7.0695	-46.516
-7.6935	-49.439
-7.891	-50.086
-7.649	-46.43
-7.03	-40.763
-6.0665	-33.367
-4.811	-25.404
-3.3355	-19.243
-1.671	-10.441
0.0725	-0.14372
1.769	9.3768
3.3005	16.329
4.611	21.677
5.6995	26.559
6.5675	30.528
7.155	33.115
7.3995	34.233
7.2355	31.139
6.627	26.24
5.626	19.8
4.3035	13.98
2.741	5.38
1.044	-5.6225
-0.61	-15.3
-2.1195	-22.256
-3.4335	-27.924
-4.529	-33.012
-5.392	-37.507
-6.004	-40.714
-6.3575	-42.627
-6.49	-43.121
-6.412	-41.176
-6.1385	-38.504
-5.5695	-33.995
-4.6765	-28.139
-3.4695	-21.987
-1.973	-14.981
-0.2485	-3.8127
1.5735	8.766
3.336	17.339
4.93	24.228
6.1995	30.142
7.0335	34.287
7.54	36.739
7.7505	37.691
7.5995	34.826
7.036	29.666
6.073	22.979
4.899	17.213
3.7555	12.305
2.7215	6.3814
1.736	-0.026977
0.813	-6.0671
-0.031	-11.465
-0.704	-15.417
-1.1305	-17.725
-1.276	-18.408
-1.1555	-16.445
-0.771	-13.414
-0.196	-8.8559
0.4845	-3.5388
1.1965	1.6212
1.845	6.341
2.336	9.4801
2.603	11.079
2.5035	9.3902
2.064	5.7751
1.514	1.455
1.065	-2.1601
0.8995	-3.4804
1.0025	-1.5224
1.339	1.482
1.813	5.5776
2.3175	9.2241
2.755	11.887
3.061	13.639
3.1705	14.168
3.0275	12.175
2.755	10.212
2.4955	9.2486
2.268	6.7542
2.148	5.8471
2.107	6.0131
2.105	5.7797
2.0075	4.7692
1.683	2.232
1.0885	-2.3487
0.175	-9.1388
-1.0035	-16.832
-2.3075	-22.952
-3.546	-28.427
-4.525	-33.124
-5.1125	-36.164
-5.263	-36.874
-5.0495	-33.757
-4.5385	-29.927
-3.8605	-25.845
-3.031	-21.722
-2.016	-17.186
-0.826	-9.5115
0.4695	-0.38171
1.747	7.9397
2.912	14.281
3.9275	18.695
4.785	22.432
5.4785	25.795
6.0345	28.526
6.4795	30.843
6.76	32.343
6.808	32.477
6.792	31.296
6.533	28.687
5.968	24.246
5.1345	19.391
4.0765	14.734
2.8255	8.1598
1.422	-1.0059
0.0565	-10.167
-1.031	-16.746
-1.769	-20.37
-2.202	-22.234
-2.3825	-23.074
-2.401	-22.948
-2.3865	-22.324
-2.2475	-20.837
-1.9375	-19.135
-1.419	-16.073
