Galeota 1996 Specimen BA2	
1.55	-50.47834
1.05	-51.23174
0.43	-52.04794
-0.1	-52.23629
-0.81	-52.86413
-1.51	-53.80589
-2.13	-54.49651
-2.63	-55.06157
-3.15	-55.50106
-3.66	-56.06611
-4.51	-57.07066
-5.13	-57.63571
-5.69	-58.20077
-6.21	-58.76582
-6.92	-59.20531
-7.43	-60.0215
-7.93	-60.33542
-8.59	-58.64025
-9.15	-59.77037
-9.68	-60.64935
-10.23	-59.77037
-10.74	-60.8377
-11.44	-60.58656
-12.06	-61.2144
-12.49	-62.34451
-13.22	-63.03514
-13.75	-62.34451
-14.58	-63.34906
-15.14	-62.90957
-15.91	-63.97689
-15.8	-62.53286
-16.38	-62.90957
-16.96	-63.91411
-17.34	-62.59565
-17.9	-62.784
-18.46	-63.78854
-19.06	-62.59565
-19.85	-63.41184
-20.3	-61.77946
-20.93	-62.53286
-21.62	-61.02605
-22.14	-61.40275
-22.67	-61.40275
-23.14	-60.0215
-23.83	-60.14707
-24.42	-58.82861
-25.13	-58.57747
-25.3	-57.25901
-25.91	-57.00787
-26.48	-56.88231
-26.79	-55.18714
-27.37	-54.87321
-28.1	-53.42918
-28.83	-53.24083
-29.44	-51.67123
-30.08	-51.10617
-30.78	-50.85504
-30.98	-49.34822
-31.63	-49.28544
-32.06	-47.90419
-32.56	-47.52749
-33.09	-47.33913
-33.43	-45.8951
-34.04	-45.58118
-34.35	-44.19994
-34.89	-43.82323
-35.59	-42.50477
-36.15	-42.00249
-36.83	-40.55846
-37.35	-39.93062
-37.39	-38.61216
-37.41	-37.41927
-37.18	-36.03802
-37.09	-35.09626
-36.65	-33.08717
-36.38	-31.45478
-36.18	-30.32467
-35.99	-28.31558
-35.7	-26.87155
-35.36	-25.67866
-34.99	-24.29741
-34.88	-22.91616
-34.39	-21.72326
-34.17	-19.83974
-33.58	-18.01901
-33.33	-16.8889
-33	-15.38208
-32.59	-14.18918
-32.26	-12.68237
-31.6	-11.30112
-31.16	-9.919872
-30.95	-8.287488
-30.45	-7.471296
-30.11	-5.524992
-29.35	-4.332096
-29.08	-2.762496
-28.69	-0.94176
-28.2	0.439488
-27.83	1.820736
-27.35	3.1392
-27.2	4.39488
-26.69	5.524992
-26.48	6.969024
-25.84	8.47584
-25.48	10.17101
-25.09	11.42669
-24.55	12.74515
-24.01	14.1264
-23.76	15.63322
-23.22	16.63776
-23.03	18.01901
-22.55	19.96531
-21.97	21.22099
-21.46	22.3511
-20.97	23.73235
-20.53	24.79968
-20.01	26.11814
-19.38	27.49939
-18.81	29.13178
-18.26	30.26189
-17.6	31.83149
-16.98	33.02438
-16.44	34.65677
-15.82	35.41018
-15.28	36.66586
-14.73	37.85875
-14.04	39.24
-13.36	39.80506
-12.73	39.55392
-12.16	40.8096
-11.65	39.6167
-11.19	40.99795
-10.54	40.37011
-10	41.1863
-9.43	42.12806
-9.33	40.74681
-8.82	41.62579
-8.32	42.63034
-7.97	41.24909
-7.31	42.63034
-6.74	41.81414
-6.19	42.81869
-5.69	43.82323
-5.48	42.56755
-4.84	43.82323
-4.21	43.00704
-3.51	44.3255
-2.87	43.82323
-2.27	44.76499
-1.55	44.38829
-0.87	45.5184
-0.73	44.13715
-0.11	45.01613
0.43	45.95789
0.96	45.1417
1.46	45.8951
2.12	45.01613
2.79	46.14624
3.32	46.77408
3.56	45.33005
4.13	46.20902
4.7	45.33005
5.33	46.33459
5.89	45.5184
6.55	46.20902
7.19	47.088
7.79	46.33459
8.32	46.89965
8.53	45.5184
9.15	46.20902
9.74	46.77408
10.32	45.70675
10.89	45.20448
11.66	45.76954
12.34	44.70221
12.96	45.39283
13.55	44.01159
14.19	44.70221
14.69	43.76045
15.3	43.82323
15.86	44.38829
16.27	42.81869
16.85	43.32096
17.44	42.12806
18.1	42.44198
18.82	41.1863
19.55	41.62579
20.22	41.24909
20.4	39.67949
21.03	39.80506
21.67	38.42381
22.23	38.42381
22.9	37.23091
23.47	37.48205
24.18	36.03802
24.88	35.78688
25.49	35.66131
25.92	33.84058
26.48	33.90336
27.25	32.45933
27.9	32.64768
28.41	31.14086
28.99	31.14086
29.57	29.57126
30.19	28.94342
30.73	28.69229
30.97	27.18547
31.57	27.31104
32.31	27.31104
32.69	25.92979
33.21	25.99258
33.97	25.17638
34.5	22.91616
35.32	22.03718
35.93	20.15366
36.52	18.8352
37.23	18.20736
37.84	18.27014
38.4	17.83066
38.65	16.38662
38.38	14.87981
38.44	13.24742
38.39	11.74061
38.07	9.857088
38.2	8.350272
37.9	6.59232
37.44	4.897152
37.28	3.327552
37.18	1.820736
36.94	0.439488
36.35	-1.130112
36.36	-3.013632
36.01	-4.959936
35.83	-6.341184
35.38	-8.099136
34.95	-10.04544
34.58	-11.92896
34.13	-13.81248
33.61	-15.44486
33.09	-17.2656
32.71	-18.96077
32.22	-20.59315
31.95	-22.3511
31.49	-23.98349
30.96	-24.92525
30.46	-26.49485
30.26	-27.75053
29.47	-29.25734
29.1	-30.63859
28.32	-32.20819
27.52	-33.84058
27.02	-34.84512
26.46	-36.28915
25.92	-37.23091
25.32	-38.36102
24.69	-39.99341
23.92	-41.56301
23.33	-42.63034
22.75	-43.88602
22.25	-44.38829
21.69	-45.20448
21.03	-46.08345
20.45	-47.27635
19.94	-47.33913
19.41	-47.90419
18.6	-48.90874
18.03	-49.47379
17.45	-50.03885
16.69	-50.47834
16.06	-50.66669
15.51	-50.72947
14.93	-50.72947
14.14	-50.66669
13.61	-50.54112
13.03	-49.09709
12.87	-47.52749
12.46	-45.33005
12.61	-43.9488
12.61	-0.753408
