"""Thompson and Wallace, 1994, C2"""	
5.44576	-7.724335767
1.70434	-12.50261476
-0.24892	-15.95087568
-0.32258	-15.57055279
-3.02514	-23.28109907
-6.72846	-30.39469409
-10.41654	-35.14583894
-13.44676	-37.83389889
-15.6718	-39.32716668
-17.30502	-40.03309936
-18.25752	-40.22303839
-18.7071	-40.1145018
-19.08048	-40.52151402
-19.50466	-40.08736765
-19.24558	-35.25437554
-18.90522	-30.63890143
-18.1991	-22.87408685
-17.05102	-15.4077479
-14.56182	-4.656397743
-11.4427	3.244532397
-7.99084	8.674475772
-4.08432	12.93720596
-0.18288	18.91027712
3.65506	27.29962192
6.98246	33.54403456
9.9949	37.88816719
12.55268	40.71189788
15.0876	42.20516567
17.49044	43.39951301
18.43278	40.41297743
17.92732	34.84736331
17.49298	30.12335261
16.75384	23.30823322
14.85646	14.4033396
12.4968	6.122531384
9.61898	-1.452344157
6.55066	-6.529543606
3.38836	-10.52048749
0.06096	-15.43488205
-0.27178	-15.48915034
-0.3048	-15.29921131
-0.31242	-15.19067472
-2.73304	-22.05961758
-8.29818	-31.75229114
-14.05382	-37.3993077
-18.8214	-39.65277646
-22.26564	-39.13722765
-24.12492	-38.97397794
-24.83612	-38.48556327
-25.07234	-38.53983157
-25.19934	-38.02383793
-25.29078	-38.29517941
-25.38222	-37.94243549
-25.46858	-38.24091111
-25.52954	-38.05097208
-25.62098	-37.86103304
-25.70734	-37.94243549
-25.79624	-37.88816719
-25.89276	-38.10524037
-25.98166	-38.10524037
-26.08072	-38.07810623
-26.16708	-38.13237452
-26.26868	-38.10524037
-26.37282	-38.13237452
-26.4795	-37.88816719
-26.58364	-37.91530134
-26.68778	-37.96956963
-26.75128	-37.88816719
-27.11958	-38.15950867
-27.7241	-37.7253623
-28.75026	-37.7253623
-29.82722	-37.01942963
-29.02966	-26.64795754
-28.05684	-16.98241813
-26.57602	-9.543213333
-24.892	-2.484331429
-23.24862	2.75567291
-20.32508	9.000085549
-15.53972	13.77880937
-9.38276	17.09095473
-3.25628	20.29456349
2.39268	28.22262778
8.10006	35.79750332
13.87602	41.1731784
19.90852	41.93337937
24.61514	40.38584328
26.29154	39.54423987
27.07386	38.59409986
27.50058	38.59409986
27.76728	38.43129497
28.03144	38.34944771
28.29306	38.40416083
28.5623	38.40416083
28.86202	38.29517941
29.13888	38.13237452
29.42082	38.05097208
29.24048	33.76110775
28.36672	25.07328731
27.4828	17.90542399
26.63444	13.20854744
25.71496	9.977804525
24.1808	5.498001156
21.30298	-2.267258244
17.74952	-7.778604063
13.59408	-11.17215186
8.74522	-14.0230167
3.78714	-16.95528399
0.09144	-20.91909372
-0.1397	-20.83769127
-3.5306	-25.88775658
-8.1534	-31.10062677
-12.8905	-34.27710138
-17.55648	-36.36776525
