Saatcioglu et al. Column BG-9	
-18.50828	-209.9909422
-19.00787	-212.5930699
-19.50747	-213.1279027
-20.00706	-215.1787234
-20.50666	-216.1959878
-21.00625	-216.9375076
-21.50585	-217.3000608
-22.00544	-211.2539818
-22.50504	-211.6854103
-23.00463	-210.6697872
-23.50423	-209.585228
-24.00382	-210.1200608
-24.50342	-209.8623708
-25.00302	-209.7080851
-25.50261	-210.5530091
-26.0022	-211.2601216
-26.51903	-209.2506383
-27.0014	-210.9860182
-27.50099	-209.8669909
-28.00059	-210.6085106
-28.50018	-210.488693
-29.017	-212.0280851
-29.5166	-210.7712462
-30.01619	-211.0303951
-30.51579	-209.9113678
-31.01538	-210.1360486
-31.51498	-210.3263222
-32.01458	-206.829848
-32.51417	-208.3638298
-33.03099	-209.9032219
-32.49694	-151.6797568
-31.99734	-151.5928875
-31.49775	-142.0308207
-30.99816	-139.9111246
-30.49856	-135.5517933
-29.99897	-130.4344073
-29.49937	-129.1416413
-28.98255	-123.4675988
-28.48295	-121.9680851
-27.98336	-115.231307
-27.48376	-113.0426748
-26.98417	-107.5807903
-26.48457	-105.598845
-25.98498	-100.3092401
-25.48538	-97.60370821
-24.98579	-92.93428571
-24.48619	-88.47155015
-23.9866	-84.18115502
-23.487	-82.16474164
-22.98741	-79.01130699
-22.48781	-73.75617021
-21.98822	-71.77422492
-21.48862	-65.55428571
-20.9718	-63.77367781
-20.48943	-59.72981155
-19.98984	-59.50507599
-19.49024	-56.24829179
-18.99065	-51.33764742
-18.49105	-46.94384802
-17.99146	-45.16862006
-17.49186	-42.6698541
-16.99227	-38.99959878
-16.49267	-36.98318541
-15.99307	-32.89947112
-15.49348	-29.05693617
-14.99388	-26.55815805
-14.49429	-22.92235258
-13.99469	-21.90514286
-13.4951	-16.82222492
-12.9955	-13.15196353
-12.49591	-11.61792097
-11.97908	-8.321294833
-11.49672	-5.242146505
-10.99712	-2.26098845
-10.49753	1.512640122
-9.997932	5.010627356
-9.498337	6.096753799
-8.998742	10.66285106
-8.499146	14.95330699
-7.999552	16.31507599
-7.482729	19.16379331
-6.983134	20.04319149
-6.483539	24.12691793
-5.983944	27.59045593
-5.484349	30.08924012
-4.984754	31.89893009
-4.485158	36.74066869
-3.985563	39.34283283
-3.468741	41.88145289
-2.986373	44.9606079
-2.486778	48.66532523
-1.987183	49.33799392
-1.487588	52.87044377
-0.9879924	56.09279635
-0.4883973	58.97058967
0.01119782	62.36522796
0.510793	63.48583587
1.010388	66.7081459
1.509983	69.723769
2.009578	70.98218845
2.526401	74.89902736
3.008769	77.94370821
3.508364	78.92650456
4.007959	82.01100304
4.507554	85.99136778
5.007149	86.97410334
5.506744	90.0931307
6.00634	91.17927052
6.505935	95.22851064
7.00553	96.03902736
7.505125	99.39920973
8.004721	101.7257143
8.504315	103.3975684
9.003911	107.0678419
9.503506	108.8430395
10.0031	112.23769
10.5027	112.6347112
11.00229	115.7536778
11.50189	116.0128875
12.00148	120.0965957
12.50108	122.9744073
13.00067	124.7151368
13.50027	127.3173252
14.01709	129.3046809
14.51668	132.2168997
15.01628	134.4055927
15.51587	135.6639514
16.01547	138.817386
16.51506	140.4203647
17.01466	143.3670517
17.51426	144.3842553
18.01385	148.0889362
18.51344	149.4851672
19.01304	151.5705167
19.51264	152.3120365
20.02946	156.1599392
20.51183	157.619696
21.01142	160.4629787
21.51101	162.4105167
22.01061	164.3579939
22.51021	165.3751976
23.0098	167.8050456
23.5094	168.4087538
24.00899	171.8034043
24.50859	174.0609726
25.00818	175.9395137
25.50778	177.9559271
26.00737	180.0412158
26.50697	181.2306991
27.00656	183.143769
27.50616	184.229848
28.00575	184.3856535
28.50535	188.5727052
29.00494	188.556231
29.52176	190.4745897
30.00413	192.9334954
30.50373	194.3986018
31.00332	196.897386
31.50292	196.1228571
32.00251	198.3115502
32.50211	198.6051064
33.01893	200.9714286
33.5013	198.4688146
32.98448	163.9558663
32.48488	156.3233435
31.98529	153.8245593
31.48569	147.5357447
30.9861	145.8984195
30.4865	138.1968997
29.98691	136.4561702
29.48731	133.3717325
28.98771	127.2896049
28.48812	125.4110638
27.98853	119.1911246
27.48893	118.1395137
26.98933	111.5750152
26.48974	109.9032219
25.99014	103.511003
25.49055	103.1139818
24.99095	97.72103343
24.49136	92.50030395
23.99176	90.89738602
23.47494	85.32674772
22.99257	84.48717325
22.49298	79.05969605
21.99338	74.70036474
21.49379	70.40990881
20.99419	69.77173252
20.4946	65.34346505
19.995	60.7773921
19.49541	60.34592705
18.99581	55.53865653
18.49622	52.5575076
17.99662	49.85199392
17.49703	45.4237386
16.99743	45.06117325
16.49784	40.56399392
15.99824	37.65175684
15.49865	34.56724012
14.99905	31.55162918
14.49946	28.26038298
13.99986	24.96912462
13.48304	21.74141033
12.98344	14.4533617
12.48385	13.74624924
11.98425	8.938966565
11.48466	8.473033435
10.96784	3.074641337
10.48547	2.131708207
9.985873	-3.536952584
9.486279	-4.312984802
8.986683	-10.91193313
8.469861	-12.14125228
7.987493	-16.32297264
7.487897	-16.61663222
6.988302	-19.49443161
6.488707	-22.51004863
5.989112	-25.83576292
5.47229	-28.89120973
4.989922	-33.38302736
4.490326	-38.25922188
3.990731	-38.72516109
3.491136	-42.87779331
2.991541	-43.1370152
2.491946	-45.25679635
1.992351	-49.71952584
1.492756	-49.73755015
0.9759333	-55.06703951
0.4935656	-55.66542249
-0.006029591	-57.7507538
-0.5056247	-64.59088146
-1.022447	-66.06139818
-1.522042	-70.59306991
-2.021638	-71.12790274
-2.504005	-71.58844985
-3.003601	-75.29319149
-3.503196	-78.61890578
-4.002791	-82.6337386
-4.502386	-85.95945289
-5.019208	-86.39629179
-5.501576	-90.0956231
-6.001172	-90.94054711
-6.517994	-95.06413374
-7.000362	-95.42133739
-7.517184	-100.1995137
-8.016779	-100.7688146
-8.516374	-104.2324012
-9.015969	-104.5604863
-9.515564	-107.7828571
-10.03239	-111.5962918
-10.51475	-112.1946505
-11.01435	-113.6598176
-11.51394	-116.9510638
-12.01354	-119.8288754
-12.51313	-120.3637082
-13.02996	-123.5914286
-13.51233	-127.6697264
-14.01192	-128.411307
-14.51152	-131.8059574
-15.01111	-132.2029787
-15.51071	-136.0799392
-16.0103	-136.8904559
-16.5099	-140.2850456
-17.00949	-140.8888146
