"Bayrak and Sheikh 1996, AS7-HT"	
1.637774357	31.24957983
1.744022221	34.13508403
1.879894788	37.31344538
2.038874962	39.93193277
2.174161688	43.20504202
2.346388351	47.08970588
2.544842382	50.92268908
2.709346897	54.64369748
2.885824115	56.68508403
3.008837316	59.77731092
3.216385058	63.57584034
3.32416272	66.08235294
3.482138814	69.31239496
3.641802809	72.55966387
3.785362836	75.21260504
3.917503401	78.88193277
4.057372533	81.14726891
4.215399627	83.99831933
4.318489261	86.6512605
4.44832911	88.97689076
4.542443419	91.56092437
4.769337107	94.83403361
4.90349955	97.67647059
5.011087497	99.57142857
5.113758086	101.9831933
5.277537239	104.0504202
5.468121103	106.8928571
5.518909746	108.7878151
5.641157957	111.1134454
5.713040126	113.1806723
5.902375394	115.4201681
6.025403666	117.6596639
6.124782985	119.2962185
6.251550958	120.6743697
6.265573328	123.0861345
6.441085935	125.5840336
6.54552356	127.4789916
6.740797436	129.5462185
6.844464778	131.9579832
6.973574861	133.5084034
7.067456778	135.2310924
7.192663675	136.3508403
7.253580061	138.0735294
7.433505766	140.0546218
7.537967498	141.7773109
7.680525863	144.1029412
7.774541808	145.394958
7.996658942	147.2037815
8.194495294	149.2710084
8.423236249	151.3382353
8.517897315	152.9747899
8.800573126	154.6113445
8.946831859	155.9894958
9.121843595	157.7121849
9.28346218	159.1764706
9.635533228	156.4201681
10.23704722	154.0084034
10.53249798	152.1995798
10.95720956	149.3571429
11.15435087	147.2037815
12.07117358	146.342437
12.50850021	146.0840336
13.15845349	144.2752101
13.13042745	142.6386555
13.06496743	141.1743697
12.89487317	139.2794118
12.85008182	137.7289916
12.7151342	135.8340336
12.55832667	133.8529412
12.34498819	132.1302521
12.21675892	130.3214286
12.11803385	128.3403361
11.90011674	126.3592437
11.76985978	124.894958
11.66045853	123.0861345
11.48043954	121.105042
11.32700161	119.210084
11.11671865	116.9705882
10.98952564	115.0756303
10.84386769	113.5252101
10.72973674	111.3718487
10.56444107	109.3046218
10.39315901	107.237395
10.20776096	105.5147059
10.15770188	103.6197479
9.91142924	101.6386555
9.793329425	98.96848739
9.588459633	96.9012605
9.433281726	94.66176471
9.279483501	92.50840336
9.073309564	90.61344538
8.982955859	88.63235294
8.768539978	86.4789916
8.564705687	83.46428571
8.437357165	81.1644958
8.274059362	78.82163866
8.007750491	76.40987395
7.858257537	73.28319328
7.695882487	70.71638655
7.433680508	67.82226891
7.362034797	65.36743697
7.128217476	62.9039916
6.964199711	60.59558824
6.832286103	58.50252101
6.603361802	55.21218487
6.462788296	52.25777311
6.191673836	49.03634454
6.067085503	47.15
5.959358577	44.84159664
5.837047808	42.93802521
5.661573911	40.3539916
5.462372848	37.72689076
5.272785588	34.41932773
5.115454391	31.69747899
4.987109505	29.08760504
4.842327481	26.44327731
4.745402578	24.04012605
4.546198141	22.07539916
4.446055903	19.95390756
4.347609404	18.22260504
4.203869226	15.03563025
3.971647627	12.04245798
3.855104958	10.05189076
3.739842841	7.881302521
3.608144961	4.875210084
3.456879409	2.696008403
3.277306546	0.542647059
3.152296846	-1.82605042
3.050712012	-3.63487395
2.881168309	-5.667647059
