"Xiao 98,Specimen nr. HC4-8L19-T10-0.2P"	
18.013807	271.50592
16.898493	228.09344
15.81785	188.63968
14.677136	152.344
13.536549	119.71792
12.088368	82.86624
10.6054525	53.932
8.6472395	18.6816
6.2549405	-13.43296
3.6312475	-53.932
1.143889	-96.2992
-1.090041	-138.64416
-3.304921	-175.22896
-5.662422	-207.32128
-8.434959	-237.58992
-11.201146	-264.41136
-14.350873	-290.4544
-17.947259	-313.3616
-20.114641	-323.34736
-19.097498	-272.57344
-18.10258	-236.78928
-16.904716	-196.268
-15.706979	-159.95008
-14.252575	-120.7632
-12.535154	-80.77568
-10.538968	-43.1456
-8.428609	-9.74112
-5.630672	26.82144
-3.438017	53.1536
-1.194562	80.77568
0.5481955	107.06336
2.1198205	134.70768
3.735832	163.10816
5.554599	192.86528
7.5698985	223.91232
9.848215	254.4256
12.351385	283.8936
14.810232	310.20352
17.779365	335.20128
21.344001	353.59376
24.988012	359.90992
28.676346	362.02272
29.496893	361.48896
29.642689	347.81136
28.799917	310.4704
27.957018	277.57744
27.199717	249.93312
26.420191	222.57792
25.615392	195.75648
24.762968	168.9128
23.764875	142.60288
22.465665	111.02208
20.811744	76.81696
18.821781	47.3712
15.963646	12.09856
11.9489855	-23.6856
8.054721	-53.42048
4.9145825	-85.24592
1.90119	-122.34224
-0.354965	-154.16768
-2.969006	-188.3728
-5.538851	-215.99488
-8.425434	-242.06016
-12.05357	-271.50592
-15.985871	-297.5712
-19.740753	-315.71904
-23.46706	-324.9264
-23.809198	-325.46016
-27.373961	-327.01696
-29.550868	-326.50544
-28.479877	-276.7768
-27.55138	-242.57168
-26.486866	-208.3888
-25.3746	-174.96208
-24.145113	-141.02384
-22.773132	-108.66464
-21.439124	-81.04256
-19.534759	-47.63808
-16.892143	-11.29792
-12.417933	36.29568
-8.200517	70.25616
-1.768094	121.29696
2.864485	175.49584
7.5667235	229.69472
10.820908	260.208
13.571347	284.40512
16.968089	309.136
20.504277	327.0392
24.129365	339.13776
27.795474	350.45792
29.642689	349.3904
28.277058	288.8976
26.996898	241.5264
25.105106	180.76672
23.280116	129.97056
21.464397	88.404
