"Paultre, Legeron, Mongequ, July-August 2001 test 1005540"	
3735	
-5.28	6.06
-4.82	7.88
-4.41	9.7
-3.99	11.51
-3.66	13.32
-3.28	15.14
-2.88	16.96
-2.47	18.79
-2.05	20.59
-1.69	22.4
-1.31	24.22
-0.98	26.03
-0.89	25.83
-0.8	24.03
-0.82	23.97
-0.56	25.83
-0.24	27.69
0.18	29.52
0.58	31.36
0.83	33.22
1.32	35.02
1.52	36.85
1.9	38.68
2.34	40.49
2.66	42.3
3.12	44.12
3.39	45.93
3.82	47.75
4.17	49.57
4.62	51.37
5.04	53.19
5.4	55
5.87	56.79
6.27	58.6
6.63	60.4
7	62.2
7.52	64
7.9	65.8
8.32	67.59
8.77	69.41
9.06	71.19
9.61	72.98
10.02	74.78
10.37	76.59
10.86	78.38
11.24	80.18
11.69	81.96
12.2	83.74
12.51	85.53
13.07	87.31
13.38	89.1
13.87	90.87
14.34	92.65
14.79	94.42
15.35	96.2
15.81	97.99
16.33	99.73
16.73	101.5
17.17	103.26
17.55	105.03
18.13	106.78
18.51	108.59
19	110.31
19.61	112.06
19.96	113.82
20.54	115.56
21.01	117.3
21.66	119.05
22.1	120.79
22.75	122.51
23.2	124.24
23.91	125.96
24.33	127.69
25	129.41
25.63	131.12
26.27	132.81
26.83	134.55
27.46	136.23
28.04	137.93
28.75	139.63
29.35	141.31
30.13	142.99
30.91	144.67
31.49	146.33
32.23	147.97
33.05	149.64
33.79	151.27
34.59	152.92
35.37	154.54
36.24	156.17
37.02	157.81
37.89	159.4
38.72	161
39.59	162.59
40.48	164.17
41.44	165.74
42.42	167.29
43.45	168.83
44.52	170.32
45.59	171.81
46.88	173.28
48.18	174.66
49.49	175.99
49.67	176.06
49.78	166
49.47	164.16
49.2	162.33
48.84	160.53
48.51	158.72
47.95	156.91
47.68	155.12
47.17	153.35
46.66	151.58
46.15	149.81
45.66	148.05
45.3	146.28
44.83	144.53
44.34	142.76
43.74	141
43.25	139.23
42.76	137.48
42.29	135.71
41.95	133.95
41.42	132.18
40.77	130.41
40.37	128.66
39.88	126.88
39.3	125.13
38.92	123.34
38.45	121.57
37.92	119.81
37.36	118.04
36.91	116.27
36.47	114.48
35.89	112.73
35.51	110.95
34.93	109.2
34.55	107.42
34.1	105.64
33.5	103.87
33.03	102.09
32.56	100.33
32.12	98.55
31.72	96.78
31.14	95
30.8	93.23
30.22	91.44
29.89	89.65
29.4	87.87
28.93	86.09
28.48	84.3
28.17	82.51
27.68	80.72
27.12	78.95
26.7	77.16
26.3	75.37
25.9	73.57
25.49	71.81
25.03	70.01
24.53	68.23
24.09	66.42
23.71	64.63
23.31	62.84
22.82	61.05
22.37	59.25
22.01	57.46
21.57	55.67
21.28	53.87
20.85	52.08
20.43	50.28
20.01	48.48
19.56	46.67
19.18	44.88
18.76	43.07
18.49	41.28
18.04	39.49
17.67	37.7
17.24	35.9
16.8	34.07
16.48	32.28
16.1	30.49
15.59	28.69
15.17	26.87
14.88	25.09
14.39	23.29
14.03	21.49
13.74	19.7
