"Kanda et al. 1988, Spec. PDC1"	
-1.7522	-10.239
-1.7917	-10.293
-1.8013	-10.437
-1.7744	-10.176
-1.7083	-9.5205
-1.6006	-8.5775
-1.4517	-7.329
-1.2623	-5.5776
-1.0404	-3.9968
-0.7928	-2.0074
-0.5241	0.080834
-0.2391	2.2229
0.0527	4.3292
0.34185	6.6464
0.61755	8.2451
0.871	9.8618
1.0971	11.609
1.2909	12.511
1.4452	13.531
1.5529	14.236
1.6059	14.564
1.5975	14.317
1.5288	13.621
1.401	12.552
1.1958	10.935
0.89635	8.6448
0.51265	5.9638
0.0553	2.5553
-0.43935	-1.0284
-0.93505	-4.5358
-1.403	-7.9981
-1.8148	-10.594
-2.1418	-12.475
-2.3574	-13.769
-2.467	-14.622
-2.4769	-14.712
-2.391	-13.603
-2.2173	-12.408
-1.9679	-10.612
-1.6563	-8.3125
-1.2973	-5.2812
-0.90715	-4.0687
-0.49705	-0.37719
-0.08435	2.9909
0.31615	6.2737
0.69035	8.7346
1.0279	10.953
1.3193	12.866
1.5473	14.204
1.6963	15.156
1.7846	16.032
1.8299	16.069
1.85	16.104
1.862	16.288
1.8609	16.302
1.8434	16.131
1.8221	15.978
1.8098	15.911
1.8002	15.74
1.7871	15.718
1.7655	15.516
1.7308	15.17
1.6676	14.573
1.5612	13.805
1.3947	12.255
1.1535	10.697
0.8354	8.3798
0.44025	5.142
-0.03775	1.8143
-0.6042	-2.425
-1.2505	-6.7946
-1.9677	-11.501
-2.7351	-15.929
-3.5331	-20.581
-4.3328	-25.095
-5.1062	-30.025
-5.8218	-34.597
-6.4493	-38.351
-6.969	-41.733
-7.3625	-43.911
-7.6213	-45.097
-7.7393	-45.667
-7.7286	-45.146
-7.6048	-43.678
-7.3776	-41.63
-7.0582	-38.598
-6.6694	-34.97
-6.2348	-31.745
-5.7589	-28.315
-5.2459	-24.91
-4.6927	-21.313
-4.0967	-18.084
-3.4626	-14.46
-2.7959	-10.679
-2.1034	-6.0267
-1.3942	-1.217
-0.68725	3.3052
-0.0004	7.1808
0.65545	10.953
1.2701	14.151
1.84	17.478
2.3618	20.689
2.8312	23.586
3.2448	26.455
3.5994	28.678
3.8935	30.564
4.1307	31.889
4.3161	32.989
4.4555	33.829
4.5553	34.521
4.6089	34.849
4.6109	35.042
4.5504	34.049
4.4209	32.599
4.2243	30.308
3.9646	28.229
3.6405	25.737
3.2517	22.908
2.8047	19.67
2.307	16.252
1.7672	12.862
1.1933	8.7571
0.5939	4.7423
-0.0231	0.52542
-0.65405	-3.6959
-1.2953	-7.9263
-1.9232	-11.999
-2.5145	-15.291
-3.038	-17.954
-3.4646	-20.276
-3.7898	-22.373
-4.0093	-23.307
-4.1339	-24.026
-4.1747	-24.228
-4.1384	-23.972
-4.0342	-22.97
-3.8779	-21.731
-3.6856	-20.227
-3.4678	-18.839
-3.2343	-17.352
-2.9812	-15.933
-2.7041	-14.303
-2.4004	-12.309
-2.068	-9.9921
-1.7059	-7.4996
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
