Galeota 1996 Specimen CA3	
2128	
30.73	33.81507
30.21	32.24792
30.12	30.79114
29.88	29.29021
29.55	27.41405
29.19	25.58203
28.98	23.94866
28.63	22.4698
28.39	20.96888
28.19	19.49002
27.92	17.94494
27.48	16.24536
27.32	15.07552
27.01	13.68495
26.73	12.38267
26.46	11.14661
26.17	9.9547
25.73	8.29926
25.46	7.15149
25.08	6.047865
24.74	4.546935
24.44	3.310875
24.05	2.052742
23.61	0.838755
23.16	-0.52974
22.68	-1.964453
22.15	-3.26673
21.59	-4.458645
20.99	-5.58434
20.4	-6.643825
19.78	-7.615015
19.18	-8.586205
18.58	-9.44703
17.95	-10.32993
17.33	-11.19076
16.7	-12.00744
16.06	-12.77998
15.42	-13.57459
14.79	-14.32505
14.16	-15.11966
13.54	-15.84805
12.87	-16.66474
12.24	-17.45934
11.62	-18.25396
10.98	-19.11478
10.34	-20.01976
9.69	-21.23375
9.09	-21.96214
8.47	-22.99954
7.88	-24.08109
7.26	-25.27301
6.66	-26.50908
6.06	-27.78928
5.48	-29.20192
4.88	-30.70285
4.31	-32.24792
3.76	-33.88129
3.41	-35.02906
3.02	-36.15475
2.64	-37.43496
2.29	-38.64895
1.92	-39.86293
1.54	-41.20936
1.19	-42.622
0.83	-43.99049
0.48	-45.42521
0.13	-46.85992
-0.23	-48.29463
-0.6	-49.75142
-0.95	-51.23025
-1.3	-52.7312
-1.64	-54.1659
-2	-55.5565
-2.35	-56.9912
-2.71	-58.3597
-3.07	-59.7944
-3.43	-61.11875
-3.77	-62.48725
-4.12	-63.70125
-4.51	-65.04765
-4.89	-66.32785
-5.26	-67.54185
-5.63	-68.73375
-5.97	-69.8374
-6.33	-71.0293
-6.92	-72.59645
-7.3	-73.72215
-7.86	-75.17895
-8.45	-76.5916
-9.06	-77.98215
-9.66	-79.19615
-10.12	-81.20475
-10.67	-81.20475
-11.29	-82.2863
-11.86	-83.34575
-12.51	-84.40525
-13.12	-85.4206
-13.78	-86.3476
-14.4	-87.1864
-15.05	-88.06925
-15.67	-88.8418
-16.3	-89.6364
-16.96	-90.40895
-17.6	-91.027
-18.28	-91.645
-18.93	-92.3072
-19.58	-92.83695
-20.26	-93.3667
-20.92	-93.8302
-21.59	-94.27165
-22.23	-94.6469
-22.73	-94.84555
-23.4	-95.1766
-24.08	-95.46355
-24.76	-95.5739
-25.43	-95.8388
-25.93	-95.9271
-26.6	-96.01535
-27.28	-95.94915
-27.79	-96.01535
-28.49	-95.905
-29	-95.8388
-29.73	-95.6843
-30.4	-95.4194
-30.91	-95.33115
-31.63	-95.0442
-32.35	-94.73515
-33.12	-94.35995
-33.81	-93.94055
-34.32	-93.6757
-35.04	-93.21215
-35.78	-92.68245
-36.51	-92.08645
-36.8	-90.89455
-37.13	-89.79095
-37.16	-88.6211
-37.69	-89.0846
-37.9	-87.45125
-37.66	-85.53095
-37.38	-83.67685
-37.08	-81.8007
-36.8	-79.99075
-36.55	-78.1146
-36.21	-76.3267
-35.98	-74.5609
-35.73	-73.14825
-35.5	-71.80185
