"Saatcioglu and Ozcebe 1989, Spec. U6"	
60.2	-58.44
57.2	-70.92
54.2	-79.23
50.6	-87.64
47.8	-96.66
44.6	-104.6
41.6	-112.5
38.6	-120
35.6	-127.4
32.6	-134.7
29.6	-143.1
29.6	-143.1
25	-154.2
21.9	-161.8
18.8	-169.2
15.9	-174.7
12.9	-181.3
9.84	-187.1
6.74	-192.2
3.8	-196.9
0.856	-200.5
-2.24	-205.3
-5.2	-209
-8.3	-212.9
-11.3	-216.6
-13.9	-219.7
-17.6	-222.8
-20.4	-226.7
-23.4	-230.1
-26.4	-233.3
-29.4	-236.2
-32.4	-239.4
-35.5	-242.4
-38.7	-245.1
-41.6	-248.1
-45	-250.6
-45	-250.6
-48.8	-254.5
-51.8	-257
-54.8	-259.7
-57.8	-262.6
-60.2	-265.2
-63.2	-267.6
-66	-270
-69	-272.6
-72	-275.1
-74.8	-276.6
-77.4	-278.9
-80.8	-280.7
-83.6	-282
-86.4	-282.7
-88.2	-274.3
-88.2	-258.5
-87.4	-243.7
-86	-217.3
-84.6	-196
-83.4	-178.9
-82	-161
-80.8	-144.1
-79.2	-128
-77.6	-110.7
-77.6	-110.7
-74.2	-71.2
-72.8	-55.44
-71	-39.74
-69.2	-24.28
-66.8	-9.722
-64.4	5.184
-61.8	20.17
-59.2	33.82
-56	47.36
-53.2	57.61
-50	66.07
-47	73.78
-43.8	80.72
-41.2	87.79
-38	95.24
-35	102.7
-32	109.8
-29	117.7
-26.1	125.6
-23.3	132.6
-20.5	140.6
-17.5	148
-15	155.5
-12.1	161
-12.1	161
-7.72	170.5
-4.74	176
-1.48	182
1.51	187.1
4.66	191.9
7.72	196.5
10.5	200.5
13.3	204.5
16	209.4
19.2	213.4
22.1	217.6
25.2	221.7
27.9	225.4
30.9	229.4
33.9	233
36.9	237.1
40	240.4
43	244.8
45.8	247.8
48.8	252.7
51.8	255.8
54.6	260.2
57.8	264.4
60.8	268.4
60.8	268.4
65.4	274.3
68.4	279
71.4	282.3
74.4	285.4
77.2	288.5
80.2	291.7
82.8	293.8
85.8	295.9
88.2	297.6
89	286.6
89	268.6
88.2	249.9
86.6	216.8
84.6	187.4
83.4	160.1
81.8	135.3
80.2	111.5
78.6	89.49
77.2	70.71
75.8	51.7
73.6	34.39
72.4	19.12
70.8	4.656
68.6	-10.41
68.6	-10.41
64	-38.02
61.4	-52.56
58.4	-65.97
55.4	-73.93
52.2	-81.18
49.2	-88.22
46	-95.56
43	-103.7
40	-111.2
37	-118.2
34	-125.1
31.1	-132.2
28.1	-140
25.2	-147.8
21.9	-155
19	-162.5
16.2	-169.5
13.3	-174.7
10.2	-180.8
7.38	-185.7
4.34	-190.3
2.36	-194.1
-0.746	-197.8
-3.71	-201.2
-3.71	-201.2
-8.24	-207.1
-11.3	-210.3
-14.3	-213.4
-17.2	-217
-19.8	-219.8
-23	-222.5
-25.7	-225.1
-28.6	-227.1
-31.8	-230.1
-34.9	-232.7
-37.9	-234.6
-41	-237.5
-44	-239.4
-47	-241.3
-50.2	-243.7
-53.2	-246.1
-56.2	-248.1
-59.2	-249.8
-62.2	-251.8
-65.2	-253.7
-68.2	-255.7
-71.2	-257.2
-74.2	-258.1
-77.2	-259.6
-77.2	-259.6
-81.2	-260.9
-84	-261.7
-86.8	-261.7
-88	-253.3
-88	-238
-87	-223.4
-85.6	-197.9
-84.4	-179.6
-83	-161.4
-81.6	-144
-80.4	-127.6
-79	-110.9
-77.4	-93.71
-76	-77.21
-74.4	-61.58
-72.8	-45.52
-71	-30.59
-69.2	-15.66
-66.8	-1.048
-63.6	13.78
-61.2	28.29
-58.4	41.01
-55.4	51.31
-52.4	58.79
-52.4	58.79
-48	68.6
-45	75.21
-41.8	81.9
-39	89.18
-36.1	95.95
-33.1	102.8
-30.1	110.7
-27	118.3
-24.7	124.2
-21.8	132
-18.8	139.6
-15.9	146.5
-13	153.5
-10	160
-6.94	165.8
-4.1	171.2
-1	177.1
2.06	181.9
3.62	166.8
4.92	182.6
7.8	191.4
10.7	195.7
13.6	199.4
16.6	203.8
16.6	203.8
21	209.7
24	213.8
27.1	217.4
30.2	219.9
33.1	224.3
36.1	227.3
39.1	230.7
42.2	233.7
45.2	236
48.2	239.5
51.2	241.9
54.2	244.5
57	247
60	249.2
63	251.5
66	253.8
65.8	232.9
63.8	199.7
62.2	171.1
60.8	148.3
59.4	124.9
57.8	102.8
56.2	82.13
54.8	62.38
54.8	62.38
50.6	17.62
48.6	2.611
46.6	-11.34
43.8	-26.27
40.8	-40.06
38.2	-49.12
35.3	-55.19
32.2	-60.23
29.1	-66.07
26.1	-72.69
23.2	-79.77
20.2	-87.36
17.2	-95.34
14.1	-103.3
11	-111.7
8.64	-118.1
5.7	-126.2
2.56	-134.8
-0.41	-142.4
-3.51	-150.4
-6.3	-157.3
-9.02	-162.9
-12.1	-169.5
-15	-175.6
-15	-175.6
-19.3	-183.6
-22.4	-189.2
-25.3	-193.8
-28	-196.9
-31	-200.8
-34	-203.9
-37	-207
-40	-209.3
-43	-211.7
-46	-213.9
-48.6	-215.7
-51.6	-216.9
-54.6	-218.7
-57.6	-220.1
-60.6	-221.2
-63.6	-222.1
