"Pujol 2002, No. 10-3-1.5S"	
16.73097124	111.4270742
17.15177026	111.8282378
17.17437677	111.8059495
17.10273181	111.8282378
17.19192059	111.7613729
17.1584673	111.7390847
17.23425688	108.2623844
17.3091131	108.2400961
17.16423097	108.2623844
17.23694847	108.2623844
17.1918925	108.2400961
17.51954069	110.3573215
17.44813323	110.3350333
17.51735729	110.3573215
17.47537724	110.3573215
17.49297214	110.3350333
17.53328208	110.2904567
17.67210431	110.2681769
17.60375489	110.2681769
17.64133111	110.2458886
17.63113807	110.2681769
17.91625845	111.2264966
17.91354771	111.293353
17.87142337	111.2264966
17.94621063	111.2487849
17.88397729	111.2042083
18.22118394	111.6945166
18.15654247	111.6945166
18.2153079	111.6945166
18.24974692	111.6945166
18.19506483	111.64994
18.49285915	112.2293929
18.54205337	112.2293929
18.4093868	112.1402483
18.4948472	112.1402483
18.52312034	112.1625365
18.57668008	108.0840866
18.63922369	108.0395185
18.53666509	108.0617983
18.65996984	108.0840866
18.56381844	108.0395185
18.58034717	106.2788716
18.65830611	106.3011599
18.66510275	106.2565918
18.6313494	106.2565918
18.60704341	106.2788716
18.71247747	109.332137
18.83803968	109.3098487
18.74164823	109.3098487
18.84946487	109.3098487
18.707342	109.2875604
19.09703073	111.4493625
19.05120738	111.4493625
19.08808261	111.4270742
19.05131719	111.4270742
19.08962759	111.3602178
19.30567713	111.9619505
19.35355109	111.9619505
19.31096837	111.9173824
19.33711684	111.8950941
19.33757395	111.8728059
19.61052091	112.2071046
19.60320459	112.1625365
19.65453752	112.1402483
19.56315002	112.11796
19.60815236	112.11796
19.73068718	112.3854024
19.83587863	112.3408258
19.81337682	112.3408258
19.84483313	112.3631141
19.79716858	112.2962493
19.99071248	106.3903045
19.87228143	106.3680247
19.99566024	106.3457364
19.98282924	106.3903045
19.92387484	106.3903045
19.93918674	105.1871107
19.99581729	105.2093989
19.96181879	105.1648224
19.98439465	105.2093989
19.97528693	105.1871107
19.88930686	99.25887761
19.93085917	99.30345417
19.83984706	99.21430954
19.90805603	99.23658933
19.85173319	99.28116589
19.82827758	95.91589003
19.73205595	95.91589003
19.81525251	95.87132194
19.66987496	95.89360175
19.81659575	95.87132194
19.51257043	90.61168643
19.60681934	90.63397471
19.44024109	90.63397471
19.58642049	90.67854278
19.49896183	90.61168643
19.54352622	91.70372735
19.4619653	91.72601563
19.57505658	91.68143907
19.40717468	91.70372735
19.56661282	91.65915079
19.46013048	91.81516026
19.55841549	91.83744854
19.42155577	91.83744854
19.5557737	91.85973682
19.45971678	91.85973682
19.14558397	83.27940199
19.14392152	83.27940199
19.16523587	83.27940199
19.07490048	83.27940199
19.15197074	83.27940199
18.90733651	79.31238497
18.95734025	79.29009668
18.91120918	79.31238497
18.91141347	79.33467325
18.94953746	79.33467325
18.53705708	71.75723468
18.55649063	71.7349464
18.54304547	71.7349464
18.51036084	71.75723468
18.50010013	71.75723468
18.41169022	68.39195882
18.27941437	68.4142471
18.39376845	68.4142471
18.30817144	68.43653536
18.44839308	68.43653536
18.4022352	69.75144213
18.24896294	69.77373041
18.38367884	69.79601444
18.31545583	69.77373041
18.35026513	69.79601444
18.30623702	70.01888029
18.29547323	70.01888029
18.30853406	69.99659625
18.33346825	70.04116857
18.27332128	70.01888029
18.07259513	64.4472343
18.10670089	64.29122905
18.04160487	64.31351734
18.08042601	64.33580137
18.05394684	64.35808965
17.93506252	62.53059062
18.00819627	62.57516294
17.89666401	62.55287466
17.96352463	62.57516294
17.98464872	62.55287466
17.70148703	56.80293514
17.51307731	56.80293514
17.66760854	56.82522342
17.58506574	56.78065111
17.67919845	56.82522342
17.20269587	49.04720732
17.17974589	49.06949135
17.12155759	49.11406367
17.16635436	49.09177963
17.13717338	49.11406367
16.90015936	47.93287812
16.81865717	47.91058984
16.88491385	47.95516215
16.76379633	47.93287812
16.88227717	47.97745043
16.81187331	48.11507018
16.8566688	48.0927819
16.79973436	48.0927819
16.85985707	48.0927819
16.838092	48.04820958
16.80141724	47.84763202
16.86825487	47.84763202
16.86585058	47.82534374
16.80108653	47.84763202
16.87223352	47.82534374
16.80330824	48.22316028
16.89689447	48.24544431
16.77972367	48.26773259
16.84730443	48.22316028
16.80905659	48.24544431
