"Aboutaha, Engelhardt, Jirsa and Kreger, Test ORC1"	
6285	
-14.9882892	-132.9191392
-15.0010922	-132.8519744
-14.9893866	-132.75056
-15.0065792	-132.7341024
-14.9769494	-131.0327424
-14.9727427	-131.01584
-14.9939591	-130.9651328
-14.9639635	-130.9651328
-15.0029212	-130.9820352
-14.9857286	-130.931328
-14.9965197	-130.3250656
-14.6769934	-126.2658208
-14.4068501	-122.4080704
-14.1123811	-118.837216
-13.7268279	-115.316624
-13.4528437	-111.9477088
-13.1457546	-108.6971104
-12.8311666	-105.5639392
-12.5822397	-102.4814752
-12.3545292	-99.5337856
-12.0584141	-96.619456
-11.8424092	-93.8234432
-11.5962258	-91.0269856
-11.4050953	-88.3657472
-10.9108995	-82.4027584
-9.7096123	-71.437104
-8.8040744	-62.1390048
-8.1117979	-54.356784
-7.420253	-47.720368
-6.7685803	-42.1109952
-5.7673857	-34.41310848
-4.9875001	-28.6186544
-4.4194127	-24.55914272
-4.0067903	-21.66189344
-3.6440996	-19.52267232
-3.3867593	-17.80454336
-3.1663648	-16.38959008
-2.8852475	-14.94096544
-2.4653091	-12.49856864
-1.2885305	-4.6490496
0.46535247	6.01345136
2.17634539	17.48448752
3.88227198	28.85446067
5.55492906	39.68541184
7.24977191	50.5163808
8.69583418	61.2293888
10.28197956	72.64989568
11.89314566	85.23266496
13.54244641	99.83678336
15.21203077	115.8389526
16.75190245	130.0556502
16.79212216	129.7187587
17.45202536	136.7260045
17.5946142	137.6524784
17.61103862	137.281871
17.60599058	136.9618374
17.57818978	136.7260045
17.58890772	136.5238874
17.59816246	136.3554416
17.58486563	136.2206672
17.59840023	136.1196086
17.60075964	136.0690794
17.60917304	135.9511629
17.60652099	135.816433
17.59677242	133.4750502
17.31100946	129.1965635
16.97178483	125.221297
16.64527175	121.4481475
16.31910618	117.8434438
15.97492496	114.4239994
15.67081713	111.0888445
15.38185342	107.8547037
15.07909905	104.7384794
14.79158025	101.7570294
14.50373223	98.91030944
14.16558671	96.1141632
13.9437473	93.18324256
13.54550084	88.65210944
13.01302407	83.46400672
12.50988446	78.56231072
11.82733824	72.06035776
10.61359555	61.51575104
9.52685862	52.08287744
8.57658338	44.38499962
7.82085887	38.25364067
7.11819365	32.99818189
6.49637023	28.4501953
5.8884655	24.23909578
5.16414492	19.9269288
4.31852506	14.23351994
2.7222836	3.655237408
0.9263885	-8.203224
-1.1928738	-20.6680768
-2.2833236	-27.23741696
-4.5123259	-40.72975776
-6.7415111	-56.2600832
-8.8408373	-73.7785312
-10.8128651	-92.5766688
-12.6769819	-112.1838976
-14.6453517	-130.931328
-15.2584325	-136.0523104
-15.2994021	-135.7489568
-15.3191553	-135.5803776
-15.317875	-135.446048
-15.3195211	-135.3112736
-15.317875	-135.1764992
-15.3153144	-135.0248224
-15.3266542	-134.9403104
-15.2984876	-134.8562432
-15.341652	-134.7552736
-15.3176921	-134.6374016
-15.3242765	-134.569792
-15.303243	-134.5026272
-15.3061694	-134.45192
-15.3114735	-134.3847552
-15.3048891	-134.4016576
-15.3074497	-134.3002432
-15.3114735	-134.2499808
-15.3200698	-134.1823712
-15.3021456	-134.1992736
-15.2964757	-134.1152064
-15.317875	-134.0814016
-15.3090958	-134.0644992
-15.3129367	-134.0142368
-15.2983047	-133.9635296
-15.297756	-133.9635296
-15.3048891	-133.4582368
-15.0440737	-129.3482848
-14.7790516	-125.558144
-14.4717796	-121.9365824
-14.1785909	-118.4159904
-13.7694436	-115.0639776
-13.5303933	-111.8636416
-12.96761	-106.1199392
-12.3797694	-99.1294624
-11.8345445	-92.5264064
-11.2803575	-86.4455456
-10.7704323	-80.7013984
-10.1696058	-75.3451168
-8.8556522	-62.6442976
-7.7394135	-50.7859296
-6.4880117	-40.20760704
-5.4579189	-32.6781216
-4.7049196	-27.3890048
-4.1585973	-23.66638464
-3.7845668	-20.92076768
-3.4685156	-18.9836192
-3.2069686	-17.46765184
-2.9838306	-16.18747296
-2.7842867	-15.04206848
-2.5613316	-14.04825184
-2.3643483	-12.56591136
-1.7518162	-8.658032
-0.2957493	0.404265376
1.47905743	11.62263734
3.13247343	22.89154304
4.86140884	34.00884755
6.63753245	44.890328
8.15975428	55.72129696
9.7220495	66.82172576
11.31496218	78.91601568
12.94628386	92.66104736
14.59501762	108.0905366
16.3523574	124.6654304
17.84805873	138.9326128
18.48458731	145.5861536
20.25811374	159.3985725
20.68566078	160.762952
20.67613169	159.9881549
20.68725201	159.4659597
20.66691353	159.1290682
20.69012354	158.8763773
20.67726567	158.6237309
20.68641067	158.4047558
20.67073614	158.253168
20.61879254	155.0695565
20.6254501	155.0358851
20.6298397	155.0190272
20.64150872	155.0021693
20.62171894	154.9853558
20.61650629	154.9684979
20.62859598	154.9348266
20.44661048	150.1510026
19.92382741	144.575479
19.44783016	139.3874208
18.95346975	134.4857248
18.48363623	129.7187587
18.07368417	125.1370518
17.6920999	120.6901194
17.29132942	116.3948192
16.96357262	112.217391
16.57300796	108.2757958
