"Pujol 2002, No. 10-1-2.25S"	
32189	
0.063945444	0.238716727
0.050839169	0.238716727
0.076981042	0.261003318
0.012901229	0.283289909
0.00275796	0.3055765
0.092365509	0.283289909
0.058467645	0.216430158
0.007693672	0.283289909
0.062020184	0.261003318
0.070698944	0.283289909
0.046598913	0.3055765
0.035274809	0.327863069
0.044485656	0.283289909
0.00798736	0.35014966
0.102249098	0.238716727
-0.026004388	0.261003318
0.023349991	0.327863069
0.05597468	0.261003318
0.044520899	0.327863069
0.077912488	0.283289909
0.066495493	0.283289909
0.010457857	0.261003318
0.014755439	0.283289909
0.006182356	0.283289909
0.087594721	0.3055765
0.036621198	0.327863069
0.023149821	0.283289909
0.087666386	0.283289909
0.0007024	0.372436229
-0.021706796	0.283289909
0.086083415	0.3055765
0.062964414	0.283289909
0.02458946	0.3055765
0.056990958	0.261003318
-0.013097918	0.216430158
0.035511418	0.3055765
0.116265352	0.216430158
0.113607836	0.261003318
0.033635366	0.261003318
0.037567598	0.238716727
0.094148043	0.3055765
-0.022981755	0.261003318
0.071302082	0.194143567
0.036694412	0.194143567
0.056482517	0.261003318
0.079495464	0.261003318
0.017979667	0.216430158
0.037201056	0.3055765
0.077273737	0.327863069
0.053918507	0.327863069
0.068951034	0.3055765
0.054061601	0.283289909
-0.006415834	0.283289909
0.109332332	0.283289909
0.005945763	0.3055765
0.048110224	0.3055765
0.054641716	0.261003318
-0.018412948	0.3055765
0.064310806	0.283289909
0.030575706	0.327863069
0.049621536	0.3055765
0.063837598	0.327863069
0.044485656	0.283289909
0.010056329	0.283289909
0.049621536	0.3055765
0.055264888	0.327863069
0.067769826	0.3055765
0.052752258	0.216430158
-0.030229931	0.216430158
0.069919269	0.261003318
0.034545337	0.238716727
0.039007238	0.261003318
0.002723336	0.261003318
0.056139245	0.261003318
0.073923171	0.216430158
0.028487061	0.238716727
-0.0414599	0.261003318
0.027010379	0.283289909
0.065185532	0.216430158
0.026337004	0.283289909
0.043304812	0.283289909
-0.014988544	0.283289909
-0.036854668	0.238716727
0.084866949	0.261003318
0.014140324	0.261003318
0.037969119	0.216430158
-0.016263257	0.261003318
0.086829637	0.171856975
0.047874798	0.216430158
-0.014007519	0.238716727
0.053683704	0.238716727
0.037567598	0.238716727
0.07761879	0.216430158
0.052609169	0.261003318
-0.000168993	0.216430158
0.070557646	0.216430158
0.056719111	0.238716727
0.041973465	0.216708728
0.032138839	0.194422136
0.036837583	0.194422136
-0.015210111	0.238995319
0.035018004	0.238995319
0.028018828	1.799056187
0.046640688	1.754483071
0.060750452	1.754483071
0.058494455	1.776769618
0.060750452	1.754483071
0.079656341	2.757379339
0.117629527	2.757379339
0.01541098	2.779665775
0.090069838	2.757379339
0.037657418	2.757379339
0.124622395	4.785458599
0.10295584	4.785458599
0.105907008	4.807745279
0.11657092	4.785458599
0.105943823	4.740885217
0.135344559	4.740885217
0.058478907	4.718598537
0.142227979	4.740885217
0.111057513	4.718598537
0.122474514	4.718598537
0.120110242	5.431769431
0.113722483	5.431769431
0.108150176	5.387196048
0.140938252	5.431769431
0.138152598	5.409482729
0.060303406	7.170122761
0.189593089	7.303842375
0.124676894	7.214696144
0.178744333	7.170122761
0.085700205	7.214696144
0.174863067	8.641037421
0.216497212	8.596464572
0.133973956	8.663324101
0.185277247	8.641037421
0.149157616	8.641037421
0.253512651	9.175915319
0.174484756	9.198202533
0.167766899	9.198202533
0.1330872	9.220488702
0.231373477	9.220488702
0.14067863	9.265062084
0.205833579	9.220488702
0.155698393	9.24277487
0.219176822	9.198202533
0.124184955	9.220488702
0.241550419	9.24277487
0.118740847	9.24277487
0.215100912	9.265062084
0.145850921	9.220488702
0.207142937	9.28734823
0.229554895	11.38228755
0.199516068	11.42686094
0.237725858	11.40457372
0.160009456	11.38228755
0.265709146	11.42686094
0.265257604	13.74466504
0.258610762	13.72237887
0.272885451	13.72237887
0.242222792	13.70009165
0.280878055	13.74466504
0.293404819	13.76695225
0.269224436	13.76695225
0.267298154	13.78923842
0.231522494	13.78923842
0.25997896	13.76695225
0.36548193	14.74756133
0.2538524	14.76984854
0.264681236	14.74756133
0.25905937	14.76984854
0.327579814	14.72527516
0.317653103	16.19618928
0.249690664	16.17390311
0.32777388	16.12932973
0.284228441	16.08475635
0.280131254	16.10704356
0.334534191	16.93164632
0.258765507	16.93164632
0.326999135	16.97621971
0.287421507	16.95393356
0.364536532	16.95393356
0.327553228	18.15740846
0.300809998	18.11283612
0.350035305	18.11283612
0.315119975	18.15740846
0.352986423	18.13512229
0.274432145	18.11283612
0.36908073	18.09054997
0.377345562	18.13512229
0.27789121	18.13512229
0.372739968	18.15740846
0.323624239	20.18548716
0.412062635	20.16320102
0.350366751	20.23006161
0.417304294	20.20777544
0.31979822	20.23006161
0.425862329	20.31920838
0.326881255	20.27463393
0.388196932	20.27463393
0.375763619	20.27463393
0.350838431	20.29692009
0.46726277	22.90445168
0.353757095	22.88216553
0.459764819	22.88216553
0.406005993	22.88216553
0.422041021	22.85987725
0.464192055	22.85987725
0.420824894	22.81530492
0.389240011	22.81530492
0.448384165	22.81530492
0.431238954	22.81530492
0.469399264	22.85987725
0.471051824	22.92673785
0.426125354	22.83759108
0.422464919	22.88216553
0.469399264	22.85987725
0.488009615	23.90734797
0.433505345	23.92963412
0.40568772	23.90734797
0.44136991	23.8850618
0.44046024	23.90734797
0.429835369	24.95481655
0.464243151	24.91024424
0.444145385	24.999391
0.489237917	24.97710272
0.492167599	24.95481655
0.443873379	24.97710272
0.466519362	25.04396332
0.437921483	24.999391
0.479497407	24.97710272
0.483688044	24.97710272
0.528687605	27.16118881
0.432965243	27.09432819
0.517422276	27.16118881
0.526396544	27.13890264
0.473145206	27.13890264
0.585836536	27.09432819
0.457053174	27.07204204
0.548629208	27.11661647
0.517459081	27.09432819
0.483854546	27.09432819
