"Xiao 98,Specimen nr HC4-8L16-T10-0.1P"	
-18.71726	-180.23296
-23.137495	-187.83904
-27.26944	-193.91056
-31.299912	-196.53488
-35.736022	-197.84704
-37.586539	-197.84704
-36.449	-150.74272
-35.244913	-119.96256
-33.486344	-80.77568
-31.05277	-39.72064
-28.568523	-9.20736
-25.792811	15.52352
-21.708491	42.87872
-17.310354	60.75968
-13.064363	76.81696
-8.660003	94.72016
-4.160393	111.82272
0.139446	132.59488
4.062222	151.27648
8.0610075	166.26624
12.741148	181.27824
16.812895	191.53088
20.871942	201.00512
25.200229	206.78752
29.047059	207.85504
32.874712	206.54288
36.699317	202.58416
36.946459	200.47136
35.824668	165.48784
34.443162	130.50432
33.311973	104.9728
31.952692	77.88448
29.246703	37.63008
26.128599	5.7824
22.098127	-24.464
17.940909	-43.41248
13.159486	-59.20288
8.631428	-74.45952
4.4171235	-89.1824
-0.155321	-109.9768
-4.271391	-126.03408
-8.720201	-136.5536
-13.264007	-145.76096
-18.229326	-152.344
-23.229443	-156.0136
-28.647771	-157.08112
-33.689163	-157.08112
-38.556184	-154.18992
-38.793801	-151.81024
-37.995352	-124.69968
-36.860988	-97.34448
-35.130867	-61.56032
-33.324673	-29.97952
-31.160593	-1.04528
-28.5369	25.77616
-25.320752	50.52928
-21.733764	70.25616
-17.471898	87.35872
-13.092811	99.99104
-8.742299	108.93152
-3.222498	120.22944
0	131.81648
