"Kanda et al 1988, Spec. PDC2"	
-2.223	-21.843
-2.632	-24.973
-2.687	-24.196
-2.397	-20.828
-1.669	-14.568
-0.557	-5.8515
0.747	4.392
2.0445	13.948
3.137	20.307
3.899	24.497
4.2465	26.28
4.2125	24.753
3.8905	22.117
3.3685	18.673
2.7285	14.694
2.048	9.9426
1.3655	4.657
0.7695	-0.25153
0.357	-3.5837
0.2025	-4.7378
0.312	-2.1107
0.597	0.81286
0.954	4.2304
1.2655	6.9608
1.483	8.7077
1.607	9.7092
1.639	9.2331
1.6205	8.9188
1.604	8.5505
1.5295	7.6793
1.3505	5.8425
1.012	2.6766
0.4915	-2.178
-0.1575	-7.5176
-0.7815	-12.017
-1.2335	-15.206
-1.395	-16.356
-1.2805	-13.886
-0.9595	-10.868
-0.523	-7.073
-0.064	-3.2424
0.313	-0.067395
0.6235	2.4385
0.951	5.0926
1.339	8.1688
2.068	13.454
2.33	15.098
2.843	18.138
3.293	20.725
3.627	22.687
3.8045	23.693
3.827	23.747
3.788	22.333
3.684	21.471
3.581	20.586
3.5515	21.111
3.5925	21.646
3.6475	21.664
3.6615	21.479
3.6015	20.828
3.443	19.548
3.163	17.766
2.736	14.999
2.1365	10.85
1.3555	4.7513
0.4065	-3.1256
-0.6705	-11.267
-1.832	-19.454
-3.0285	-28.813
-4.195	-38.113
-5.2495	-46.287
-6.1315	-51.985
-6.807	-55.879
-7.292	-58.398
-7.6355	-59.943
-7.8895	-60.994
-7.97	-59.656
-7.6645	-53.863
-5.4945	-31.485
-3.6835	-18.102
-1.573	-3.0447
0.729	10.32
3.155	22.674
5.6015	34.682
7.911	45.703
9.941	53.643
11.573	58.466
12.752	61.798
13.483	63.738
13.767	64.295
13.626	59.526
13.118	54.006
12.319	46.453
11.319	38.024
10.163	29.922
8.8065	22.364
7.2325	14.748
5.5	5.591
3.657	-2.8472
1.7845	-9.4667
0.0035	-15.399
-1.649	-23.006
-3.1485	-32.522
-4.4135	-40.907
-5.3285	-46.727
-5.7995	-49.637
-5.855	-49.745
-5.636	-44.966
-5.0775	-38.477
-2.6675	-17.317
-4.2445	-30.21
-3.215	-21.52
-2.112	-13.472
-0.98	-5.4473
0.137	2.2768
1.1735	9.1972
2.1075	14.896
2.874	19.01
3.4185	21.758
3.6985	23.222
3.7395	23.325
3.6585	21.444
3.422	19.593
3.071	17.2
2.594	14.11
1.967	9.7092
1.1765	3.5163
0.258	-3.871
-0.72	-11.047
-1.687	-17.577
-2.569	-23.765
-3.2635	-29.267
-3.6865	-32.558
-3.825	-33.654
-3.7115	-30.717
-3.406	-27.349
-2.9835	-23.204
-2.5	-19.023
-2.0375	-15.556
-1.661	-12.767
-1.4145	-10.895
-1.2495	-9.6687
-1.043	-8.1643
-0.7505	-5.9772
-0.561	-4.5088
-0.338	-2.7888
0.198	1.2574
0.822	5.8784
1.4575	10.351
2.043	14.182
2.4845	16.773
2.6655	17.828
2.6305	16.364
2.512	15.332
2.3085	13.719
1.9605	11.088
1.43	6.8215
0.78	1.4505
0.24	-3.1525
-0.034	-5.2138
-0.0975	-5.1644
-0.045	-3.8935
0.0535	-2.6945
0.1825	-1.2754
0.373	0.54338
0.6355	2.9818
0.9425	5.6629
1.2595	8.2676
1.553	10.481
1.764	11.99
1.857	12.619
1.813	11.151
1.5595	8.9996
1.2	5.5281
0.577	-0.022465
-0.2845	-7.2302
-1.1925	-13.8
-1.894	-18.632
-2.181	-20.649
-1.9905	-17.528
-1.401	-12.377
-0.521	-5.3351
0.503	2.8741
1.526	10.621
2.414	16.351
3.0725	20.146
3.4035	22.009
3.4415	22.171
3.3725	20.321
3.2095	19.077
2.974	17.415
2.6325	15.183
2.3845	13.504
2.0465	11.11
1.503	6.9652
0.6985	0.39966
-0.381	-8.1822
-1.717	-17.577
-3.1835	-28.66
-4.5725	-39.86
-5.633	-48.209
-6.17	-52.003
-6.101	-48.86
-5.501	-41.652
-4.5275	-31.79
-3.3615	-22.149
-2.145	-13.401
-0.8985	-4.2752
0.3515	4.5358
1.546	12.354
2.5935	18.421
3.414	22.656
3.984	25.629
4.313	27.313
4.418	27.753
4.3545	25.862
4.1985	24.488
3.9815	22.903
3.657	20.756
3.1925	17.932
2.58	14.222
1.822	8.9906
0.9685	2.4026
0.0725	-4.7602
-0.8325	-11.452
-1.6605	-17.128
-2.211	-20.86
-2.365	-21.951
-2.1785	-18.704
-1.755	-15.071
-1.2145	-10.63
-0.677	-6.3859
-0.179	-2.2589
0.3015	1.5134
0.5435	3.3412
