"""Matamoros et. al 1999 Specimen c10-20 South"""	
-11.4046	-10.94262514
-10.7188	-9.207818712
-10.1854	-7.33956564
-9.4742	-5.382348136
-8.8646	-3.411785967
-8.2804	-1.441223798
-7.6962	0.393667612
-6.985	2.459866545
-6.3246	5.11545484
-6.3246	4.67063268
-5.7658	7.250601208
-5.1054	9.697123088
-4.3942	12.32157383
-3.7846	14.67913128
-3.175	17.12565316
-2.52222	19.66113947
-1.91516	22.241108
-1.2446	24.82107653
-0.60706	27.49000949
0.0249936	30.2923891
0.70358	33.00580427
1.31064	35.40784394
1.93294	37.98781246
2.53238	40.47881656
3.1496	42.83637401
3.81	44.92703816
4.445	47.59597112
5.1562	49.82008192
5.7404	51.59937056
6.3754	53.3786592
7.0358	55.60277
7.62	57.38205864
8.2804	59.16134728
8.8392	60.49581376
9.5504	61.83028024
10.2362	63.16474672
10.8204	64.4992132
11.43	65.83367968
12.0904	66.723324
12.5984	67.61296832
13.4112	68.9474348
13.9954	69.83707912
14.5796	70.72672344
15.24	71.1715456
15.875	72.06118992
16.5354	72.95083424
17.2466	73.84047856
17.8308	74.28530072
18.415	74.73012288
19.2024	75.17494504
19.812	75.6197672
20.32	76.06458936
21.0312	76.50941152
21.6408	76.50941152
22.2504	77.39905584
22.9616	77.39905584
23.5966	77.39905584
24.1554	77.39905584
24.7904	77.39905584
25.4	77.843878
25.908	77.843878
26.67	77.39905584
27.178	77.39905584
27.94	77.39905584
28.702	77.39905584
29.464	77.39905584
29.972	76.50941152
30.48	76.50941152
31.242	76.50941152
31.75	75.6197672
30.988	69.83707912
30.48	66.27850184
29.718	64.05439104
29.464	61.83028024
28.956	60.49581376
28.448	58.27170296
27.94	55.60277
27.432	52.93383704
26.67	50.26490408
26.162	48.04079328
25.4	45.37186032
24.8158	42.83637401
24.13	40.0339944
23.5712	37.8098836
22.8854	35.3188795
22.2504	32.91683984
21.6408	30.82617569
21.0058	28.60206489
20.2438	26.33347187
19.6596	24.28728994
19.0246	22.241108
18.3896	20.19492606
17.7038	18.14874413
17.0688	16.19152662
16.4592	14.41223798
15.8242	12.58846713
15.24	10.72021406
14.3256	8.940925416
13.97	7.606458936
13.3604	5.916134728
12.7	4.359257168
12.065	2.704518733
11.3538	1.192123389
10.795	-0.291803337
10.16	-1.734806424
9.525	-3.465164626
8.89	-4.982008192
8.255	-6.805779048
7.6454	-8.273692176
7.62	-6.538885752
7.0358	-9.741605304
6.2992	-11.69882281
5.6896	-13.74500474
5.0546	-15.70222225
4.3942	-17.34806424
3.7846	-19.61665726
3.2004	-21.66283919
2.41554	-23.75350334
1.88214	-25.93313193
1.24968	-27.97931386
0.65786	-30.11446023
-0.07493	-32.64994654
-0.65024	-34.82957513
-1.2573	-37.23161479
-1.93294	-39.58917224
-2.5654	-41.81328304
-3.2512	-44.2153227
-3.8608	-46.26150464
-4.5974	-48.9304376
-5.1054	-50.70972624
-5.7912	-52.48901488
-6.35	-54.71312568
-7.0866	-56.49241432
-7.5946	-58.27170296
-8.382	-60.0509916
-8.89	-61.83028024
-9.525	-63.60956888
-10.2108	-64.94403536
-10.7696	-66.723324
-11.43	-68.05779048
-12.1412	-69.39225696
-12.6746	-70.72672344
-13.4112	-72.06118992
-14.0208	-72.95083424
-14.6558	-73.84047856
-15.2654	-74.73012288
-15.9512	-75.6197672
-16.51	-76.50941152
-17.1704	-77.39905584
-17.8054	-77.843878
-18.4658	-78.28870016
-19.0754	-79.17834448
-19.7612	-79.62316664
-20.2946	-80.0679888
-20.9804	-80.51281096
-21.6154	-80.95763312
-22.2504	-80.95763312
-22.8346	-81.84727744
-23.7236	-81.84727744
-24.2316	-81.84727744
-24.765	-82.2920996
-25.2984	-82.2920996
-26.162	-82.2920996
-26.67	-82.2920996
-27.432	-82.2920996
-27.94	-82.2920996
-28.702	-82.2920996
-29.21	-81.84727744
-29.972	-81.84727744
-30.48	-81.40245528
-31.242	-81.40245528
-31.75	-80.51281096
-31.242	-74.73012288
-30.48	-71.61636776
-29.718	-68.9474348
-29.21	-66.723324
-28.448	-64.05439104
-27.94	-61.38545808
-27.432	-58.71652512
-26.67	-56.49241432
-26.162	-53.82348136
-25.4	-51.59937056
-24.765	-49.37525976
-24.1808	-47.15114896
-23.495	-44.482216
-22.8854	-42.12465855
-22.225	-39.94502997
-21.5646	-37.72091917
-21.0312	-35.67473723
-20.32	-33.6285553
-19.685	-31.53789114
-19.05	-29.58067364
-18.415	-27.57897392
-17.7546	-25.53279198
-17.2212	-23.57557448
-16.5354	-21.61835698
-15.9004	-19.7501039
-15.2146	-17.88185083
-14.6304	-16.19152662
-13.843	-13.87845139
-13.3604	-12.27709162
-12.5222	-10.45332076
-12.0142	-8.940925416
-11.43	-7.206118992
-10.7696	-5.604759216
-10.1346	-3.69647215
-9.4488	-1.997251498
-8.9408	-0.370092037
-8.2804	1.47236135
-7.5692	3.509646842
-7.0104	5.515794784
-6.35	7.33956564
-5.7912	9.252300928
-5.08	11.56537616
-4.4958	13.6115581
-3.81	15.70222225
-3.1242	18.32667299
-2.54	20.32837271
-1.92024	22.59696573
-1.28778	24.91004096
-0.60706	27.5344917
0.0166624	29.80308472
0.66548	32.16064217
1.30302	34.4737174
1.92278	36.83127485
2.5654	38.83297457
3.175	41.05708537
3.7846	43.23671395
4.4704	45.37186032
5.1562	47.15114896
5.7404	49.37525976
6.3246	51.1545484
6.9596	52.93383704
7.5946	54.71312568
8.255	56.04759216
8.89	57.38205864
9.6266	58.71652512
10.1854	60.0509916
11.4554	62.2751024
12.0396	63.16474672
12.7	64.05439104
13.3858	65.38885752
13.9954	66.27850184
14.605	67.16814616
15.24	68.05779048
15.9512	68.50261264
16.51	69.39225696
17.1958	69.83707912
17.78	70.72672344
18.4404	70.72672344
19.0246	71.61636776
19.6596	72.06118992
20.3454	72.06118992
20.955	72.95083424
21.5392	72.95083424
22.225	72.95083424
22.8092	73.3956564
23.5712	73.3956564
24.1554	73.84047856
24.7904	73.84047856
25.3746	74.28530072
25.908	74.28530072
26.67	73.84047856
27.432	74.28530072
27.94	74.28530072
28.702	74.28530072
29.21	73.84047856
29.972	73.84047856
30.48	73.84047856
30.988	73.3956564
31.75	72.95083424
32.512	73.3956564
33.02	72.95083424
33.782	72.50601208
34.29	72.06118992
35.052	71.61636776
