Galeota 1996 Specimen BB4B	
-9.96	-123.9356
-10.25	-125.5053
-10.54	-126.9492
-10.84	-128.3933
-11.14	-129.5861
-11.43	-131.0302
-11.79	-132.3487
-12.15	-133.7927
-12.47	-135.3623
-12.97	-136.1785
-13.28	-137.6853
-13.58	-139.1921
-13.92	-140.6361
-14.28	-142.5825
-14.65	-143.6498
-15.01	-145.1566
-15.42	-146.5379
-15.78	-147.9191
-16.15	-149.4259
-16.57	-150.6189
-16.92	-151.8117
-17.35	-153.5696
-17.78	-154.5742
-18.27	-156.1438
-18.68	-157.5879
-18.86	-156.0811
-19.27	-157.4623
-19.68	-159.1574
-20.15	-160.4131
-20.56	-161.7943
-21.06	-163.0501
-21.59	-164.2429
-22.14	-165.2475
-22.65	-166.0637
-23.2	-166.8171
-23.7	-165.7497
-24.25	-166.5032
-24.78	-167.0055
-25.31	-167.5077
-25.87	-167.6961
-26.37	-167.7588
-26.88	-166.252
-27.45	-166.8799
-28.01	-167.3194
-28.53	-167.5705
-29.27	-164.7452
-29.77	-165.1847
-30.29	-165.6241
-30.8	-165.9381
-31.31	-166.252
-31.82	-166.4403
-32.34	-166.3776
-32.88	-166.3776
-33.41	-166.3776
-33.93	-166.0637
-34.47	-165.8126
-34.97	-165.1847
-35.5	-165.1847
-36.04	-165.1219
-36.58	-164.9335
-37.11	-164.4941
-37.33	-162.9872
-37.83	-162.5478
-38.38	-162.3595
-38.92	-162.1083
-39.43	-161.7316
-39.93	-161.4804
-40.44	-161.041
-40.99	-160.162
-41.22	-158.6551
-41.77	-157.4623
-42.33	-156.8344
-42.87	-156.6461
-43.41	-155.5788
-43.93	-155.0765
-44.45	-154.1975
-44.97	-153.5696
-45.48	-152.7534
-45.74	-151.3722
-46.25	-150.3049
-46.37	-149.0492
-46.9	-148.7981
-47.28	-147.6051
-47.12	-145.6589
-46.91	-144.0893
-46.67	-142.3941
-46.47	-140.9501
-46.26	-139.0037
-46.03	-137.7481
-45.81	-135.9901
-45.56	-131.2814
-45.03	-130.8419
-44.81	-129.2722
-44.61	-127.8283
-44.39	-126.5098
-44.2	-124.8145
-43.96	-123.5589
-43.75	-121.9893
-43.51	-120.4825
-43.31	-119.164
-43.02	-117.3433
-42.84	-115.8365
-42.64	-114.7063
-42.38	-113.0112
-42.1	-111.4416
-41.93	-109.9976
-41.66	-108.3024
-41.4	-106.6072
-41.22	-105.4771
-40.95	-103.5936
-40.67	-101.8356
-40.32	-99.63821
-40.06	-98.19414
-39.87	-96.9385
-39.6	-95.30611
-39.32	-93.48537
-39.05	-91.97856
-38.8	-90.28339
-38.52	-88.46265
-38.24	-86.83027
-38.05	-85.51181
-37.8	-84.19334
-37.53	-82.49817
-37.26	-80.80301
-36.99	-79.2962
-36.71	-77.53824
-36.45	-76.03143
-36.17	-74.5246
-35.97	-73.20615
-35.7	-71.76211
-35.44	-70.2553
-35.18	-68.56013
-34.78	-66.86496
-34.52	-65.48372
-34.22	-63.78854
-33.83	-62.09337
-33.43	-60.58656
-33.14	-59.20531
-32.83	-57.76128
-32.43	-56.06611
-32.03	-54.55929
-31.75	-53.30361
-31.43	-51.92237
-31.15	-50.66669
-30.85	-49.34822
-30.57	-47.71584
-30.29	-46.33459
-30.01	-44.82778
-29.73	-43.19539
-29.44	-41.93972
-29.17	-40.37011
-28.89	-39.11444
-28.62	-37.60761
-28.34	-35.91245
-28.06	-34.71955
-27.78	-33.27552
-27.48	-31.64313
-27.21	-30.63859
-26.93	-29.0062
-26.63	-27.12269
-26.26	-25.74144
-25.97	-24.29741
-25.7	-22.97895
-25.41	-21.91161
-25.12	-20.59315
-24.83	-19.27469
-24.57	-18.01901
-24.27	-16.32384
-24	-15.19373
-23.71	-13.74969
-23.34	-12.24288
-23.06	-10.67328
-22.68	-9.166464
-22.41	-7.659648
-22.12	-6.403968
-21.76	-4.771584
-21.39	-3.201984
-21.03	-1.757952
-20.59	-0.439488
-20.29	1.067328
-19.78	1.130112
-19.55	2.51136
-19.3	4.269312
-18.94	5.838912
-18.59	7.53408
-18.24	8.978112
-17.91	10.48493
-17.53	12.05453
-17.03	13.37299
-16.52	14.37753
-16.21	15.75879
-15.94	17.64231
-15.66	18.89799
-15.32	20.21645
-15.06	21.66048
-14.68	22.79059
-14.3	24.29741
-13.93	25.55309
-13.55	26.80877
-13.17	28.12723
-12.8	29.44569
-12.41	30.70137
-12.03	32.20819
-11.63	33.33831
-11.13	35.22183
-10.71	36.54029
-10.19	38.23545
-9.78	39.55392
-9.45	40.87239
-9.01	42.31642
-8.58	43.76044
-8.14	45.1417
-7.71	46.58573
-7.38	47.8414
-6.94	49.34822
-6.5	50.72947
-6.06	52.1735
-5.62	53.42919
-5.19	55.06157
-4.86	56.5056
-4.42	57.82407
-4.09	59.07975
-3.66	60.58656
-3.33	62.03059
-3	63.09792
-2.57	64.85587
-2.25	66.42547
-1.67	67.4928
-1.34	69.18797
-0.93	70.632
-0.61	71.76211
-0.3	73.20615
0.14	74.71296
0.56	76.28256
0.88	77.53824
1.3	79.10784
1.6	80.48909
2	81.80755
2.4	83.37715
2.71	84.69561
3.03	86.13965
3.46	87.45811
3.89	89.15328
4.31	90.5973
4.74	92.29248
5.06	93.61095
5.49	94.92941
5.91	96.49901
6.33	97.94308
6.76	99.26148
7.08	100.7056
7.5	102.2124
7.92	103.5309
8.24	104.7865
8.66	106.2933
9.1	107.8629
9.52	108.9302
9.93	110.2487
10.36	111.6927
10.89	113.2624
11.32	114.6436
11.63	115.7737
12.07	117.0293
12.59	118.3478
13.02	119.7919
13.55	121.1731
14.08	122.68
14.61	123.8729
15.03	124.9401
15.56	126.133
15.99	127.5143
16.52	128.6445
17.06	129.9001
17.59	130.9675
18.13	131.9091
18.66	132.9765
19.2	134.1694
19.75	135.0483
20.28	135.6762
20.83	136.8063
21.35	137.4969
21.9	138.5643
22.45	139.1921
22.99	140.0083
23.53	140.699
24.08	141.5779
24.63	142.1429
25.17	142.8336
25.73	143.3358
26.29	143.9009
26.82	144.4032
27.37	144.9055
27.92	145.1566
28.47	145.345
29.02	145.8473
29.56	145.6589
30.1	145.8473
30.65	146.0983
31.19	146.4123
31.75	146.6635
32.29	146.6635
32.83	146.5379
33.4	146.8518
33.94	146.8518
34.49	146.6635
35.03	146.5379
35.58	146.2867
35.94	145.0311
35.95	143.5243
36.03	139.8828
35.81	137.7481
35.57	135.4879
35.35	133.6044
35.07	130.8419
34.93	129.5861
34.63	127.1376
34.5	125.8819
34.29	123.9984
34.07	122.4288
33.84	120.7337
33.65	119.164
33.44	117.2177
33.23	115.7109
33	113.8274
32.79	112.1323
32.58	110.437
32.39	108.6791
32.18	107.3607
31.97	105.6027
31.75	103.7192
31.53	102.0239
31.34	100.4544
31.14	99.07316
30.92	97.12688
30.72	95.7456
30.5	94.11321
30.29	92.54361
30.07	91.09959
29.88	89.34164
29.66	87.83482
29.46	86.20244
29.25	84.82118
29.04	83.12601
28.83	81.68198
28.62	80.11239
28.42	78.66835
28.21	77.09875
28	75.65472
27.79	74.33626
27.58	73.01779
27.37	71.32262
27.17	69.8158
26.95	68.37177
26.75	67.17888
26.54	65.48372
26.33	64.22803
26.13	62.72121
25.92	61.2144
25.6	59.33088
25.4	57.76128
25.19	56.44281
24.99	54.99878
24.78	53.74311
24.57	52.42464
24.38	51.29453
24.17	49.66214
23.85	47.8414
23.65	46.39737
23.46	45.07891
23.15	43.32096
22.84	41.43744
22.64	40.11897
22.35	38.4866
22.15	36.97978
21.96	35.91245
21.66	33.90336
21.38	32.08263
21.08	30.45024
20.78	28.50393
20.52	26.80877
20.24	25.17639
19.97	23.60679
19.71	22.35111
19.53	20.84429
19.25	19.33747
18.98	17.64231
18.74	16.76333
18.5	15.44487
18.25	13.93805
18	12.87072
17.67	11.11277
17.44	9.857086
17.14	8.350272
16.85	6.90624
16.54	5.587776
16.23	4.143744
15.84	2.82528
15.57	2.009088
15.2	0.251136
14.85	-1.067328
14.56	-2.636928
14.24	-4.520448
13.91	-6.152832
13.41	-6.59232
13.13	-7.973568
12.76	-9.605952
12.38	-11.17555
12.1	-12.49401
11.83	-13.68691
11.56	-15.00537
11.29	-16.07271
11.03	-17.45395
10.85	-18.64685
10.48	-20.34201
10.21	-21.66048
9.66	-22.97895
9.39	-24.48576
9.11	-25.80423
8.75	-27.49939
8.46	-29.0062
8.18	-30.51303
7.76	-31.58035
7.5	-33.21273
6.95	-34.5312
6.67	-35.91245
6.39	-37.2937
6.02	-38.86329
5.74	-40.37011
5.45	-41.50023
5.07	-43.13261
4.69	-44.63942
4.12	-45.70675
3.85	-47.27635
3.57	-48.46925
3.2	-50.10163
2.91	-51.48288
2.52	-53.11527
1.97	-54.05703
1.68	-55.37548
1.4	-56.69395
1.11	-58.20076
0.73	-59.70758
0.34	-61.59111
-0.05	-62.97235
-0.44	-64.60473
-1.03	-65.48372
-1.32	-66.92774
-1.61	-68.05785
-1.9	-69.56467
-2.31	-71.00871
-2.61	-72.38995
-3.01	-74.02234
-3.43	-75.40359
-3.95	-75.59194
-4.33	-77.60101
-4.63	-79.04505
-5.03	-80.74023
-5.45	-82.05869
-5.86	-83.81664
-6.28	-85.51181
-6.79	-85.70016
-7.1	-87.14419
-7.51	-88.90215
-7.93	-90.40896
-8.34	-91.91578
-8.66	-93.23425
-9.08	-94.74106
-9.62	-94.74106
-10.03	-96.43623
-10.33	-97.88025
-10.65	-99.07316
-11.08	-100.7056
-11.51	-102.0239
-12.05	-103.9075
-12.61	-103.7192
-12.92	-105.226
-13.36	-106.9211
-13.78	-108.4279
-14.23	-109.8093
-14.68	-111.1905
-15.13	-112.5089
-15.69	-112.3833
-16.02	-113.7647
-16.45	-115.2715
-16.9	-116.4643
-17.35	-117.8455
-17.81	-119.164
-18.35	-119.164
-18.81	-120.6708
-19.27	-121.9893
-19.72	-123.3077
-20.29	-124.8145
-20.87	-124.3123
-21.43	-126.0075
-21.87	-127.2004
-22.46	-128.5816
-23.03	-130.0884
-23.62	-129.4607
-24.18	-130.9675
-24.77	-132.4743
-25.35	-133.7927
-25.94	-134.86
-26.51	-134.1694
-27.09	-135.5506
-27.68	-136.8063
-28.28	-137.9365
-28.87	-139.0037
-29.47	-138.2504
-30.04	-139.3805
-30.63	-141.0757
-31.22	-141.5779
-31.81	-140.9501
-32.39	-142.1429
-33	-143.022
-33.6	-143.8382
-34.18	-142.8336
-34.78	-143.9009
-35.28	-144.5288
-35.88	-145.2194
-36.48	-144.0893
-37.07	-144.9682
-37.57	-145.5961
-38.08	-146.0356
-38.58	-146.4123
-39.17	-145.345
-39.68	-146.0356
-40.3	-146.5379
-40.82	-146.5379
-41.44	-145.4077
-42.05	-145.7844
-42.55	-146.0356
-43.09	-146.2239
-43.61	-146.0356
-44.25	-144.1521
-44.76	-144.0893
-45.27	-144.3405
-45.81	-144.3405
-46.34	-144.4659
-46.99	-142.3313
-47.06	-140.6361
-47.15	-139.5689
-47.49	-140.9501
-47.69	-140.0083
-47.44	-137.9365
-47.16	-135.9274
-46.93	-134.1694
-46.71	-132.4743
-46.49	-130.8419
-46.26	-129.3351
-46.02	-127.7654
-45.79	-126.0703
-45.62	-124.7518
-45.39	-123.3077
-45.19	-121.9893
-45	-120.4825
-44.77	-119.0385
-44.57	-117.9084
-44.38	-116.3387
-44.07	-114.518
-43.87	-113.1995
-43.67	-112.0694
-43.46	-110.5626
-43.16	-108.6791
-42.84	-106.7328
-42.67	-105.2887
-42.35	-103.5309
-42.14	-102.0239
-41.85	-100.4544
-41.65	-98.82201
-41.34	-97.06405
-41.14	-95.7456
-40.94	-94.42713
-40.74	-93.17146
-40.54	-91.91578
-40.25	-90.15783
-39.93	-88.3371
-39.74	-86.83027
-39.43	-85.26067
-39.23	-83.81664
-38.93	-82.18426
-38.72	-80.80301
-38.4	-79.23341
-38.1	-77.34988
-37.91	-76.09421
-37.62	-74.5246
-37.39	-73.20615
-37.09	-71.44819
-36.88	-70.1925
-36.58	-68.74848
-36.36	-67.4928
-36.06	-65.86042
-35.85	-64.60473
-35.54	-63.09792
-35.22	-61.65388
-34.88	-59.95872
-34.55	-58.64025
-34.21	-57.19622
-33.89	-55.56384
-33.54	-54.30816
-33.32	-53.11527
-32.98	-51.98516
-32.65	-50.41555
-32.31	-48.97152
-31.98	-47.46471
-31.76	-46.33459
-31.45	-44.70221
-31.14	-42.94425
-30.82	-41.43744
-30.52	-39.86784
-30.32	-38.61216
-30.01	-37.2937
-29.79	-36.03801
-29.47	-34.59399
-29.15	-32.71047
-28.85	-31.14087
-28.53	-29.8224
-28.22	-28.06445
-27.89	-26.62041
-27.56	-25.30195
-27.35	-24.04627
-27.05	-22.72781
-26.73	-21.03264
-26.41	-19.77696
-26.08	-18.27015
-25.78	-16.95168
-25.46	-15.38208
