"Ohue et al. 1985, Specimen 2D16RS"	
-0.35944	1.45
-1.7458	-0.36249
-2.9012	-1.45
-4.2362	-3.9874
-5.032	-5.1957
-6.5469	-8.3373
-7.0861	-10.512
-8.0358	-12.808
-8.9344	-15.346
-9.8331	-17.883
-10.783	-22.233
-11.63	-25.979
-12.477	-29.845
-13.376	-32.987
-14.506	-37.095
-14.994	-39.995
-15.558	-41.928
-16.123	-42.532
-16.919	-43.982
-17.458	-44.224
-17.33	-38.787
-16.919	-30.57
-16.739	-26.583
-16.303	-22.837
-16.072	-19.454
-15.61	-15.104
-14.557	-7.3708
-13.299	-0.24166
-11.425	5.1957
-9.6533	7.7333
-7.8049	9.4249
-5.6995	10.27
-3.9281	10.15
-2.362	9.7874
0.23106	9.7874
1.7201	8.3373
2.1823	9.7874
3.0295	9.0624
4.1079	10.029
5.3144	10.875
6.1105	10.995
6.6495	12.446
8.0358	14.983
9.3452	18.608
10.603	22.474
12.169	27.791
12.914	29.603
14.326	36.007
14.814	36.853
15.687	41.445
16.534	44.224
17.381	46.157
17.201	39.149
16.996	35.161
16.508	30.933
16.431	27.549
15.918	22.353
15.456	17.641
14.814	13.533
14.506	10.27
14.3	10.512
13.761	7.8538
12.991	4.9542
11.682	1.6916
10.732	0.12083
9.9357	-0.72498
8.4211	-1.2083
7.2144	-1.45
5.4686	-1.45
3.7998	-0.60417
2.1823	0.12083
0.10269	0.48332
-1.2837	0.96664
-2.7727	0.84583
-3.8768	0.36249
-4.6213	-0.84583
-5.2888	-0.72498
-6.0848	-1.6916
-6.9319	-2.1749
-7.9075	-4.2291
-8.8062	-6.0417
-9.3967	-7.1288
-10.809	-12.325
-11.142	-11.116
-11.784	-14.258
-12.426	-17.158
-12.786	-19.091
-13.273	-19.695
-13.992	-23.32
-14.686	-25.254
-15.302	-28.033
-16.149	-31.416
-16.457	-31.537
-16.765	-32.987
-17.356	-34.316
-17.433	-28.516
-17.124	-25.737
-16.816	-21.387
-16.585	-17.883
-15.944	-16.191
-16.149	-14.741
-15.687	-9.5454
-15.507	-9.1829
-15.533	-7.1288
-15.122	-5.6792
-14.377	-0.72498
-13.967	0.24166
