Sezen et al. 2000 Specimen 2	
-5.1943	-189.9885051
-4.9403	-181.9531758
-4.6736	-173.968499
-4.445	-164.7981275
-4.2164	-156.3564568
-4.0767	-148.2961903
-3.7465	-140.1495533
-3.5433	-131.6627982
-3.3528	-122.424896
-3.0861	-113.8791448
-2.8575	-104.8955061
-2.6289	-95.44675234
-2.413	-86.16143974
-2.1844	-76.99037897
-1.9431	-68.12534177
-1.7018	-58.34278533
-1.4859	-48.77873456
-1.3208	-40.94939915
-1.1303	-32.98858896
-1.0414	-27.75562177
-0.7493	-17.33994057
-0.5969	-8.382811223
-0.4318	0.179710084
-0.2286	9.305457551
0.0381	17.57542102
0.2413	26.42601362
0.4191	35.15036928
0.6223	43.81730726
0.889	52.6356288
1.1176	60.60844857
1.3081	69.76724759
1.5113	78.34607036
1.8034	87.11211955
2.0828	94.62006883
2.286	102.555663
2.54	111.2190016
2.7432	119.1528702
3.0226	126.4713916
3.3401	133.5361742
3.4925	141.1214121
3.7719	148.5319834
4.0132	155.4782934
4.2164	161.758795
4.5466	167.3306185
4.445	168.1842672
4.7498	169.4061689
4.7117	174.2460986
5.0292	181.3100717
5.2451	188.4846631
5.4483	194.9546815
5.7658	201.4715009
5.9944	208.2518036
6.0833	211.1034739
6.35	218.4620094
6.6675	224.3240813
6.7564	230.6562717
6.8072	231.3961889
6.8834	231.4123689
7.0231	231.8650444
6.985	233.5983196
7.0739	232.9747001
6.9977	233.1212585
6.9215	227.9531301
6.7945	218.2128249
6.5151	209.8814788
6.3119	198.8208799
6.1087	191.5246716
5.842	183.3559395
5.6388	175.6896903
5.461	167.5256903
5.1816	158.8200071
4.8387	150.5226132
4.7371	142.653309
4.5847	134.7973428
4.2418	126.595041
4.0005	118.3690739
3.7719	110.2119809
3.5941	101.9412943
3.3401	93.55839276
3.0353	85.09327032
2.921	80.09559678
2.54	68.66453444
2.3495	59.78516295
2.0828	50.50584558
1.9177	41.58400848
1.6637	33.28660838
1.4986	24.26899792
1.1684	16.12404166
1.016	7.352687945
0.8128	-0.767109381
0.5588	-9.334943587
0.3175	-17.56146299
0.1905	-25.74299993
-0.0127	-33.40185289
-0.2413	-39.72878855
-0.3556	-47.57113602
-0.5461	-55.98950189
-0.8636	-64.70750918
-0.8763	-74.40138248
-1.2446	-82.92534089
-1.4478	-92.32527446
-1.6637	-102.0690443
-1.9431	-110.9596412
-2.0828	-119.477809
-2.3114	-128.0042313
-2.6035	-136.49784
-2.8194	-144.9534315
-3.0099	-153.1031461
-3.4671	-160.0633813
-3.5433	-165.7751232
-3.7084	-172.2351614
-4.0132	-179.8836295
-4.1656	-186.9058006
-4.4069	-194.0273599
-4.6355	-201.9104247
-5.0038	-208.9729124
-5.1562	-216.2758453
-5.4356	-223.7823358
-5.6896	-230.9776347
-6.1468	-235.4656158
-6.1595	-243.6037403
-6.3627	-250.5286446
-6.6167	-257.7204389
-6.8326	-263.4172861
-6.9469	-265.946437
-7.0358	-268.5468903
-7.1882	-270.3351944
-7.239	-271.1469254
-7.1755	-270.7141659
-7.2009	-270.4807433
-7.0739	-264.6900316
-6.8961	-254.2227069
-6.6294	-244.5836669
-6.4643	-235.0922616
-6.2357	-226.2113379
-5.9182	-217.8636873
-5.6134	-209.1203203
-5.4737	-200.5013322
-5.1816	-191.9268769
-4.953	-183.8503058
-4.7752	-175.6883694
-4.6482	-170.5385781
-4.3307	-159.3397464
-4.0386	-150.9460419
-3.8354	-142.7274444
-3.7465	-134.005461
-3.4671	-127.9821851
-3.2385	-117.0632702
-2.9718	-107.8794228
-2.7305	-98.73073297
-2.5146	-89.35570985
-2.2479	-80.63108023
-2.0447	-72.04877506
-1.7399	-62.47908931
-1.4859	-53.45704647
-1.3843	-44.31017387
-1.2573	-41.53490318
-1.1176	-33.01696668
-0.9779	-25.86901451
-0.762	-17.95648327
-0.5588	-8.553603674
-0.0889	-5.736331685
0.1397	2.329556069
0.2921	12.20301581
0.5207	21.92301105
0.6858	31.49541155
0.9652	40.38128884
1.143	50.01688743
1.4351	58.50579955
1.5748	68.03985638
1.8034	76.93687999
2.0066	85.97049077
2.3114	94.62117626
2.5654	102.3594482
2.7813	111.10177
2.9845	119.2188533
3.2893	126.9470295
3.4798	134.5435329
3.8481	141.6000565
4.0132	149.1520227
4.2545	156.3708578
4.5466	162.7466692
4.6863	170.4457098
4.9276	176.4680117
5.1943	183.0050317
5.4483	189.9180434
5.842	196.2848398
5.9563	202.8250887
6.1976	209.6872965
6.3881	216.7373268
6.6802	223.7577366
6.985	230.3004806
7.2517	236.8243938
7.4422	243.6651781
7.7978	249.1103768
8.0137	254.3517778
8.2931	259.7514164
8.4963	264.5708342
8.8138	268.7022192
9.0678	273.2287735
9.3218	277.402054
9.6266	281.383029
9.9949	284.8565977
10.2235	288.5162142
10.5029	291.7099061
10.7569	290.5287746
11.049	296.6808902
11.4173	298.2412467
11.811	299.5429543
12.1412	300.991216
12.5984	299.3217579
12.9159	300.3408002
13.1953	298.5014076
13.208	294.6326208
13.3096	292.5833996
13.3223	292.4811426
13.2461	283.9133941
12.954	275.4276842
12.7635	267.0982016
12.4714	259.7185316
12.2301	253.7819953
12.4333	240.2266557
12.4333	241.0772401
12.5095	240.2516595
12.4587	238.2614344
12.1412	230.3896796
11.9507	222.2236961
11.684	214.9858924
11.5189	207.432463
11.2268	200.3096672
11.0744	193.6364914
10.6934	186.7990695
10.5664	179.9897468
10.3632	173.4248454
10.033	166.3797964
9.8044	159.2394419
9.5631	152.4678785
9.3345	145.4890261
9.1186	138.6988366
8.8138	132.1577382
8.5344	125.6707215
8.2677	119.2351579
8.001	112.6938371
7.747	106.0656612
7.5184	99.09602838
7.2517	92.28711491
7.0612	85.71234008
6.8326	79.01389807
6.5532	72.97166689
6.2357	66.82361189
6.0198	61.93498661
5.8166	54.65550095
5.7023	47.35380893
5.4483	40.60620603
5.1308	33.27987886
4.7625	26.50168695
4.6101	18.55238156
4.3561	11.63052605
4.0894	4.37417131
3.8227	-3.031616182
3.556	-10.04573147
3.2766	-16.54722173
3.0226	-23.56439206
2.794	-30.15408158
2.667	-36.49808097
2.413	-43.50897498
2.1844	-48.37337162
1.9304	-54.09694832
2.0447	-55.97570575
1.5367	-68.15836446
1.3843	-75.19188557
1.016	-82.61134739
0.8509	-90.99089993
0.4953	-98.07137775
0.2921	-105.6382208
0.0508	-113.4066913
-0.2921	-120.6955123
-0.4953	-127.9896702
-0.7112	-135.6280869
-0.9779	-144.0794221
-1.2573	-151.2199323
-1.4478	-158.722002
-1.7018	-165.5431861
-1.9558	-172.5568224
-2.2225	-179.1750983
-2.4765	-185.7207464
-2.7051	-193.6019032
-2.7178	-192.3877891
-2.794	-191.6863738
-2.7813	-190.794868
-3.0226	-194.2497083
-3.2512	-202.0482394
-3.3909	-208.6422185
-3.5814	-216.1430474
-3.9116	-222.5482568
-4.1275	-229.5335581
-4.4069	-236.3077455
-4.6863	-242.9874502
-4.9657	-249.4095201
-5.1435	-256.100477
-5.4356	-263.1266375
-5.7658	-269.2452323
-6.0071	-275.9241231
-6.3373	-282.3146647
-6.5405	-288.3357524
-6.7691	-293.5430233
-7.0358	-299.0657909
-7.3533	-304.1083353
-7.6327	-308.8722126
-7.8359	-313.5018911
-8.1661	-318.4347513
-8.4709	-322.6727029
-8.7376	-326.8200544
-8.9662	-330.3686035
-9.2964	-334.6838571
-9.6266	-338.338012
-10.033	-341.4591474
-10.2997	-344.9563857
-10.5664	-348.4503595
-10.8839	-351.5842325
-11.2903	-353.1470885
-11.6078	-354.5230649
-11.9253	-356.8346175
-12.2936	-358.5752845
-12.6111	-359.097332
-13.0683	-359.0327187
-13.3096	-358.4976356
-13.6906	-356.232804
-13.9573	-353.8611702
-13.9192	-352.9909723
-14.097	-347.6075449
-13.9827	-339.6586527
-13.6144	-331.1483614
-13.4493	-321.3763589
-13.2334	-312.5635087
-12.954	-304.6884983
-12.6492	-297.1244661
