"Pujol 2002, No. 10-1-2.25N"	
32189	
2.636705996	63.05819165
2.548972587	63.03590337
2.573561139	63.03590337
2.580672596	63.01361509
2.496692034	63.03590337
2.824421504	66.89148324
2.749866572	66.89148324
2.784712503	66.84691092
2.703429495	66.80233436
2.779850072	66.75776205
2.827839832	65.55428819
2.799804689	65.4874276
2.804208213	65.46513931
2.826083404	65.46513931
2.729164356	65.44285528
2.857651202	63.65992857
2.830512476	63.6822126
2.888384218	63.65992857
2.853077464	63.70450088
2.757344164	63.6822126
2.828945423	63.23480951
2.833191507	63.1902372
2.897197014	63.21252548
2.839023487	63.14566486
2.886740521	63.2570978
2.816584004	62.54392795
2.877882057	62.566212
2.87596276	62.566212
2.846486708	62.566212
2.866066088	62.52163967
2.987008597	67.38011582
2.984734502	67.35782754
3.003029454	67.40239986
3.018464303	67.49154876
2.957291435	67.40239986
3.092004339	69.58648594
3.101633076	69.45276898
3.069097646	69.49734131
3.060452828	69.56420191
3.08733767	69.60877423
3.177457426	71.63685082
3.144814055	71.70371566
3.186033584	71.68142738
3.218842059	71.70371566
3.176238146	71.72599547
3.185305145	69.89850067
3.23470324	69.9207847
3.227993367	69.83164007
3.211931313	69.83164007
3.253916325	69.78706776
3.431751767	73.70950822
3.379220843	73.66493166
3.344637099	73.70950822
3.467812826	73.68721994
3.366134179	73.66493166
3.556945151	76.00502297
3.530107892	76.1164559
3.470635566	76.07187934
3.582098794	76.09416762
3.514696994	76.04959953
3.758045277	77.63194021
3.710588194	77.63194021
3.718031616	77.60966042
3.71321613	77.67651677
3.703446878	77.63194021
3.897742923	80.35090686
3.914624429	80.37319512
3.919753837	80.35090686
3.837810093	80.3063303
3.908283405	80.26176221
4.022479316	78.12224846
3.883838401	78.14453674
3.935208805	78.09996018
3.983378678	78.14453674
3.918064792	78.0776719
3.932748529	76.36161001
4.04903395	76.38389829
3.955617219	76.36161001
3.974784636	76.36161001
4.028345465	76.38389829
4.124394283	80.97492781
4.146048164	80.952648
4.081803144	80.952648
4.140522442	80.97492781
4.100771926	80.952648
4.274884699	83.93904857
4.304389812	83.96133685
4.304666369	83.91676029
4.231527118	83.93904857
4.313922105	83.91676029
4.45968773	87.08145861
4.521552949	87.08145861
4.510461906	87.03688205
4.414610128	87.08145861
4.513900353	87.03688205
4.627721985	89.15410752
4.648581321	89.13181924
4.64111299	89.13181924
4.580370607	89.13181924
4.664813908	89.10953095
4.724715122	87.86148903
4.638502938	87.83920077
4.681556178	87.86148903
4.680803149	87.83920077
4.585769547	87.90605712
4.730421915	85.81111994
4.74498845	85.83340822
4.658363347	85.85569648
4.720335549	85.83340822
4.781697472	85.85569648
4.704940299	84.91965656
4.733095198	84.91965656
4.722879814	84.94194484
4.734196638	84.89736828
4.790188044	84.96423312
4.917845217	89.62212749
4.862273438	89.57755092
4.883737625	89.62212749
4.908765444	89.59983921
4.89116923	89.64441577
5.014445553	91.93993052
5.002944145	91.93993052
4.999705292	91.93993052
5.002879317	91.93993052
5.016931378	91.91764224
4.995814645	90.62502376
5.077665458	90.64731204
5.000176334	90.62502376
5.042768111	90.64731204
5.080257626	90.60273547
5.101560221	94.16858892
5.15991993	94.16858892
5.140439549	94.12401236
5.153483421	94.14630064
5.233501801	94.12401236
5.130429827	93.41084676
5.122774356	93.47770311
5.148618116	93.47770311
5.177277908	93.45541483
5.198229218	93.45541483
5.306499579	97.17727775
5.378159598	97.13270118
5.2999695	97.13270118
5.339310289	97.08813312
5.331867826	97.1104214
5.436243708	98.60361742
5.483317251	98.55904936
5.422602332	98.58132914
5.450691764	98.58132914
5.422162905	98.60361742
5.600644712	100.5648419
5.523169001	100.4979771
5.509023689	100.4979771
5.601665357	100.4756888
5.584571801	100.4979771
5.636653399	98.31389523
5.593387791	98.33618351
5.61488519	98.29160695
5.617841099	98.33618351
5.537868066	98.33618351
5.804409499	102.8380684
5.755935924	102.8157801
5.836214894	102.7935003
5.776069696	102.7935003
5.729417058	102.8603567
5.875063884	99.96310075
5.81219271	100.0076773
5.769535146	99.98538903
5.861472965	99.98538903
5.85919855	99.96310075
6.120408746	104.8215727
6.053918692	104.8215727
6.040897494	104.8215727
6.161586439	104.8215727
6.067508972	104.7992929
6.481796003	107.986271
6.440701341	107.9416944
6.526556809	107.9416944
6.49934112	107.8971263
6.475032159	107.8525498
6.547237949	106.2702006
6.466801219	106.2702006
6.551945814	106.2256325
6.513264802	106.2702006
6.45464099	106.2702006
6.492326267	105.5347467
6.585482088	105.557035
