"""Thompson and Wallace, 1994, B3"""	
787	
-4.55676	3.543008027
-3.0353	7.887140655
-1.47828	14.29480301
-0.01778	22.60274537
1.4859	31.56190728
2.62382	37.15510037
3.65506	41.68917203
4.74726	45.10985398
5.87502	48.25963927
6.97738	50.32272417
8.06704	52.30485145
9.1694	53.87952168
10.25652	54.80252754
11.38936	55.12858214
12.02944	54.85679584
12.4079	54.69399095
12.8016	54.47691776
12.76858	51.19190656
12.43076	46.84777393
12.07008	42.99250079
11.75258	39.35430083
11.45794	35.71610088
11.15822	32.37682137
10.83564	28.14122533
10.52322	25.53456783
10.20064	22.71128196
9.64692	18.58422252
8.08736	12.14987084
5.99694	5.009141668
3.55346	-3.081727509
0.90932	-16.27648546
-0.21336	-21.76069713
-1.30556	-27.81517074
-3.91922	-37.75249645
-6.53542	-42.74784863
-9.27608	-46.06043881
-12.0142	-48.6123832
-13.36548	-41.14604425
-10.9474	-16.22221716
-8.87476	-7.697201618
-7.21614	-3.217398249
-5.60324	0.801124602
-4.08686	4.629263595
-2.47396	9.651749926
-0.95504	16.65680836
0.5207	24.55729367
2.07264	32.53962626
3.60426	38.97397794
5.26796	43.8883725
6.94182	47.44517001
8.59282	49.39971832
10.25144	51.43611389
11.94816	52.79371094
12.2936	44.48576858
10.80262	27.9512863
9.34466	16.95528399
7.74446	10.87367623
6.15442	5.171946557
4.56184	0.393667559
2.77622	-6.47527531
0.61976	-17.11808887
-0.21082	-20.78342298
-0.21082	-20.29456349
-0.20828	-20.26742934
-0.20828	-19.88755127
-0.2159	-20.02322201
-0.2286	-19.86041712
-0.23622	-19.80614882
-0.22098	-19.61620979
-0.21082	-19.42582593
-2.29108	-31.42623654
-5.81914	-40.68476373
-9.0932	-44.81137835
-11.38174	-47.06484711
-13.0683	-47.77077979
-14.73708	-48.15110268
-16.53032	-47.17338371
-18.28546	-45.70725006
-18.35658	-35.22724139
-16.87068	-19.04594786
-15.28826	-9.054798668
-13.63218	-3.896196774
-11.97864	-0.610740743
-10.38352	2.538599725
-8.76808	4.873470928
-7.112	7.316878723
-5.48132	9.814999637
-3.92176	12.77395625
-1.78054	18.91027712
0.95504	31.12776091
3.81762	41.22744669
6.75386	47.36332274
9.77392	50.37699247
13.40104	51.95210753
17.38122	49.15551098
12.37234	7.887140655
8.91794	0.882527046
6.75132	-3.217398249
3.95224	-9.054798668
0.81534	-19.94181957
-0.14986	-23.00975759
-0.1778	-22.33095906
-0.18288	-22.62987952
-0.18034	-21.62502639
-0.17272	-21.54362395
-0.16002	-21.4622215
-3.24612	-34.0600282
-6.85038	-39.97883106
-10.5791	-42.69358034
-13.67282	-43.42664716
-15.27048	-43.69843346
-16.46682	-43.4537813
-17.67332	-43.10103738
-18.84426	-42.85638522
-18.44548	-33.6797053
-17.4371	-22.43949566
-16.38046	-12.66541965
-15.27048	-6.991268946
-14.0462	-3.35306899
-12.58316	0.312265114
-10.43686	3.841928478
-8.31342	7.018403094
-6.07822	9.570347482
-3.99542	13.61600448
-1.89738	19.10021615
0.15494	26.75649414
2.286	34.46704042
4.39166	39.89742862
6.61416	43.39951301
8.83158	45.35450614
11.06932	47.09198126
13.38834	47.58084075
15.54734	47.227652
17.15516	47.14624956
16.9799	36.0688448
15.70228	22.54803225
14.36624	12.44834647
12.92098	8.049945544
11.84656	5.470867008
10.38098	1.941203644
9.02716	-1.235270972
6.36524	-5.823610933
3.38074	-12.44834647
0.4826	-21.76069713
-0.13208	-23.41721463
-0.17018	-23.22683077
-3.25628	-33.9514916
-7.67334	-40.1687701
-12.20724	-42.53077545
-16.9291	-42.31370226
-21.51888	-40.22303839
-26.19756	-36.12355792
-28.1051	-20.94622787
-25.66416	1.153868527
-23.23084	8.728744068
-20.6121	13.18141329
-17.93748	15.73335768
-14.60754	17.7426191
-11.20648	18.7470274
-7.85368	19.99608786
-4.54914	23.41721463
-1.35128	30.3404258
0.9779	32.59389456
-0.84582	7.045537242
-0.83312	7.235476279
-0.81788	7.615799174
-0.83058	7.50681776
-0.81788	7.371147019
-0.82042	7.344012871
-0.83312	7.208342131
-0.85598	7.479683612
-0.84582	7.615799174
-0.82042	7.778604063
-0.81534	7.50681776
-0.84074	6.964134798
-0.88138	5.796476785
-2.84226	-9.787865488
-8.2169	-25.45316538
-13.73378	-32.51249211
-19.51482	-33.84251019
-25.13584	-33.29982723
-28.62834	-22.98262344
-25.57272	3.325934842
-22.46122	11.76954794
-19.1897	15.86947324
-15.7607	18.58422252
-12.2682	20.1317586
-7.05104	22.71128196
-3.31724	28.52110341
-1.67386	32.51249211
1.00076	39.67991061
3.7465	44.26825057
6.58876	46.52171933
9.40562	47.77077979
12.26312	47.85218223
11.3411	27.78803659
8.83158	11.11788357
6.17474	3.678678767
3.57124	-3.515873878
0.84328	-12.28554158
-0.21082	-15.16354057
-0.2286	-14.83748597
-0.24384	-14.3490713
-0.25908	-14.15868744
-0.2794	-14.62041278
-0.26924	-14.43047375
-5.1562	-27.9512863
-9.71042	-32.37682137
-13.34262	-33.76110775
-16.92656	-33.48976626
-19.9771	-33.21842478
-23.0124	-32.37682137
-26.01976	-30.80170631
-29.11856	-29.17276778
-31.84398	-27.48956096
-33.99282	-26.05056146
-36.21786	-24.55729367
-38.4048	-22.92835514
-38.60038	-12.31267573
-36.71824	6.801329909
-34.73196	15.73335768
-32.67964	21.29941661
-30.64002	25.04615316
-27.55138	27.84274971
-23.08098	29.77016386
-18.62582	30.04150535
-13.91666	29.66162727
-9.39546	29.44455409
-2.99466	37.91530134
-1.05918	41.1731784
0.5588	43.72556761
2.24282	45.92476807
4.49834	48.09638956
7.3406	48.72091979
10.16	48.72091979
12.99464	47.52657245
10.6426	21.27228247
8.07466	9.787865488
5.42036	2.89134365
2.80924	-4.140404107
0.1651	-10.76513964
-0.24892	-11.25355431
-0.254	-10.6294689
-0.25146	-10.6294689
-0.26924	-10.52048749
-0.29718	-11.60674306
-0.64262	-13.39848647
-9.61136	-27.48956096
-15.53464	-28.9556946
-21.14804	-27.92415215
-25.21204	-26.89216488
-28.01112	-25.48029953
-29.98978	-24.77436686
-31.70936	-24.01416589
-32.94634	-24.39448879
-34.33064	-23.06402589
-35.92322	-22.00534929
-37.465	-21.27228247
-38.9636	-20.78342298
-39.69004	-19.1816186
-39.71036	-18.88314297
-39.7129	-18.36714933
-39.71798	-18.36714933
-39.72814	-18.99167956
-39.72306	-18.31288103
-37.92728	2.158276829
-28.91536	29.09136534
-6.9723	36.12355792
-1.27508	41.98764766
-1.28016	41.03750766
-1.2827	40.49437987
