"""Mo and Wang, 2000 Test C2-2"""	
738	
95.931	214.6
82.501	106.93
67.918	6.35
47.144	-36.87
26.589	-70.8
5.716	-98.63
-14.369	-121.09
-35.462	-149.9
-55.597	-181.4
-76.491	-207.28
-97.845	-223.14
-84.905	-104.49
-70.719	0.98
-49.627	46.63
-29.451	85.21
-29.451	85.21
-6.063	98.63
13.882	123.05
35.883	147.46
57.895	172.85
79.227	190.43
101.838	198.24
88.089	90.33
71.337	-2.93
50.317	-42.72
27.916	-70.07
5.955	-91.06
-16.066	-108.64
-38.007	-132.32
-60.208	-157.96
-82.708	-175.54
-105.039	-166.02
-91.121	-61.04
-74.091	22.46
-53.129	56.64
-30.209	76.17
-8.667	85.45
14.062	97.9
35.584	121.09
58.494	145.02
80.056	162.6
103.125	171.63
88.189	72.27
69.998	-8.06
50.277	-39.55
28.026	-53.96
5.795	-62.74
-16.386	-72.27
-38.806	-88.62
-61.236	-104.25
-83.217	-118.9
-105.708	-131.59
-90.712	-37.35
-73.729	24.66
-51.269	44.19
-29.97	53.96
-29.97	53.96
-5.195	54.69
15.649	73.24
39.227	92.53
62.825	115.72
86.023	136.72
109.67	149.9
93.806	54.2
70.658	-14.89
50.081	-36.38
26.463	-43.95
5.795	-42.48
-17.812	-58.11
-41.4	-71.53
-65.227	-81.79
-88.865	-79.59
-113.002	-68.36
-96.838	-14.65
-73.201	13.18
-49.004	31.01
-29.227	32.71
-6.308	46.39
15.769	58.35
39.367	71.29
63.194	87.65
86.832	97.9
110.29	51.76
94.275	21.48
70.678	-1.95
47.06	-15.87
23.203	-19.53
-0.654	-23.93
-24.012	-31.25
-47.63	-37.35
-71.727	-39.79
-95.355	-38.82
-119.471	-36.87
-102.519	-4.88
-79.58	10.25
-55.034	16.36
-31.865	17.33
-5.234	20.02
