"Aboutaha and Machado, Test ORC2"	
10275	
5.5550388	103.4246291
5.08617465	96.77108832
4.57367056	87.2034848
3.67078471	71.42024608
2.91763909	57.7426016
2.26870989	47.28224
1.70867009	38.6579016
1.16816401	32.37494147
0.81644731	27.70904285
0.404209	23.91904883
0.21609635	20.73545955
-0.0056699	17.72031158
-0.151807	15.68214013
-0.2952006	13.54290122
-0.40238	11.53841446
-0.5829023	9.550776736
-0.6889843	7.445226976
-0.9143171	4.564831168
-1.2804829	-0.72431232
-1.9923297	-12.68382784
-2.7189914	-28.82077152
-3.5268607	-49.455088
-4.4510544	-71.9762016
-5.2622159	-95.035968
-6.3773572	-117.33824
-7.1967492	-135.1929568
-7.3266082	-135.5803776
-7.2797858	-133.0370112
-7.2807003	-132.9698464
-7.2748475	-132.8853344
-7.2686289	-132.8181696
-7.2845412	-132.75056
-7.2792371	-132.6833952
-7.2417426	-130.780096
-6.5736089	-116.9841792
