Hakim_Kono 2002 Column D1N30	
1457	
-13.73832477	-45.20106944
-13.29658115	-39.08521262
-12.78443504	-32.61273365
-12.2589893	-26.04113404
-11.78155715	-20.72432976
-11.26163438	-15.53156378
-10.7444861	-9.392906243
-10.28665919	-4.666331452
-9.737035293	0.75080639
-9.203531498	5.389873551
-8.755505813	9.432063884
-8.18147006	13.15256635
-7.733494024	15.47594313
-7.260672675	18.82041616
-6.728651885	21.91909665
-6.198952812	25.01081324
-5.607249241	36.62699471
-5.255893881	31.15163406
-5.348624066	10.93758247
-5.365704798	11.63693601
-4.767000338	40.14758013
-4.282574534	45.44470335
-3.688336556	49.23049353
-3.667978485	42.29415146
-3.23840001	52.09271808
-2.792499072	56.70201086
-2.272385221	60.48897003
-1.767013476	65.18647346
-1.267360253	69.89685489
-0.768621187	74.47903252
-0.263916934	79.56497978
0.230329522	83.88669113
0.62968836	88.57155876
1.170751324	94.15848553
1.66916333	98.79424114
2.090279641	102.9533355
2.603815978	107.6131311
3.11918544	112.3015721
3.599764761	115.5517219
4.17044669	119.8010405
4.599337013	122.81134
5.035962177	125.8318432
6.071132478	130.4074804
6.602511901	134.2911749
7.083534751	136.9140096
7.467662984	137.4500658
8.022436084	140.9386684
8.605876306	138.9517451
9.027016306	146.0232237
9.496471416	147.4117718
9.960935382	150.1575791
10.44545611	151.6887618
11.02121787	153.6630715
11.52511055	155.5316897
11.97640856	157.514821
12.48699687	159.7356666
12.9995165	161.3783383
13.47076762	162.5155934
13.97183791	163.9113528
13.88075581	140.9887306
14.45963094	159.5428376
14.92998763	165.6908265
15.40046926	166.2839861
15.89849705	167.0732049
16.37905314	168.4464965
16.87088785	166.5521496
17.37358877	168.8193491
17.866428	167.8134134
18.38831684	166.8356588
17.81374606	134.8833863
17.31439605	124.9856012
16.8049216	115.4378636
16.34246903	107.2217203
15.82806702	98.07953238
15.33097331	90.00318236
14.85083377	82.50031991
14.35314737	74.48702085
13.84714886	67.12716806
13.35386266	61.08414943
12.87306383	54.85550194
12.35670916	48.28622276
11.8835633	43.0388702
11.36589936	37.2480777
10.84202944	31.56505755
10.37078711	26.25809602
9.854525806	21.30357002
9.342429611	16.40356287
8.920247924	12.83606859
8.374037759	8.362564659
7.892223838	4.757194978
7.425048415	0.890817142
6.912377537	-2.884519091
6.395313642	-6.085527809
5.912870027	-9.276393016
5.387740912	-12.64711721
4.93801039	-15.61468662
4.455055218	-18.56287203
3.949499925	-22.11674837
3.449497427	-25.71834605
2.98625158	-29.82934284
2.440247826	-33.2447248
1.956810371	-37.30354427
1.476116231	-40.67307726
0.989442052	-45.71792633
0.468527686	-50.37930815
-0.025501812	-54.95356071
-0.499813765	-59.55461445
-0.986345783	-63.4433872
-1.485949981	-68.12558078
-1.945840972	-72.27799412
-2.460838365	-76.82537273
-2.971068136	-81.21459848
-3.454288712	-84.65486027
-3.972095322	-88.69308113
-3.965886255	-77.10192915
-4.429531598	-81.02212694
-4.956380981	-83.90229625
-5.480532994	-85.81927349
-5.931757134	-87.57713747
-6.445559163	-91.68235349
-6.965429354	-94.69117001
-7.457592732	-96.93053139
-7.916312138	-100.0779284
-8.433394817	-102.4669669
-8.916445449	-103.4202796
-9.417368967	-106.4723223
-9.906366464	-109.2226232
-10.39337966	-111.0864655
-11.36315712	-115.7586477
-11.85104491	-117.2994497
-12.35532248	-119.8144366
-12.8497991	-121.9710638
-13.35127714	-133.6528929
-13.86092942	-134.8396615
-14.36909025	-136.307733
-14.79512967	-126.9529833
-15.33167845	-139.1560477
-15.82485931	-139.6173099
-16.31380376	-140.4842635
-16.809341	-141.0743702
-17.29317074	-141.3572508
-17.78991663	-141.5594747
-18.3120621	-141.3339504
-18.52282489	-139.2795096
-18.21618886	-111.006071
-17.77482797	-101.3341421
-17.27498814	-90.67853673
-16.74865773	-80.71263625
-16.24656961	-71.56134774
-15.72825149	-62.65734109
-15.24536986	-53.95329883
-14.75968414	-46.22313696
-14.24609512	-38.17639408
-13.72854661	-30.70251856
-13.27183446	-24.97496366
-12.75475525	-18.49714036
-12.24235442	-12.11996089
-11.78095492	-7.482455474
-11.26447705	-1.868836672
