Saatcioglu and Gira 1999 Column BG-1	
24.99095	75.13574468
24.49136	71.23574468
23.99176	66.19860182
23.49217	65.12389058
22.99257	58.60523404
22.49298	58.1851307
21.99338	53.90604863
21.49379	50.79844985
20.99419	48.00094833
20.4946	44.61770821
19.995	41.33782371
19.49541	38.81595745
18.99581	38.77486322
18.49622	26.26100912
17.99662	26.18545289
17.49702	26.00652888
16.99743	22.17536778
16.49784	14.96759271
15.99824	12.54908815
15.49865	9.096930091
14.99905	7.57424924
14.49946	1.882505167
13.99986	0.773291185
13.48304	-4.303246809
12.98344	-9.133617021
12.48385	-11.03530091
11.98425	-14.86647416
11.48466	-15.18322188
10.98506	-22.39099696
10.48547	-23.15565957
9.985872	-27.05575076
9.486278	-32.57522188
8.986683	-33.1676231
8.487087	-38.17026748
7.987493	-42.31154407
7.487897	-45.1779696
6.988302	-48.25113678
6.488707	-52.73697264
5.989111	-56.77486322
5.489516	-59.64130699
4.989922	-63.81702128
4.490326	-69.12978723
3.990731	-70.82474164
3.491136	-75.31057751
2.991541	-77.04
2.491946	-80.52656535
1.992351	-85.01240122
1.475528	-86.57452888
0.9759333	-90.47458967
0.4935656	-92.02680851
-0.006029591	-98.37319149
-0.5056247	-99.27568389
-1.00522	-99.83361702
-1.504815	-106.5590274
-2.00441	-107.3237082
-2.504005	-110.982614
-3.003601	-114.5037082
-3.503196	-118.4727052
-4.00279	-120.6155623
-4.502386	-123.3441945
-5.001981	-128.4157447
-5.501576	-129.1459574
-6.001172	-129.8072948
-6.517993	-135.6074164
-7.000361	-138.9856535
-7.517184	-141.4435866
-8.016778	-143.3108815
-8.516373	-148.3823708
-9.015969	-148.6991489
-9.515564	-148.9469909
-10.01516	-149.1948328
-9.498337	-149.0798176
-10.03239	-155.7118541
-10.51475	-155.851307
-11.01435	-156.1680851
-11.51394	-160.102614
-12.01354	-163.003465
-12.51313	-166.0767173
-13.01273	-166.46231
-13.51232	-170.6380547
-14.01192	-172.5741641
-14.51152	-175.2683283
-15.01111	-175.9296049
-15.51071	-179.6574468
-16.0103	-180.0775684
-16.5099	-180.3254103
-17.00949	-183.5363526
-17.50909	-184.7144681
-18.00868	-186.3060182
-18.50828	-186.5194529
-19.00787	-189.3858359
-19.50747	-189.8404255
-20.00706	-190.5361094
-20.50666	-191.507538
-21.00625	-191.5486322
-21.50585	-191.2451672
-22.00544	-191.217386
-22.50504	-191.706383
-23.00463	-188.1641337
-23.50423	-188.8254103
-24.00382	-185.4899088
-24.50342	-180.7761702
-25.00302	-181.1618237
-25.50261	-182.5466261
-26.0022	-176.3858359
-26.51903	-176.5352584
-27.00139	-175.1931307
-27.50099	-175.027538
-28.00059	-173.7937386
-28.50018	-174.2827356
-29.017	-174.4321581
-29.5166	-170.2697264
-30.01619	-169.2082675
-30.51579	-169.6627964
-31.01538	-171.35769
-31.51498	-167.3330699
-32.0318	-167.8270517
-32.51417	-165.6235258
-33.03099	-164.7393313
-33.51336	-164.8443161
-34.01295	-163.2659574
-34.52978	-163.2775684
-33.99573	-106.031003
-33.49613	-101.0628571
-32.99653	-97.85191489
-32.49694	-93.1593921
-31.99734	-90.18966565
-31.49775	-86.7031003
-30.99816	-83.6299696
-30.49856	-79.28200608
-29.99896	-77.27696049
-29.49937	-74.65173252
-28.99977	-70.92401216
-28.48295	-66.26091185
-27.98336	-63.08443769
-27.48376	-59.14993313
-26.96694	-57.17438298
-26.48457	-53.45158663
-25.98498	-51.79110638
-25.48538	-49.44151976
-24.98578	-46.54066261
-24.48619	-43.50197568
-23.9866	-40.53219453
-23.487	-37.04559271
-22.98741	-36.48768389
-22.48781	-33.38007903
-21.98821	-29.23882675
-21.48862	-26.510231
-20.98903	-25.46993921
-20.48943	-22.25896657
-19.98984	-20.87412158
-19.49024	-17.80097264
-18.99064	-15.31356231
-18.49105	-10.68992705
-17.99145	-9.305075988
-17.49186	-5.921829179
-16.99227	-5.191626748
-16.49267	-2.979848632
-15.99307	-1.250446201
-15.49348	2.752997568
-14.99388	3.345384802
-14.49429	6.246261398
-13.99469	9.319422492
-13.4951	12.08248024
-12.9955	14.81108815
-12.49591	17.64306383
-11.99631	19.20020061
-11.49672	23.54819453
-10.99712	23.93386018
-10.49753	26.86919757
-9.997931	29.56334954
-9.498337	31.15494833
-8.998741	33.60790881
-8.499146	35.64741641
-7.999552	38.99622492
-7.499956	41.48364742
-6.983134	43.83823708
-6.483539	45.87774468
-5.983943	48.29626748
-5.484349	50.33577508
-4.984753	52.58201216
-4.485158	55.82745897
-3.985563	57.83251672
-3.485968	59.38964742
-2.986373	62.56620061
-2.486778	65.22589666
-1.987183	67.47215805
-1.487588	67.23762918
-0.9879924	70.75866261
-0.4883973	73.5906383
0.01119782	75.11337386
0.5280203	78.01920973
1.010388	79.91592705
1.509983	82.88571429
2.009578	85.40759878
2.509173	87.41264438
3.008769	89.07319149
3.508363	90.94042553
4.007959	90.91264438
4.507554	93.0899696
5.007149	95.47398176
5.506744	96.75550152
6.00634	99.69088146
6.505934	101.661459
7.00553	102.5639514
7.505125	103.9488146
8.004721	106.8497264
8.504315	108.9581155
9.00391	110.4807903
9.503505	113.4850456
10.0031	115.8001824
10.5027	116.8404863
11.00229	118.9489362
11.50189	118.7144073
12.00148	121.6152584
12.50108	123.0345897
13.00067	122.9723404
13.50027	126.5967781
14.01709	127.9866261
14.51668	130.9564134
15.01628	131.5832827
15.51587	133.6916109
16.01547	133.9394529
16.51506	136.3579939
17.01466	136.8469909
17.51426	139.1277204
18.01385	139.6511854
18.51344	141.7940426
19.01304	141.5249848
19.51263	143.6678419
20.01223	145.2594529
20.51183	145.9207295
21.01142	147.7190881
21.51101	147.7601824
22.01061	150.0408511
22.5102	150.5987842
23.0098	152.1903343
23.5094	152.093617
24.00899	153.1683283
24.50859	154.2775684
25.00818	155.3522796
25.50777	156.3925836
26.0246	158.2992705
26.50697	156.8192705
27.00656	158.6175684
27.52338	159.1115502
28.00575	160.9393313
28.50535	160.4291185
29.00494	161.8828571
29.50454	162.6474772
30.00413	163.3432219
30.50373	163.0397568
31.00332	163.0119149
31.50292	163.6387234
32.00251	163.1629787
32.50211	164.788997
33.01893	164.3181763
33.5013	165.1467477
32.98448	124.9604863
32.48488	124.2648024
31.98529	123.2934347
32.50211	122.9604863
31.98529	117.4360486
31.48569	116.740304
30.98609	111.1864438
30.4865	106.2871733
29.9869	105.8671125
29.48731	101.3468693
28.98771	97.03337386
28.48812	96.19981763
27.98852	90.71483283
27.48893	90.19136778
26.98933	89.15106383
26.48974	83.66607903
25.99014	80.24838906
25.49055	75.86595745
24.99095	74.65343465
24.49136	70.06425532
23.99176	65.61288754
23.49217	64.77933131
22.99257	60.84480243
22.49298	60.21798176
21.99338	59.48778116
21.49379	52.90022492
20.99419	52.5834772
20.4946	49.20023708
19.995	46.67837082
19.49541	45.22461398
18.99581	41.42790881
18.49622	40.0775076
17.97939	36.27582371
17.49702	35.75733131
16.99743	35.78514286
16.48061	30.6052462
15.99824	26.57232827
15.49865	26.22112462
14.99905	21.76976292
14.49946	17.31840122
13.99986	16.5537386
13.48304	15.81854711
12.98344	11.78064438
12.48385	10.67142857
11.98425	8.011732523
11.48466	3.801553191
10.98506	2.588970821
10.46824	0.992398784
9.968645	-2.597590881
9.486278	-4.184198784
8.986683	-6.774990881
8.487087	-10.22715502
7.987493	-11.02628571
7.487897	-11.99768389
8.004721	-12.36505167
7.487897	-14.68518541
6.988302	-17.34488146
6.488707	-17.59272948
5.989111	-17.94393313
5.489516	-22.25748328
4.989922	-25.22728267
4.490326	-25.99195745
3.990731	-29.23739818
3.491136	-30.24325836
2.991541	-34.03998176
2.474719	-37.04921581
1.992351	-37.60217629
1.492756	-39.98623708
0.9931607	-40.40635258
0.4935656	-44.82328267
-0.006029591	-45.2433921
-0.5056247	-49.14348328
-1.00522	-50.9073617
-1.504815	-54.91080851
-2.00441	-55.60657143
-2.504005	-55.85441945
-3.003601	-59.72004863
-3.503196	-62.82765957
-4.00279	-63.38559271
