"Wehbe et al. 1998,Specimen A2"	
16.34489924	243.01024
16.62430025	246.19485
16.76399924	247.66467
16.90369975	249.8694
17.18310051	252.3191
17.4625	255.50371
17.60220051	257.70844
17.8816	261.13802
18.30069975	267.26227
18.85950025	272.65161
19.13889949	275.59125
19.41830051	279.02083
19.6977	282.94035
20.1168	286.36993
20.25650025	287.83975
20.39619924	290.53442
20.81529924	294.20897
20.95499975	296.16873
21.23439924	299.10837
21.5138	303.02789
21.79319949	305.96753
21.9329	306.70244
22.07260051	307.19238
22.21229949	308.90717
22.352	310.13202
22.352	309.88705
22.49170025	310.62196
22.49170025	310.86693
22.49170025	310.86693
22.49170025	311.1119
22.63139924	311.60184
22.63139924	311.60184
22.63139924	311.60184
22.63139924	311.1119
22.63139924	311.60184
22.77109975	312.09178
22.77109975	308.17226
22.77109975	308.17226
22.77109975	308.17226
22.77109975	308.17226
22.77109975	307.68232
22.77109975	308.41723
23.19019975	313.5616
23.46960051	317.23615
23.749	321.89058
24.30780051	326.54501
24.72690025	330.46453
25.00629975	334.13908
25.28569924	336.34381
25.7048	339.77339
26.2636	342.958
26.543	345.4077
26.6827	346.63255
27.1018	349.57219
27.5209	351.28698
27.94	353.24674
28.0797	354.71656
28.4988	356.18638
28.7782	357.90117
29.1973	362.06566
29.6164	364.51536
30.0355	365.0053
30.1752	365.0053
30.4546	364.76033
30.734	367.455
30.8737	367.455
31.1531	368.43488
31.2928	370.14967
31.85159746	372.3544
31.9913	371.37452
32.27069746	372.10943
32.4104	372.10943
32.5501	372.10943
32.5501	371.37452
32.5501	371.37452
32.68979746	371.37452
32.68979746	370.63961
32.68979746	370.63961
32.8295	370.14967
33.3883	365.0053
33.8074	370.14967
34.0868	371.86446
34.3662	374.31416
34.7853	376.76386
35.3441	378.72362
35.9029	381.66326
36.32199746	382.88811
36.6014	383.37805
37.16019746	384.11296
37.57929746	386.07272
38.1381	387.78751
38.5572	388.03248
39.116	388.52242
39.3954	388.76739
39.8145	389.01236
40.0939	387.78751
40.2336	386.80763
40.2336	385.58278
40.3733	385.33781
40.3733	386.31769
40.6527	387.0526
40.79239746	388.27745
41.0718	388.52242
41.21149746	388.03248
41.3512	387.78751
41.63059746	388.27745
41.7703	368.92482
41.63059746	368.92482
41.63059746	367.94494
41.3512	362.80057
40.9321	357.16626
40.2336	345.89764
39.5351	337.56866
38.9763	328.74974
38.2778	319.44088
37.57929746	309.88705
37.0205	304.49771
36.32199746	297.63855
35.7632	291.02436
35.2044	283.92023
34.7853	280.00071
33.52799746	266.28239
32.4104	255.01377
31.4325	244.23509
30.734	236.64102
30.1752	229.78186
29.1973	219.98306
28.3591	212.63396
27.6606	204.54995
26.8224	196.71091
26.1239	189.11684
25.8445	185.93223
24.30780051	171.23403
23.60929949	164.1299
22.63139924	155.31098
21.79319949	146.982
21.09470025	140.12284
19.97709949	128.85422
18.71979975	117.83057
17.60220051	107.05189
16.48459975	97.00812
15.6464	88.67914
14.66849975	81.08507
14.10969924	75.20579
13.4112	68.83657
12.85239949	64.91705
12.01419975	56.83304
11.31569975	51.68867
10.7569	46.05436
9.918700254	39.68514
9.499600254	36.25556
9.080499746	31.11119
8.5217	26.9467
7.8232	19.84257
