"""Thompson and Wallace, 1994, A1""  "	
3.90652	-0.82825875
1.99898	-4.98200752
0.74676	-7.018403094
0.7112	-8.294597699
0.7112	-7.452549463
0.67564	-8.131347988
-1.0033	-10.87367623
-3.04292	-15.08213812
-4.95554	-19.61620979
-6.8199	-23.9056293
-8.62076	-30.3404258
-10.4013	-35.93317406
-9.57326	-26.15909806
-7.94258	-14.75608352
-6.20014	-6.366738717
-4.3053	-0.339399262
-2.36982	3.434471434
-0.3429	7.07267139
1.62306	10.57520061
3.54838	13.23568159
5.47878	18.23147859
7.34568	23.03689174
9.21512	28.03268874
10.9982	33.6797053
11.06424	28.54823756
9.33196	18.31288103
7.58952	8.728744068
5.73278	3.570142175
3.85318	-1.669862163
1.8669	-4.276074847
0.70612	-8.23988458
0.69342	-7.398281167
0.63754	-7.425415315
0.66548	-7.235476279
-1.71196	-12.82866936
-4.35356	-17.52554592
-6.8072	-23.93276345
-9.19226	-30.74743802
-11.66876	-37.31790526
-14.31544	-41.55350129
-13.19276	-28.08695704
-10.94232	-13.42562062
-8.45058	-3.407337286
-5.92074	1.26240512
-3.19786	5.335196267
-0.64516	9.814999637
2.04216	13.18141329
4.55168	18.04109473
7.19074	21.62502639
9.66724	27.84274971
12.13866	34.0057599
14.65072	38.8383072
14.72946	30.55749898
12.55776	17.22662547
10.14476	6.203933829
7.62254	0.719277336
4.96062	-3.434471434
2.36474	-7.561530878
0.7493	-10.92794453
0.74422	-9.787865488
0.70866	-10.90081038
-1.54178	-14.077285
-4.22656	-17.41700933
-6.8072	-21.4622215
-9.30656	-26.78362829
-11.8999	-31.80655944
-14.4272	-37.88816719
-13.31722	-26.59368925
-10.97788	-13.31708403
-8.45312	-4.194672403
-5.8928	1.316673416
-3.175	4.656397743
-0.53594	9.434676741
2.03962	12.04133425
4.6863	15.70622353
7.25678	19.91468542
9.85012	25.07328731
12.29868	31.04635847
14.77264	36.74764333
14.8717	30.53036483
12.64158	17.30847273
10.2743	6.774195761
7.71652	1.126734379
5.05968	-3.543008027
2.3368	-7.642933322
0.77216	-9.461810889
0.69088	-10.76513964
0.68834	-9.842133785
-2.87274	-15.027425
-6.80466	-21.13661173
-10.5918	-28.76575556
-14.4907	-37.34503941
-18.16354	-43.4537813
-21.99386	-46.44031688
-20.32	-28.87429216
-16.98244	-10.49335334
-13.21308	-0.637874891
-8.98398	4.764934335
-4.95554	8.755878216
-0.84328	13.37135233
3.08102	17.66121666
6.98754	21.81496543
10.84834	26.43088436
14.69898	32.59389456
18.60804	40.19590424
22.67966	43.42664716
22.71522	32.3492424
19.20748	14.3490713
15.367	4.221806551
11.39952	-2.565733873
7.18058	-7.099805538
3.08356	-11.33540157
0.71628	-14.10441915
0.69342	-13.37135233
-2.4638	-17.7968874
-6.4897	-22.11388588
-10.43178	-24.96475072
-14.5034	-29.71589557
-18.05178	-35.79750332
-21.74494	-42.28656811
-20.5994	-27.67949999
-17.27454	-11.55247476
-13.27404	-1.099600231
-8.32866	3.81479433
-4.2418	8.484536735
-0.2032	12.9643401
3.75666	17.17235717
7.66064	20.07749031
11.58748	24.96475072
15.41272	29.52595653
19.35226	35.77036917
23.32228	41.1731784
22.57298	29.63449312
18.96364	12.82866936
15.10538	3.135995805
11.05408	-2.212545125
6.8199	-5.932147526
2.7051	-11.55247476
1.0541	-11.55247476
3.20294	-5.525135304
4.92252	-1.153868527
4.93014	-1.289539268
4.953	-0.719277336
4.93522	-1.072466083
4.9784	-1.370941712
0.49276	-13.15427914
0.45212	-13.23568159
-2.84988	-18.20434444
-6.85038	-22.08675173
-10.78484	-25.91489072
-14.85646	-30.06863949
-18.4023	-35.55329599
-22.1234	-41.71630618
-20.68576	-27.27248777
-17.34058	-11.60674306
-13.58392	-2.076874385
-9.19734	2.674270465
-5.01396	6.855598205
-0.98298	10.95507868
2.99212	15.67908938
6.86308	19.37155763
10.80516	22.68414781
14.63548	26.53942095
18.54962	32.13216922
22.49932	38.48556327
23.1013	33.02804093
19.5199	15.05500397
15.64894	4.954873372
11.61796	-1.126734379
7.33806	-5.362330416
3.302	-11.14501772
0.635	-13.20854744
0.53594	-13.58887033
0.49276	-12.77395625
-2.83718	-16.6839425
-6.88086	-20.59348394
-10.81786	-25.48029953
-14.82852	-28.82002386
-18.4404	-34.46704042
-22.19706	-41.25458084
-20.74164	-27.13681703
-17.41932	-11.98662113
-13.6271	-2.348660688
-9.25576	2.511465577
-5.03936	6.122531384
-0.99568	10.46621919
2.9591	14.67468108
6.85546	18.25861274
10.77976	22.49376395
14.61008	26.13196391
18.53438	32.3492424
22.4917	37.34503941
23.14194	31.88796188
19.59864	14.97315671
15.64894	4.574995299
11.65098	-0.692143188
7.38886	-4.819202631
3.34264	-10.52048749
0.68326	-12.85580351
0.53848	-12.55688306
0.48006	-12.66541965
0.48006	-12.6925538
0.46736	-12.39407817
-4.09448	-18.122942
-9.39292	-22.5208981
-14.69898	-28.35829852
-19.55292	-36.74764333
-24.64054	-43.29097642
-28.73756	-45.59871347
-27.75966	-37.91530134
-23.06066	-13.88734596
-18.14322	-1.153868527
-12.48664	2.999880242
-6.7945	8.158482136
-1.3843	13.94161426
3.86334	18.42141763
9.01954	22.08675173
14.21892	27.35389022
19.47164	32.97377263
24.9047	39.48997157
30.31744	44.29538472
31.24454	34.0600282
26.42616	14.4033396
21.13534	3.217398249
15.33144	-2.294392392
9.64946	-7.154073834
4.17576	-13.45275477
0.6223	-15.97800983
0.48006	-15.38061375
0.44958	-15.4620162
-4.0894	-19.99608786
-9.45388	-24.44875708
-14.79804	-28.87429216
-19.59356	-33.29982723
-24.64054	-39.32716668
-28.75026	-42.93823249
-27.77236	-36.09597895
-22.96922	-14.0230167
-18.00606	-1.669862163
-12.25042	2.864209502
-6.54812	7.805738211
-1.13792	11.90521868
4.14782	16.35788791
9.32688	21.43508735
14.5669	25.58928095
19.89582	30.12335261
25.2984	35.47189354
30.6959	40.71189788
31.58236	33.08230922
26.68016	14.0230167
21.30552	2.158276829
15.4686	-2.918477798
9.73582	-7.697201618
4.30276	-13.18141329
0.75184	-16.00514398
0.60706	-15.48915034
0.57658	-15.00029086
0.57404	-14.62041278
0.56388	-16.24935131
0.5461	-15.27207716
0.56134	-15.67908938
0.4953	-15.32634546
0.50038	-15.19067472
0.5334	-15.4620162
0.5207	-14.59327863
0.46736	-15.13640642
