"Arakawa et al. 1982, Specimen 102"	
10.151	132.09
9.8806	127.38
9.7996	126.34
9.7185	124.25
9.5568	121.46
9.4485	119.37
9.1247	113.44
8.4498	103.86
8.0988	96.886
7.478	87.652
6.2631	73.187
5.0483	56.458
4.2113	44.782
3.2395	32.586
2.4567	21.608
1.8627	12.895
1.4578	6.0991
0.99885	-1.0455
0.6749	-6.6217
0.13498	-13.592
-0.24297	-17.6
-4.3193	-78.592
-5.1834	-92.185
-5.8042	-100.37
-6.3442	-107.34
-7.1001	-114.84
-7.9098	-124.59
-8.6929	-132.61
-9.5026	-139.06
-10.313	-146.03
-11.014	-151.08
-11.5	-153.87
