"Saatcioglu and Ozcebe 1989, Spec. U7"	
-81.8	-281
-84.6	-282.4
-87.4	-283.7
-87.8	-278.4
-88	-260.1
-87.2	-245.5
-86.2	-225.8
-85.2	-206.1
-84.2	-188.3
-83	-171.9
-82.6	-155.8
-80.8	-138.5
-79.6	-122.8
-79.6	-122.8
-77.2	-88.17
-75.6	-72.11
-74.2	-57.11
-72.4	-41.21
-70.6	-25.81
-68.4	-11.01
-65.6	1.961
-64.4	6.948
-64.4	2.508
-62.6	18.35
-60.6	32.83
-57.8	44.88
-54.6	57.28
-51.8	67
-48.8	74.01
-46	80.45
-43.2	86.4
-40.4	92.66
-37.6	98.69
-34.9	104.5
-31.9	111.1
-29.1	118.5
-26.2	125.8
-23.1	134.2
-23.1	134.2
-19.9	142.1
-17.2	149.8
-14.4	157
-11.5	164.4
-8.54	171
-5.88	176.7
-3.04	182.2
-0.08	187.9
2.88	193.3
5.6	198
8.54	202.4
11.4	206.9
14.1	210.4
17.2	216
20.1	220.4
23	224.8
25.9	228.1
28.8	232.2
31.8	235.7
34.6	237.9
37.6	241.3
40.4	244.5
43.2	247.5
46.2	250.1
46.2	250.1
49.8	254
52.6	257
55.6	259.6
58.2	262.9
61	263.4
63.8	266.6
66.4	269
69.4	270.9
72.2	272.8
75	274.4
77.8	275.6
80.6	278
83.4	278.9
86.4	279.8
86.8	261.9
85.6	235.1
84.4	209.5
83.2	187.8
82	167.6
80.8	149.4
79.6	131.3
78.4	113.9
77.2	96.81
75.8	79.32
75.8	79.32
72.6	42.54
70.8	26.27
68.8	10.99
66.8	-4.264
64	-19.3
61.4	-33.5
58.6	-47.32
55.8	-57.2
53	-63.88
50	-71
47.4	-76.46
44.6	-83.2
41.6	-90.53
38.8	-97.64
36	-103.7
33.3	-109.8
30.3	-116.5
27.4	-123.7
24.5	-131.2
21.6	-139.1
18.7	-146.1
15.7	-153.7
12.7	-160.3
9.78	-166.4
9.78	-166.4
6.44	-172.8
3.54	-178
0.644	-183.1
-2.3	-187.8
-5.06	-192.7
-7.94	-196.3
-10.8	-200.3
-13.5	-204.1
-16.4	-208.2
-19.2	-212.2
-22.1	-215.2
-25.2	-218.9
-28.1	-221.8
-31.2	-224.9
-34.1	-227.3
-37.1	-229.8
-40.2	-231.7
-43	-233.9
-45.8	-236.5
-48.8	-238.7
-51.6	-241.2
-54.6	-243.5
-57.4	-245.9
-60.2	-247.9
-60.2	-247.9
-63.4	-250.1
-66.4	-252.1
-69.4	-254.6
-72.6	-255.3
-75.4	-257.7
-78.2	-259.2
-81	-260.1
-83.8	-261
-86	-262.4
-86.6	-243.5
-85.6	-220.1
-84.4	-200.9
-83.4	-183.2
-82.2	-167
-81	-149.6
-79.6	-132.7
-78.8	-117.5
-77.2	-101.1
-76	-85.61
-74.6	-69.24
-73	-54.09
-71.6	-39.49
-69.8	-25.84
-67.6	-11.06
-67.6	-11.06
-65	1.311
-62.8	13.16
-60	25.48
-57.4	39.23
-54.6	50.96
-51.8	58.79
-49.2	63.88
-46.2	68.58
-43.4	73.62
-40.6	78.59
-37.8	83.57
-34.7	89.23
-31.6	96.14
-28.7	102
-26	107.8
-23.3	114.2
-20.5	120.8
-17.7	127.7
-15.1	135
-12.8	141.3
-9.86	147.3
-6.94	153.7
-4.08	159.9
-1.28	165.8
-1.28	165.8
1.61	170
4.38	176.8
7.24	179.7
10.4	185.4
13.2	190.3
16	194.2
18.9	198.4
21.9	202.5
24.9	205.7
27.8	208.5
30.6	211.4
33.5	213.7
36.4	216.3
39.3	218.5
42.4	221.3
45.2	221.1
48	223.3
51	224.8
54	225.3
56.8	225.6
59.8	226.6
61.8	225.6
64.6	225.2
65.4	206.3
65.4	206.3
62.2	146.3
60.8	128.9
59.6	112.4
58.4	95
57	78.74
55.8	63.36
54.4	46.47
52.8	30.46
51	15.21
49	-0.07167
46.4	-15.08
43.4	-28.81
40.8	-37.55
38	-44.68
35.2	-48.52
32.3	-52.77
29.4	-57.38
26.4	-62.34
23.7	-68.15
20.8	-74.27
17.8	-80.92
15	-87.08
12.1	-93.05
9.24	-99.45
9.24	-99.45
5.7	-108
2.7	-115
-0.108	-121.6
-3.05	-128.6
-5.98	-134.7
-8.98	-141.1
-11.9	-147.3
-14.8	-153.2
-17.8	-158.9
-20.9	-165.1
-23.8	-170.5
-26.5	-175.3
-29.5	-180.2
-32.3	-184.1
-35.5	-188.7
-38.3	-191.9
-41.2	-195.6
-44	-198.6
-46.8	-201.7
-49.8	-205.2
-52	-206.6
-54.2	-208
-57.2	-209.9
-60	-208.6
-60	-208.6
-63.6	-204.9
-66	-199
-64.8	-173.5
-63.6	-154.9
-62.2	-138
-60.8	-120.9
-59.6	-105.7
-58.2	-88.87
-56.8	-73.29
-55.4	-57.34
-53.6	-41.29
-51.8	-26.82
-49.4	-12.4
-46.6	1.577
-43.8	13.28
-40.8	26.49
-38.2	36.77
-35.4	44.07
-32.5	48.45
-29.5	51.34
-26.6	54.55
-23.7	58
-20.8	61.51
-17.9	65.87
-17.9	65.87
-14.9	70.92
-12.1	75.96
-9.18	81.09
-6.24	86.79
-3.2	92.57
-0.284	97.88
2.53	104
5.48	110
8.4	115.8
11.3	122.2
14.2	127.8
17.1	133.7
20	138.9
23	143.3
25.9	147.5
28.7	150.9
31.6	152.7
35	154.2
37.5	155.3
40.4	155.2
43.2	152.3
45.8	148.7
48.6	144.1
51.6	138.3
51.6	138.3
55	129.7
57.8	122.5
59.8	118.2
62.8	112.2
65.6	105.2
64.4	84.07
63.2	67.19
61.8	51.85
60	35.34
58	20.35
56.8	5.99
54.6	-8.273
52	-22.12
49.2	-35.06
46.4	-44.62
43.4	-51.6
40.8	-56.02
38	-59.39
35	-62.33
32.2	-65.1
29.3	-67.86
26.8	-70.48
24.2	-72.48
21.4	-75.22
21.4	-75.22
18	-78.37
15	-80.7
12.1	-83.29
9.22	-85.85
6.4	-87.72
3.42	-90.33
0.454	-92.84
-2.42	-94.68
-5.12	-96.69
-7.84	-98.53
-10.7	-100.4
-13.5	-102.1
-16.5	-103.9
-19.4	-105.1
-22.3	-106.2
-25.2	-106.5
-28.2	-106.5
-31.2	-105.6
-34	-104.8
-36.9	-103.2
-39.8	-101.6
-42.8	-99.3
-45.8	-96.7
-48.6	-93.23
-48.6	-93.23
-52.2	-88.99
-55	-84.54
-58	-80.17
-61	-76
-63.8	-71.61
-66.4	-67.43
-65.4	-50.24
-63.8	-36.01
-62	-21.59
-59.2	-7.089
-56.2	6.61
-53.4	20.28
-50.6	31.3
-47.6	39.99
-44.8	46.77
-41.8	51.23
-38.8	54.94
-35.9	57.46
-32.9	56.86
-29.9	59.56
-27.1	62.15
-24	64.4
-21.5	65.46
-18.6	66.22
-18.6	66.22
-15.4	66.84
-12.3	67.34
-9.42	67.29
-6.64	67.17
-3.66	67.02
-0.936	66.76
-0.738	62.81
