"Ono et al. 1989, Specimen CA025C"	
5.8283	96.757
5.6515	87.056
5.3741	76.87
5.1849	69.838
4.8946	61.351
4.5415	52.624
4.2009	44.618
3.7846	36.132
3.3304	27.402
2.7374	18.672
2.2581	11.155
1.6526	2.91
1.1606	-5.8198
0.60554	-13.58
0.02523	-20.855
-0.54244	-27.887
-1.0344	-34.435
-1.7661	-45.588
-2.195	-53.109
-2.5356	-58.442
-3.0401	-66.444
-3.4061	-71.777
-3.9106	-80.753
-4.2766	-86.571
-4.7432	-93.848
-5.1595	-100.64
-5.7147	-107.18
-6.0805	-111.06
-6.0678	-106.21
-5.8156	-93.604
-5.5507	-84.387
-5.2227	-74.446
-4.7432	-61.351
-4.3774	-51.65
-3.9484	-42.195
-3.6078	-34.92
-2.7628	-20.855
-2.1067	-12.125
-1.5643	-4.365
-1.0723	1.6975
-0.58029	8.4872
-0.164	15.035
0.13877	20.127
0.75689	28.857
1.211	35.162
1.6147	40.012
2.0437	46.562
2.5987	55.048
3.0277	61.596
3.6078	70.568
4.0241	77.355
4.5288	85.117
4.8946	90.21
5.4244	99.182
5.8786	104.51
6.4211	109.37
7.2789	112.76
7.506	113.49
7.5565	109.37
7.4808	100.88
7.3167	91.18
7.0896	82.208
6.8501	73.721
6.6482	66.929
6.4463	60.626
5.9543	50.44
5.6642	43.65
5.2984	35.647
4.983	29.585
4.4783	22.067
3.7846	14.065
3.2548	7.76
2.8384	1.455
2.1319	-5.3349
1.6021	-10.67
0.63076	-18.672
0.15138	-23.28
-0.39106	-28.857
-0.80736	-33.95
-1.3877	-40.74
-1.8418	-47.772
-2.3212	-55.048
-2.8636	-63.05
-3.2672	-69.113
-3.7089	-75.416
-4.1755	-81.238
-4.7686	-89.48
-5.2227	-94.573
-5.8156	-100.15
-6.0805	-102.82
-6.3581	-105.49
-6.7112	-106.94
-7.2032	-107.43
-7.6195	-107.18
-7.5943	-98.212
-7.3419	-85.846
-7.0645	-76.386
-6.7869	-66.689
-6.3454	-56.018
-5.9543	-46.802
-5.6391	-39.042
-5.3363	-33.222
-4.8567	-25.947
-4.3774	-20.612
-3.936	-15.762
-3.4313	-10.67
-2.9141	-4.6077
-1.7787	4.6077
-1.1858	9.2149
-0.63076	13.095
-0.075689	17.46
0.61813	23.522
1.3877	31.04
2.0184	38.315
2.6238	45.588
3.2799	52.624
4.0747	62.566
4.92	72.267
5.7399	80.509
6.3833	87.056
7.0267	92.879
7.4808	96.757
7.506	95.303
7.4933	89.48
7.4176	81.723
7.0645	70.323
6.7366	59.657
6.4338	50.925
6.03	42.437
5.6515	34.92
5.273	27.645
4.6929	18.915
4.1252	11.155
3.4313	4.6077
2.7752	0
2.1698	-3.88
1.64	-7.76
0.84521	-13.095
0.15138	-17.217
-0.41631	-22.067
-0.85783	-25.705
-1.6904	-31.767
-2.3969	-38.8
-3.1412	-45.103
-3.7592	-52.135
-4.3017	-58.442
-4.8821	-65.23
-5.5255	-72.267
-6.1813	-79.539
-6.7869	-85.362
-7.2916	-88.511
-7.5311	-90.695
-7.5943	-81.723
-7.3546	-70.568
-7.0896	-60.866
-6.6733	-49.711
-6.2192	-40.255
-5.8786	-32.737
-5.5758	-27.645
-4.92	-21.097
-4.4026	-16.49
-3.8476	-11.398
-3.0528	-5.3349
-2.0058	0
-1.0344	3.6375
0.21446	10.427
1.1984	16.975
2.1446	25.462
2.9393	32.98
3.5197	38.072
4.7559	51.41
5.273	57.228
5.7147	62.321
6.0175	65.959
6.396	70.808
6.7366	74.691
7.0267	77.115
7.3419	79.539
7.5187	80.753
7.4554	73.236
