Galeota 1996 Specimen CB1	
2891	
-29.56	22.60224
-28.91	24.61133
-28.53	25.36474
-27.79	28.31558
-27.4	29.06899
-26.61	31.45478
-26.24	32.52211
-25.5	34.71955
-25.15	35.84966
-24.41	37.79597
-24.02	39.05165
-23.2	41.24909
-22.81	42.19085
-22.04	44.01159
-21.56	45.1417
-20.72	46.7113
-20.3	47.96698
-19.51	49.91328
-19.08	50.66669
-18.25	52.36185
-17.82	53.30362
-17.41	53.93146
-16.52	55.43827
-16.09	56.25446
-15.66	57.13344
-14.8	58.51469
-14.39	59.83315
-13.96	60.39821
-13.08	62.03059
-12.65	62.784
-12.21	63.66298
-11.35	64.98144
-10.9	65.60928
-10.47	66.36269
-9.59	67.99507
-9.17	68.81126
-8.770001	69.56467
-7.9	71.13427
-7.43	71.88768
-6.99	72.26438
-6.14	73.7712
-5.75	74.46182
-5.31	75.27802
-4.42	77.03596
-4.03	77.66381
-3.15	79.23341
-2.7	80.30074
-2.26	81.24249
-1.39	83.37715
-0.96	84.06778
-0.13	85.82573
0.27	86.83027
0.67	87.83482
1.09	89.34163
1.54	90.09504
2.31	91.97856
2.73	92.9831
3.56	95.05498
3.95	96.12231
4.77	97.94304
5.21	99.26151
5.98	101.4589
6.44	102.5891
7.22	104.4726
7.63	105.6027
8.399999	107.7373
8.82	108.5535
9.609999	111.1277
10.05	112.0067
10.83	114.0785
11.24	115.3342
12.05	117.2805
12.47	118.2851
13.24	120.2941
13.66	121.2359
14.52	123.1822
14.91	124.1868
15.88	126.447
16.42	127.7654
16.95	128.8328
17.4	129.5862
17.8	130.3396
18.66	131.7836
19.04	132.9765
19.47	133.7927
20.33	135.174
20.75	135.8646
21.16	136.4924
22.02	137.7481
22.48	138.4387
22.9	139.506
23.74	140.3222
24.18	141.2012
24.63	141.7035
25.49	142.6452
26.38	143.0847
27.25	144.5916
27.67	144.8427
28.63	145.4705
29.45	146.0356
30.37	146.789
30.78	147.2285
31.26	147.7935
32.17	148.1702
33.1	148.7353
34.01	149.0492
34.45	149.7398
34.91	149.7398
35.83	149.9282
36.75	150.556
37.72	150.3677
38.63	151.1211
39.56	151.3094
40.1	151.4978
40.99	151.3094
41.5	151.7489
42.44	151.5606
43.41	151.5606
44.3	151.9373
44.09	146.6634
43.74	143.3987
43.39	140.3222
43.03	137.2458
42.67	134.295
42.32	131.2186
41.98	128.3305
41.6	125.3796
41.28	122.3032
40.92	119.2268
40.49	116.276
40.17	113.5135
39.8	110.3115
39.49	107.3606
39.08	104.4726
