"Aboutaha, Engelhardt, Jirsa and Kreger, Test SC9"	
-1.14251232	-2.27831008
-1.12081056	-2.7046064
-0.34698432	19.79106464
1.063044864	62.66493632
1.753051104	91.60326848
2.626607904	136.2171533
3.418844064	186.067713
4.33200048	248.9535814
5.028456288	302.4394026
5.713476	363.021385
6.111496032	401.5450237
6.671681856	453.7262464
7.190012544	502.0982464
7.464893376	525.1838112
7.685434464	546.8789312
7.634252448	528.546944
7.5736704	508.0536736
7.547896512	499.8399968
6.623230848	375.8842003
6.032528448	311.1625978
4.95415824	210.1481174
4.174406688	148.8062832
3.418844064	97.24391072
2.94570912	66.4455584
2.257629216	32.20428506
1.61708592	7.587451776
-0.3925824	-47.2417632
-0.39953184	-44.9812896
-1.7794224	-107.9289408
-3.07445664	-183.4453056
-3.98788128	-246.96408
-4.87899456	-317.6645952
-5.75011296	-398.9904928
-6.53332704	-474.485952
-6.75205152	-502.57952
-7.06197216	-528.28896
-7.1628	-538.937472
-7.135368	-530.655296
-7.0323456	-502.71296
-6.74961312	-461.137504
-6.65366208	-443.9197408
-6.2520576	-394.3881472
-5.48018208	-291.6624768
-5.0974752	-254.9086528
-4.63186272	-211.9836736
-3.806952	-150.4727264
-3.1949136	-107.8444288
-2.43364512	-60.317104
-1.64092128	-22.67488096
-1.18152672	-4.09233792
-1.15372896	-6.3553024
-0.22226016	21.2351879
1.678606752	82.58454816
3.260152992	167.2681075
4.547932992	256.0061523
5.513307744	331.2088886
6.46121136	419.080641
7.306251072	500.1985056
7.602528864	525.4658144
8.170029888	574.0646624
8.69118912	604.5472512
8.586813408	581.1174112
8.541824928	525.2078304
7.74362688	426.3061056
7.2737472	362.9154336
6.320930208	270.6050221
5.501981376	200.5805139
4.94708688	158.1644749
3.96489936	93.4838384
3.207727392	52.84148384
2.044951968	4.34945456
-0.08973312	-50.5577472
-1.31697984	-98.2122848
-2.34708192	-151.401024
-3.22892928	-204.2948608
-4.38326784	-284.1836096
-5.09272032	-342.9536992
-5.766816	-402.6231744
-6.2410848	-447.975872
-6.7915536	-505.328384
-7.1999856	-542.56704
-7.97088576	-599.05664
-7.8382368	-577.212512
-7.7742288	-558.91344
-7.53148608	-500.150912
-6.58514304	-371.2158464
-5.96810592	-295.8035648
-5.24731488	-232.2194048
-4.75414848	-191.2003936
-3.79646688	-124.5319904
-2.70028416	-60.3384544
-1.60958784	-9.77990656
-1.3142976	-0.17743072
-0.26224992	24.85914698
1.443788832	74.64130976
2.240182464	108.8411811
2.932505184	143.5872669
3.547823232	177.5981872
4.254617856	219.4213078
5.464893312	303.5583859
6.230806944	361.1846278
7.601516928	481.2286752
8.792529024	577.8276704
8.671169856	549.8582016
8.308823616	487.527488
7.699467456	411.3290224
6.37324608	273.667648
5.366442912	192.7230774
4.284305376	115.9168816
3.513844128	72.14869504
2.937930624	43.39983878
1.90487808	5.0952952
-0.08436864	-41.26378464
-1.71980352	-102.3097824
-3.2589216	-187.1224672
-4.71013536	-282.1802304
-5.75962272	-365.5108416
-6.47017248	-434.331632
-7.73411712	-557.774752
-8.24215776	-598.54512
-8.20411872	-585.147744
-8.1308448	-559.611776
-7.82567904	-512.992288
-7.14292704	-421.2771968
-6.31326144	-319.6524064
-5.55747936	-245.0843552
-4.68794592	-178.7793536
-3.93021312	-128.293664
-3.34353408	-92.171456
-2.673096	-57.950768
-2.078736	-27.596504
-1.4459712	-2.81149184
-1.45060416	-5.4270048
-0.12777216	27.29254992
