Galeota 1996 Specimen AB4	
-8.09	-57.43265
-7.9	-55.5565
-7.71	-53.81275
-7.51	-52.0028
-7.33	-50.1708
-7.14	-48.36084
-6.95	-46.61712
-6.75	-44.82925
-6.56	-43.06345
-6.37	-41.27557
-6.17	-39.39941
-5.98	-37.65569
-5.79	-35.82367
-5.61	-34.05787
-5.42	-32.20377
-5.23	-30.4159
-5.05	-28.53975
-4.86	-26.66358
-4.67	-24.83156
-4.48	-22.86711
-4.3	-20.99095
-4.11	-19.04856
-3.93	-17.15034
-3.74	-15.2521
-3.56	-13.35386
-3.37	-11.4777
-3.19	-9.53532
-2.99	-7.482575
-2.89	-6.378955
-2.69	-4.32621
-2.54	-2.82528
-2.34	-1.103625
-2.16	1.103625
-2.07	2.38383
-1.97	3.575745
-1.87	4.701443
-1.78	5.849215
-1.6	7.87988
-1.43	9.844335
-1.29	11.14661
-1.15	12.29438
-1.05	13.398
-0.92	14.8548
-0.84	16.02464
-0.68	17.92287
-0.53	19.86525
-0.37	21.71934
-0.2	23.63965
0	25.8469
0.11	27.10503
0.22	28.34109
0.32	29.55507
0.52	31.58574
0.71	33.59435
0.81	34.72004
1.02	37.01559
1.13	38.29579
1.25	39.42149
1.37	40.78998
1.49	42.15847
1.62	43.48283
1.75	44.87339
1.89	46.21981
2.02	47.69867
2.16	49.00095
2.3	50.43565
2.44	51.7821
2.58	53.17265
2.73	54.7398
2.87	56.1083
3.04	57.43265
3.19	59.02185
3.33	60.4566
3.49	61.803
3.64	63.1715
3.78	64.6062
3.91	65.79815
4.06	66.9459
4.21	68.2923
4.36	69.6608
4.51	70.9631
4.66	72.28745
4.82	73.5235
4.97	74.75955
5.12	76.0177
5.28	77.34205
5.44	78.6443
5.6	79.83625
5.75	81.09435
5.91	82.30835
6.07	83.4782
6.23	84.8246
6.39	86.08275
6.54	87.2526
6.7	88.48865
6.87	89.70265
7.02	90.8504
7.19	92.10855
7.35	93.2563
7.51	94.4703
7.67	95.6622
7.83	96.7879
7.99	98.02395
8.16	99.2821
8.32	100.4078
8.48	101.6218
8.64	102.8358
8.96	105.2417
9.12	106.3674
9.29	107.5152
9.45	108.7733
9.78	110.9806
9.94	112.1945
10.1	113.2981
10.26	114.468
10.44	115.682
10.6	116.8076
10.76	117.9996
10.93	119.2577
11.09	120.3614
11.26	121.5974
11.42	122.701
11.59	123.893
11.75	125.0628
11.91	126.2105
12.08	127.3363
12.25	128.484
12.41	129.5876
12.58	130.8017
12.74	132.0157
12.91	133.1414
13.07	134.3112
13.24	135.4148
13.57	137.6882
13.9	140.0058
14.07	141.1537
14.23	142.2793
14.4	143.4713
14.57	144.597
14.9	146.8262
15.23	148.9453
15.4	150.1813
15.73	152.4769
16.07	154.662
16.23	155.8098
