"Sugano 1996, No.UC20H"	
944	
-0.850501013	-194.25
-1.716803329	-238.25
-2.461614553	-270.5
-3.179302898	-302
-4.059020077	-333
-4.475397544	-347.75
-4.862619249	-359.5
-5.317087422	-370.25
-5.708376161	-373.5
-6.057545845	-378.75
-6.464649667	-384
-6.90336147	-389.75
-7.301980777	-392.25
-7.722893084	-394.25
-8.206614618	-388
-8.150301024	-356
-7.763405075	-327.25
-7.250127224	-291.25
-6.887967856	-266.5
-6.039317552	-209.75
-5.472224716	-170.75
-4.837506332	-131
-4.095068036	-84.75
-3.147711336	-31.25
-2.621189644	-5
-2.142061179	18.25
-1.365664193	57.25
-0.569430304	96
0.0405	119.5
0.843615988	158.5
1.806714708	195.25
2.5154812	227
3.233170632	255.25
4.059020077	280
4.824139792	305.75
5.517186419	322.25
6.04174799	332
6.462624249	342
6.901335993	345.25
7.353834524	350.25
7.65766904	351.75
8.015392511	352.75
7.886967428	332.5
7.562871935	308
7.094972816	275.5
6.42859727	231.75
5.769136041	189.25
4.817254002	131.25
3.822886962	75
2.909155527	28.75
2.256678917	-1.75
1.568166348	-37
0.76261573	-76
-0.076545001	-111.5
-0.893431174	-149.25
-1.734623591	-186.5
-2.441363952	-212.75
-3.293923828	-249.25
-4.06347544	-272.5
-4.889352388	-302.5
-5.656932958	-328.25
-6.14747238	-334
-6.464649667	-341.5
-6.928477401	-351.5
-7.306436951	-360
-7.812829875	-359.5
-8.148275359	-361.75
-8.01296174	-332.75
-7.64389506	-304.75
-7.191792207	-272.25
-6.442370086	-221.5
-5.652477255	-170.25
-4.864644486	-122.5
-3.944396013	-70.25
-3.179302898	-31
-2.587573518	-1.5
-2.03392385	18.5
-1.361209152	53.5
-0.535410253	94
-0.04293	111.75
0.906796227	155.75
1.903511353	192
3.037546133	238.75
4.083727099	270.25
4.907579547	297.75
5.697439405	314
6.06848283	322.5
6.590631171	334.5
7.031777249	337
7.427969517	341.5
7.707093441	343
8.017418154	346
8.461041858	351.75
8.928991543	354.5
9.410736547	349.25
9.809438325	348.25
10.08618851	344.75
10.54975213	343.5
10.92823759	344.5
11.48181066	341.25
11.90532148	336.5
12.15984334	334.75
12.16875985	316.75
11.89640525	297
11.45060542	270
10.89906043	239
10.18748989	199.5
9.392908768	155.75
8.467929294	110.75
7.53370373	70.25
6.732412236	37.25
6.212689678	18
5.64559117	-2.75
4.747586134	-34.75
3.570959954	-77.25
2.366841825	-120.5
1.165592607	-160.5
-0.044955	-198.75
-1.037206837	-226.5
-2.020558579	-260.25
-3.075617889	-287
-4.101953607	-315.5
-4.833050818	-330.75
-5.474655076	-345.75
-6.095622786	-358.5
-6.800062527	-362.75
-7.421082643	-369
-8.193245181	-367
-8.629987763	-367.75
-9.010023724	-368.75
-9.381563833	-368.75
-9.766488015	-368.5
-10.17857533	-363.5
-10.77951611	-360.5
-11.07452997	-356.25
-11.44817384	-353.5
-11.82183349	-350.5
-12.18213463	-346.25
-12.09215922	-317.75
-11.81737542	-299.5
-11.45708962	-277.75
-10.96187247	-249
-10.21909613	-208.25
-9.465030419	-163.5
-8.523839215	-117.25
-7.592040203	-76.75
-6.820317165	-47.5
-6.032431313	-19
-5.620882298	-4
-4.974817653	13
-4.22103379	37.75
-2.99947442	72.5
-2.025013669	99
-0.940411369	129.5
-0.04293	146.75
0.920161282	174.25
1.977627732	195.5
3.044431447	224.75
4.036743274	243
4.792546185	260.75
5.850149542	278.5
6.514069942	291.75
7.205160627	296.5
7.979336127	307.5
8.893337567	314.75
9.649388541	318
10.08861973	318
10.52300748	319
11.00239659	318.5
11.45952119	318.25
11.83115493	314.5
12.1302568	314
11.90086336	284.5
11.47532645	259.25
10.90554424	227.5
10.16722953	188.25
9.339020434	147.5
8.440784716	107.75
7.688863108	78.25
6.827203748	46.75
5.949391598	19
5.238101559	-1.75
4.293130242	-31.25
2.866628776	-71
1.541436029	-106.5
-0.027135	-144
-1.095932167	-167.25
-2.097105181	-195.5
-3.143256119	-218.25
-4.138001628	-242.75
-5.150609903	-263.5
-6.23294355	-280.25
-7.175993182	-299
-8.154757486	-306.75
-9.010023724	-318.25
-9.822809685	-320.25
-10.58581701	-323.25
-11.41899502	-322.75
-12.20685777	-319.5
-12.05163008	-285
-12.04919834	-284
-11.63054369	-257
-11.02509018	-221.75
-10.16277226	-174
-9.282701334	-129.5
-8.260497651	-84
-7.189361587	-43
-5.949391598	-3.25
-4.837506332	26.75
-3.753222026	59.75
-2.447844143	94.5
-1.122662329	128.25
-0.089910001	147.75
0.911251246	174.25
1.903511353	192.75
2.958972645	216.25
4.036743274	235.25
5.01086709	254.5
6.046203794	270
7.110771751	283.75
8.004048918	295.5
8.881993144	301.5
9.627103322	302
10.1153632	304.25
10.52057615	306
10.91243328	304.5
11.45708962	303
11.84007109	301.25
12.10999211	299.75
12.53110257	298
12.90278419	297.5
13.52864363	294.75
13.83956589	289.5
14.17969024	289
14.58956366	287
15.06919901	280.25
15.4434437	275.75
15.72728377	273.5
16.2970293	271.25
16.24309389	254.5
15.85785439	230
15.29220252	199.5
14.64591806	167
13.74511224	124.75
12.93885891	90.5
11.84655558	48.5
10.89906043	17.5
10.23489929	-2
9.030281861	-35.25
7.839973082	-64.75
6.055115404	-102.75
4.396819909	-133
