Galeota 1996 Specimen BA1	
33.26	-1.58922
32.83	-2.935642
32.42	-4.282065
31.97	-5.981645
31.61	-7.23978
31.25	-8.519985
30.87	-9.866405
30.49	-11.12454
30.07	-12.38267
29.64	-13.59666
29.2	-14.78858
28.46	-16.09085
27.96	-16.7751
27.2	-17.87873
26.68	-18.56297
26.16	-19.181
25.65	-19.77696
25.12	-20.3067
24.61	-20.90265
24.07	-21.4324
23.53	-21.89592
22.97	-22.35944
22.44	-22.80089
21.91	-23.1982
21.38	-23.61757
20.82	-24.05902
20.28	-24.36804
19.72	-24.74327
19.17	-25.07436
18.62	-25.38338
18.08	-25.69239
17.51	-26.02348
16.97	-26.28835
16.41	-26.55322
15.86	-26.77394
15.25	-26.55322
14.68	-26.57529
14.13	-26.55322
13.54	-26.55322
12.97	-26.64151
12.4	-26.86223
11.82	-26.8843
11.24	-26.8843
10.68	-26.92845
10.09	-26.95053
9.53	-27.01674
8.95	-27.01674
8.4	-27.08296
7.8	-27.08296
7.25	-27.1271
6.67	-27.10503
6.09	-27.17125
5.5	-27.23746
4.94	-27.17125
4.37	-27.23746
3.8	-27.25953
3.23	-27.32575
2.66	-27.32575
2.09	-27.39197
1.51	-27.34783
0.96	-27.41405
0.37	-27.39197
-0.23	-27.41405
-0.81	-27.41405
-1.37	-27.39197
-1.95	-27.50233
-2.54	-27.50233
-3.11	-27.39197
-3.68	-27.50233
-4.28	-27.45819
-4.83	-27.34783
-5.4	-27.48026
-5.96	-27.39197
-6.55	-27.41405
-7.16	-27.32575
-7.71	-27.34783
-8.3	-27.25953
-8.87	-27.25953
-9.46	-27.1271
-10.05	-27.17125
-10.63	-27.17125
-11.23	-26.95053
-11.58	-27.03881
-12.37	-26.9726
-12.95	-26.95053
-13.55	-26.70773
-14.13	-26.66358
-14.71	-26.59736
-15.27	-26.487
-15.89	-26.13384
-16.48	-26.04555
-17.07	-25.91311
-17.65	-25.75861
-18.29	-25.38338
-18.87	-25.20679
-19.46	-25.00814
-20.08	-24.76534
-20.7	-24.32389
-21.3	-24.08109
-21.89	-23.79416
-22.51	-23.52929
-23.11	-23.02162
-23.7	-22.7126
-24.33	-22.35944
-24.93	-21.87385
-25.54	-21.45447
-26.19	-21.05717
-26.79	-20.704
-27.43	-20.15219
-28.07	-19.75488
-28.68	-19.33551
-29.31	-18.80577
-29.91	-18.40846
-30.57	-17.81251
-31.22	-17.72422
-31.77	-17.08411
-32.4	-16.55437
-33.06	-16.22329
-33.64	-15.69355
-34.28	-15.31831
-34.91	-14.8548
-35.49	-14.41334
-36.14	-13.8836
-36.73	-13.57459
-37.26	-13.26558
-37.78	-12.66961
-38.03	-11.3232
-37.83	-10.17542
-37.6	-9.00558
-37.36	-7.85781
-36.93	-5.80507
-36.43	-3.950978
-35.96	-2.427975
-35.55	-0.750465
-35.16	1.037408
-34.84	2.251395
-34.51	3.906832
-34.07	5.606415
-33.68	7.460505
-33.22	9.35874
-32.74	11.14661
-32.3	12.91241
-31.85	14.65614
-31.53	15.75976
-31.19	16.90754
-30.8	18.36432
-30.31	19.86525
-29.85	21.05717
-29.33	21.76348
-28.83	22.62432
-28.28	23.37477
-27.77	24.10317
-27.27	25.20679
-27.15	26.44286
-26.81	27.67892
-26.31	28.20865
-25.78	28.82668
-25.27	29.42264
-24.75	29.90824
-24.22	30.4159
-23.67	30.87943
-23.14	31.32088
-22.56	31.82854
-21.97	32.24792
-21.37	32.6673
-20.79	33.06461
-20.13	33.50605
-19.56	33.81507
-18.97	34.1903
-18.31	34.49931
-17.68	34.78626
-17.09	35.00698
-16.49	35.18356
-15.84	35.24979
-15.17	35.22771
-14.51	35.05113
-13.85	34.94077
-13.21	34.72004
-12.58	34.58761
-11.93	34.49931
-11.29	34.4331
-10.61	34.36688
-9.97	34.34481
-9.33	34.32274
-8.68	34.25652
-8	34.1903
-7.36	34.12408
-6.71	34.03579
-6.05	34.05787
-5.43	34.03579
-4.79	33.94751
-4.15	33.88129
-3.47	33.83715
-2.85	33.74885
-2.19	33.793
-1.56	33.72678
-0.88	33.59435
-0.23	33.59435
0.4	33.46191
1.05	33.41777
1.69	33.41777
2.33	33.3074
2.99	33.13082
3.63	33.08668
4.28	32.97631
4.96	32.82181
5.62	32.75559
6.28	32.60108
6.94	32.40243
7.62	32.22585
8.29	32.07134
8.95	31.82854
9.63	31.56367
10.32	31.34295
11.02	31.03394
11.68	30.79114
12.39	30.50419
13.08	30.17311
13.77	29.75373
14.49	29.42264
15.14	29.11363
15.81	28.76047
16.48	28.4073
17.16	28.07622
17.84	27.67892
18.48	27.32575
19.15	26.9726
19.82	26.50908
20.51	26.04555
21.17	25.71446
21.88	25.20679
22.54	24.69913
23.25	24.30182
23.91	23.90452
24.63	23.41892
25.33	22.88918
26.02	22.4698
26.75	21.89592
27.5	21.3441
28.26	20.83644
28.98	20.24048
29.72	19.75488
30.5	19.15893
31.3	18.51883
32.01	17.98909
32.74	17.45934
32.01	17.98909
32.74	17.45934
38.98	12.77998
39.71	12.3606
40.95	11.61014
41.68	10.94796
42.45	10.55066
43.22	10.04299
44.38	10.08713
46.3	7.482575
46.9	5.672635
47.65	5.054605
48.19	4.59108
48.84	4.14963
49.44	3.774398
51.66	1.94238
52.56	-1.567147
53.43	-3.244658
54.95	-11.2349
55.59	-12.47097
56.07	-13.75117
56.67	-14.3692
57.23	-14.70028
57.33	-15.87013
57.16	-17.03997
57.18	-17.06204
