Saatcioglu and Grira1999 Column BG-6	
30.4865	131.3791489
29.98691	130.6392097
29.48731	125.5235258
28.98771	124.0944681
28.48812	118.5997568
27.98853	112.6915502
27.48893	111.6070517
26.98933	105.9055927
26.47251	105.0914894
25.99014	97.94820669
25.49055	91.79878419
24.99095	91.5412766
24.49136	91.24924012
23.99176	81.03416413
23.49217	80.22528875
22.97535	79.37671733
22.49298	71.99221884
21.99338	71.32121581
21.47656	70.95495441
20.99419	67.1193921
20.4946	66.20717325
19.995	61.22924012
19.49541	56.63033435
18.99581	53.16843769
18.47899	50.32141641
17.99662	47.4161155
17.49703	41.99027964
16.99743	40.90578723
16.49784	34.17065046
15.99824	30.67429179
15.49865	29.3486079
14.99905	25.40433435
14.49946	22.25252888
13.98263	15.58097872
13.48304	10.22404255
12.98344	9.587458967
12.48385	2.68003769
11.98425	0.871978116
11.48466	-2.693294225
10.96784	-6.091604863
10.48547	-9.823835866
9.985873	-15.28413982
9.486279	-18.60823708
8.986683	-22.31133131
8.487088	-26.9102614
7.987493	-27.20229179
7.487897	-35.35010334
6.988302	-36.3312462
6.488707	-41.86046201
5.989112	-46.80394529
5.47229	-47.61813374
4.989922	-53.34875988
4.490326	-59.15362918
3.990731	-60.23813982
3.491136	-61.28820669
2.991541	-66.16273556
2.491946	-69.2456535
1.992351	-72.84541033
1.492756	-74.30893617
0.9931607	-81.11294833
0.4935656	-81.71507599
-0.006029591	-89.51835866
-0.5056247	-90.74066869
-1.00522	-91.41173252
-1.504815	-96.94097264
-2.00441	-98.19775076
-2.504005	-103.9336778
-3.003601	-105.6728267
-3.503196	-110.9264438
-4.002791	-112.0109422
-4.502386	-113.5089362
-5.001981	-114.3866869
-5.501576	-119.1579331
-6.001172	-119.2432219
-6.500767	-124.0488754
-7.000362	-129.130152
-7.517184	-131.2192097
-8.016779	-134.7155623
-8.516374	-136.6269909
-9.033196	-139.4051064
-9.515564	-139.7262614
-10.01516	-144.2218845
